
FOREST_NAME	WATERSHED_CODE	WATERSHED_NAME	WATERSHED_CONDITION_FS_AREA	TOTAL_WATERSHED_AREA_ACRES	FS_OWNERSHIP_PERCENT	NONFS_AREA_PERCENT	AQUATIC_BIOTA_CONDITION	RIPARIAN_WETLAND_VEG_CONDITION	WATER_QUALITY_CONDITION	WATER_QUANTITY_CONDITION	AQUATIC_HABITAT_CONDITION	ROADS_AND_TRAILS_CONDITION	SOIL_CONDITION	FIRE_EFFECTS_REGIME_CONDITION	FOREST_COVER_CONDITION	FOREST_HEALTH_CONDITION	INVASIVE_SPECIES_CONDITION	RANGELAND_VEGETATION_CONDITION	YEAR_PRIORITY_IDENTIFIED	PRINCIPAL_REASON	SELECTION_NARRATIVE	KNOWN_PARTNERS	APPROVAL_DATE	ESTIMATED_COMPLETION_DATE	ESSENTIAL_PROJECT_COUNT	ESSENTIAL_PROJECT_EST_COST	ACTUAL_COMPLETION_DATE	RESTORATION_ACTION_PLAN_IND
Ashley National Forest	140600031402	Hominy Creek-Farm Creek	Functioning Properly	21456.5	73	27	Fair	Fair	Good	Fair	Good	Fair	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Chippewa National Forest	070101010407	North Twin Lake-Turtle River	Functioning at Risk	16289.4	36	64	Fair	Fair	Fair	Good	Fair	Fair	Fair	Poor	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Nebraska National Forest	101500050404	Middle Steer Creek	Functioning at Risk	33324	68	32	Fair	Fair	Good	Good	Poor	Fair	Fair	Fair	----	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Chattahoochee-Oconee National Forest	060200030206	Fightingtown Creek	Functioning at Risk	19489.4	11	89	Fair	Good	Fair	Good	Fair	Fair	Fair	Poor	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Salmon-Challis National Forest	170602050408	Greyhound Creek-Middle Fork Salmon River	Functioning Properly	16227.4	99	1	Good	Good	Good	Good	Good	Good	Good	Poor	Good	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Prescott National Forest	150701020401	Little Sycamore Creek	Functioning at Risk	10428.2	96	5	Fair	Good	Good	Good	Good	Poor	Poor	Fair	----	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Gila National Forest	150400040308	Big Canyon-San Franciso River	Functioning Properly	16416.2	95	5	Fair	Good	Good	Poor	Good	Fair	Good	Poor	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Apache-Sitgreaves National Forest	150200100302	Lower Potato Wash	Functioning at Risk	24200.2	44	57	Fair	Fair	Good	Good	Fair	Fair	Fair	Fair	----	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Colville National Forest	170200010403	Middle Hall Creek	Functioning at Risk	15480.2	13	88	Poor	Poor	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Arapaho-Roosevelt National Forest	101900070101	Beaver Creek	Functioning at Risk	14135.9	97	4	Poor	Good	Good	Poor	Fair	Fair	Good	Good	Poor	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Gila National Forest	150200030501	Harris Creek-Agua Fria Creek	Functioning Properly	30965.8	90	10	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
George Washington And Jefferson National Forests	020700060105	Shoemaker River	Functioning at Risk	23413.2	65	35	Fair	Good	Poor	Fair	Fair	Fair	Poor	Poor	Good	Fair	Fair	----	 	 	 	 	 	 	 	 	 	 
Monongahela National Forest	050500030107	Brush Run-Greenbrier River	Functioning at Risk	30592.2	47	53	Fair	Good	Poor	Good	Fair	Fair	Poor	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Salmon-Challis National Forest	170602070203	Corn Creek-Salmon River	Functioning Properly	18414	100	0	Fair	Good	Good	Fair	Good	Fair	Good	Fair	Good	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Umpqua National Forest	171003020401	Upper Elk Creek	Functioning at Risk	17584.7	60	40	Good	Good	Fair	Fair	Fair	Poor	Fair	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Custer National Forest	101303020406	Dry Creek	Functioning at Risk	10395.8	40	60	Poor	Fair	Good	Poor	Poor	Fair	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Flathead National Forest	170102090607	Hungry Horse Reservoir-Canyon Creek	Functioning Properly	28110.7	100	0	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
National Forests In Texas	120302020701	Lake Creek-White Rock Creek	Functioning Properly	35297.8	29	71	Fair	Good	Good	Fair	Fair	Good	Fair	Poor	Fair	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190102010602	Moonshine Creek-Frontal Frederick Sound	Functioning Properly	38200.3	62	38	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Boise National Forest	170501130802	Goat Creek-South Fork Boise River	Functioning at Risk	14008.2	57	44	Poor	Fair	Poor	Good	Fair	Poor	Good	Fair	Fair	Good	Fair	Fair	 	 	 	 	 	 	 	 	 	 
Humboldt-Toiyabe National Forest	160600081002	Cooper Wash-Willow Creek	Functioning at Risk	107871	21	79	Fair	Poor	Fair	Fair	Poor	Fair	Fair	Fair	Good	Good	Good	Poor	 	 	 	 	 	 	 	 	 	 
Medicine Bow-Routt National Forest	140500010403	Headwaters Oak Creek	Functioning at Risk	14651.5	32	68	Poor	Good	Good	Fair	Fair	Fair	Good	Good	Fair	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
Boise National Forest	170501200306	Kirkham Creek-South Fork Payette River	Impaired Function	24047.9	98	3	Poor	Poor	Poor	Poor	Fair	Poor	Good	Fair	Good	Good	Poor	Good	 	 	 	 	 	 	 	 	 	 
Custer National Forest	101102010803	Slick Creek	Functioning at Risk	37776.2	30	70	Poor	Fair	Good	Poor	Poor	Good	Good	Good	Poor	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Deschutes National Forest	171200050401	Big Hole	Functioning Properly	34280.2	94	6	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Los Padres National Forest	180600050703	Mission Creek	Functioning at Risk	12970.5	15	85	Poor	Poor	Good	Good	Good	Good	Poor	Poor	Fair	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Shasta Trinity National Forest	180102070405	Whitney Creek	Functioning Properly	13511.3	67	33	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Medicine Bow-Routt National Forest	140500010405	Walton Creek	Functioning at Risk	35003.4	87	14	Poor	Good	Good	Good	Fair	Good	Fair	Fair	Poor	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Kisatchie National Forest	080801020101	Bayou Cocodrie-Bayou Rapides	Functioning Properly	16578.9	23	77	Good	Good	Good	Good	Good	Good	Fair	Poor	Poor	Good	Poor	----	 	 	 	 	 	 	 	 	 	 
Kootenai National Forest	170101020403	McKillop Creek	Functioning Properly	11186.1	37	63	Good	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
Kisatchie National Forest	080801020501	Indian Creek-Indian Creek Reservoir	Functioning Properly	14739.1	17	83	Good	Good	Good	Fair	Good	Good	Fair	Poor	Poor	Good	Poor	----	 	 	 	 	 	 	 	 	 	 
Tonto National Forest	150601060111	Willow Springs Canyon	Functioning at Risk	10530.4	100	0	Fair	Fair	Fair	Fair	Good	Fair	Poor	Good	----	Fair	Poor	Poor	 	 	 	 	 	 	 	 	 	 
Kaibab National Forest	150200160604	Lockwood Canyon	Functioning Properly	32183.2	14	86	Fair	Good	Good	Good	Good	Poor	Good	Fair	Good	Fair	Fair	Fair	 	 	 	 	 	 	 	 	 	 
Humboldt-Toiyabe National Forest	160600110705	East Manhattan Wash-Hunts Creek	Functioning at Risk	27871.6	48	52	Fair	Poor	Fair	Fair	Poor	Fair	Fair	Fair	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Olympic National Forest	171100180201	Jefferson Creek	Functioning Properly	13901.3	92	8	Good	Fair	Good	Good	Fair	Fair	Good	Fair	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Boise National Forest	170501131101	South Fork Boise River-Black Canyon	Functioning at Risk	26091.4	50	51	Poor	Fair	Fair	Fair	Fair	Poor	Good	Fair	Good	Good	Fair	Fair	 	 	 	 	 	 	 	 	 	 
Los Padres National Forest	180701020702	Tule Creek-Sespe Creek	Functioning at Risk	31506.2	98	2	Fair	Fair	Fair	Fair	Fair	Good	Good	Fair	Good	Fair	Good	Fair	 	 	 	 	 	 	 	 	 	 
Manti-Lasal National Forest	140802010403	Dry Wash	Functioning at Risk	15074.1	87	13	Good	Fair	Poor	Good	Fair	Poor	Fair	Fair	Fair	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Mark Twain National Forest	071401020403	James Branch-Huzzah Creek	Functioning at Risk	23178.7	42	58	Good	Poor	Good	Fair	Poor	Fair	Good	Poor	Good	Fair	Good	Fair	 	 	 	 	 	 	 	 	 	 
Caribou-Targhee National Forest	160102020401	Strawberry Creek	Functioning Properly	10045.8	54	46	Good	Good	Poor	Good	Good	Poor	Good	Fair	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Shasta Trinity National Forest	180201540104	French Gulch-Clear Creek	Functioning Properly	21232.4	5	95	Fair	Good	Good	Good	Good	Fair	Fair	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Umatilla National Forest	170702021006	Birch Creek-North Fork John Day River	Functioning Properly	22092.3	9	92	Good	Fair	Good	Good	Fair	Fair	Good	Poor	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Grand Mesa Uncomp Gunnison National Forest	140300030404	McKee Draw-Naturita Creek	Functioning at Risk	11374.4	44	56	Good	Poor	Good	Good	Fair	Fair	Fair	Fair	Poor	Good	Poor	Good	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190101030803	Halibut Creek-Frontal Clarence Strait	Functioning Properly	32532.6	40	60	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Chugach National Forest	190202011604	Esther Passage-Frontal Prince William Sound	Functioning Properly	18239.6	76	24	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Gila National Forest	150200030101	Upper Mangas Creek	Functioning Properly	36460.7	58	42	Good	Good	Good	Good	Good	Fair	Good	Poor	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Flathead National Forest	170102070102	Middle Fork Flathead River-Trail Creek	Functioning Properly	12498	100	0	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Fair	Good	----	 	 	 	 	 	 	 	 	 	 
Umatilla National Forest	170601060310	First Creek	Functioning Properly	13576	100	0	Good	Good	Good	Good	Good	Good	Good	Poor	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Rogue River-Siskiyou National Forests	171003070204	Red Blanket Creek	Functioning at Risk	31542.5	67	33	Fair	Fair	Good	Fair	Fair	Fair	Good	Fair	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Humboldt-Toiyabe National Forest	160600110708	Kinney Peak-Hunts Creek	Functioning at Risk	32755.1	11	89	Fair	Poor	Fair	Fair	Poor	Good	Fair	Fair	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190101011703	Nakat Bay-Frontal Revillagigedo Channel	Functioning Properly	18169.8	51	50	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Caribou-Targhee National Forest	170402140108	Upper Camas Creek	Functioning at Risk	18755.1	16	84	Poor	Good	Poor	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Bridger-Teton National Forest	170401030303	Fisherman Creek	Functioning Properly	32003.4	78	22	Good	Good	Good	Good	Good	Poor	Good	Fair	Good	Fair	Fair	Good	 	 	 	 	 	 	 	 	 	 
Caribou-Targhee National Forest	170402150402	Nicholia Canyon	Functioning Properly	12914.1	100	0	Good	Good	Poor	Good	Good	Fair	Good	Good	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Wallowa Whitman National Forest	170502020105	Petticoat Creek-North Fork Burnt River	Impaired Function	14839.6	86	14	Poor	Poor	Poor	Poor	Poor	Poor	Good	Poor	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Nebraska National Forest	101402010206	Sand Creek-Little Cottonwood Creek	Functioning at Risk	18886.6	28	72	Fair	Fair	Good	Fair	Fair	Good	Good	Fair	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Gila National Forest	130301010204	Mud Spring Canyon	Functioning Properly	11472.3	100	0	Good	Good	Good	Good	Good	Poor	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Malheur National Forest	170702010201	Rosebud Creek-South Fork John Day River	Functioning at Risk	23690.8	18	82	Good	Fair	Fair	Fair	Fair	Poor	Good	Fair	Good	Good	Good	Poor	 	 	 	 	 	 	 	 	 	 
Chugach National Forest	190202010501	190202010501	Functioning Properly	9198.1	100	0	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Rogue River-Siskiyou National Forests	171003050205	Mill Creek-South Fork Coquille River	Functioning Properly	14067.4	20	80	Good	Fair	Poor	Good	Fair	Fair	Good	Poor	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Deschutes National Forest	170703020207	Lower Crescent Creek	Functioning Properly	20606.2	41	60	Fair	Good	Good	Poor	Good	Fair	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Mt Baker-Snoqualmie National Forest	171100090203	Lower Beckler River	Functioning Properly	21891.4	82	18	Good	Good	Good	Good	Poor	Poor	Fair	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Angeles National Forest	180701020509	Liebre Gulch-Piru Creek	Functioning at Risk	14139	85	15	Poor	Fair	Fair	Good	Good	Fair	Good	Fair	Fair	Fair	Fair	----	 	 	 	 	 	 	 	 	 	 
Caribou-Targhee National Forest	170402150405	Chandler Canyon	Functioning Properly	28019.1	87	13	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Caribou-Targhee National Forest	170402080211	Harkness Creek-Portneuf River	Functioning Properly	38613.7	26	74	Good	Fair	Poor	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
Daniel Boone National Forest	051002030404	Buffalo Creek-South Fork Kentucky River	Functioning at Risk	20616.3	43	57	Good	Fair	Fair	Good	Poor	Poor	Fair	Fair	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Helena National Forest	170102030203	Upper Alice Creek	Functioning at Risk	12566.9	92	9	Fair	Fair	Good	Good	Fair	Poor	Good	Fair	Good	Fair	Good	Fair	 	 	 	 	 	 	 	 	 	 
National Forests In North Carolina	030401030503	Barnes Creek	Functioning at Risk	15414.7	28	72	Good	Good	Fair	Good	Poor	Poor	Good	Poor	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Green Mountain And Finger Lakes National Forests	020100020301	Furnace Brook	Functioning Properly	28346.1	16	84	Good	Good	Fair	Good	Fair	Good	Fair	Poor	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190101031007	Warm Chuck Inlet-Frontal Tonowek Bay	Functioning Properly	17889	66	34	Good	Poor	Good	Good	Poor	Fair	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Black Hills National Forest	101201060401	Fourmile Creek	Functioning Properly	10810.7	66	34	Good	Fair	Good	Good	Good	Poor	Fair	Poor	Good	Fair	Fair	----	 	 	 	 	 	 	 	 	 	 
Pike-San Isabel National Forest	110400020606	110400020606	Functioning Properly	15229.4	37	63	Poor	Good	Good	Good	Fair	Poor	Good	Fair	----	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
Lincoln National Forest	130600100103	Sixteen Springs Canyon	Functioning at Risk	21667.4	74	26	Fair	Poor	Good	Fair	Poor	Poor	Fair	Poor	Fair	Good	Poor	Fair	 	 	 	 	 	 	 	 	 	 
Manti-Lasal National Forest	140600070403	South Fork Gordon Creek	Functioning Properly	15597.9	16	84	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190101010503	Sawmill Slough-Unuk River	Functioning Properly	22439.6	100	0	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Olympic National Forest	171100170101	Upper South Fork Skokomish River	Functioning at Risk	38537.6	95	5	Fair	Fair	Fair	Good	Fair	Poor	Fair	Fair	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Klamath National Forest	180102060701	Bogus Creek	Functioning Properly	34572.7	27	73	Good	Good	Fair	Good	Fair	Good	Good	Poor	Good	Fair	Fair	Fair	 	 	 	 	 	 	 	 	 	 
San Juan National Forest	140801010201	Beaver Creek	Functioning Properly	10327.8	100	0	Fair	Good	Good	Good	Good	Good	Good	Fair	Fair	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190101011603	190101011603	Functioning Properly	9349.8	99	1	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Beaverhead-Deerlodge National Forest	100200040408	Swamp Creek	Functioning at Risk	33400.6	33	67	Fair	Fair	Poor	Fair	Fair	Fair	Good	Fair	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Shoshone National Forest	100800120301	North Fork Shoshone River-Grizzly Creek	Functioning Properly	37851.8	94	6	Fair	Good	Good	Good	Good	Poor	Good	Fair	Good	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Boise National Forest	170501200505	Lorenzo Creek-Deadwood River	Functioning Properly	16625.5	100	0	Poor	Fair	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
Tonto National Forest	150601050306	Saint Johns Creek	Functioning at Risk	11648.5	99	1	Fair	Good	Fair	Fair	Good	Poor	Poor	Fair	----	Good	Good	Poor	 	 	 	 	 	 	 	 	 	 
San Juan National Forest	140300020104	Johnny Bull Creek-West Dolores River	Functioning Properly	21435.8	91	9	Poor	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Chequamegon-Nicolet National Forest	070500030204	Springstead Creek	Functioning Properly	12843.8	38	62	Good	Fair	Good	Good	Fair	Good	Fair	Poor	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
White Mountain National Forest	010700010205	Mill Brook-Pemigewasset River	Functioning Properly	27967.4	64	36	Good	Good	Poor	Good	Fair	Fair	Fair	Poor	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Apache-Sitgreaves National Forest	150400050204	Middle Prong Creek	Functioning at Risk	11417.4	11	89	Fair	Fair	Good	Good	Fair	Fair	Poor	Poor	----	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Malheur National Forest	170702030103	Dry Fork	Functioning at Risk	11241.7	99	1	Fair	Fair	Poor	Good	Fair	Poor	Good	Fair	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Manti-Lasal National Forest	140600090303	Millsite Reservoir-Ferron Creek	Functioning Properly	46124.1	91	9	Fair	Good	Good	Good	Good	Fair	Fair	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Chattahoochee-Oconee National Forest	031300010104	Unnamed	Functioning at Risk	21781.7	30	70	Poor	Good	Good	Good	Poor	Good	Poor	Poor	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Lewis And Clark National Forest	100401020206	Davis Creek	Functioning at Risk	19201.1	15	85	Poor	Fair	Good	Fair	Poor	Good	Good	Fair	Good	Fair	Good	Fair	 	 	 	 	 	 	 	 	 	 
San Juan National Forest	140801020402	Peterson Gulch-Stollheimer Creek	Functioning at Risk	24252.7	31	69	Good	Fair	Poor	Good	Fair	Fair	Fair	Fair	Good	Good	Fair	Fair	 	 	 	 	 	 	 	 	 	 
Caribou-Targhee National Forest	160102010608	Eightmile Creek	Functioning at Risk	20950.4	73	27	Poor	Fair	Poor	Good	Poor	Fair	Good	Fair	Good	Fair	Fair	Good	 	 	 	 	 	 	 	 	 	 
Six Rivers National Forest	180101010201	Siskiyou Fork Smith River	Functioning Properly	17514	97	3	Fair	Fair	Good	Good	Good	Fair	Good	Poor	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Daniel Boone National Forest	051002030208	Bear Creek-Red Bird River	Functioning Properly	12296.4	41	59	Good	Fair	Good	Good	Fair	Poor	Fair	Fair	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Caribou-Targhee National Forest	170402080505	Gibson Jack Creek-Portneuf River	Functioning Properly	21865	31	69	Good	Good	Poor	Good	Good	Good	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Ochoco National Forest	170703070103	Headwaters Trout Creek	Functioning at Risk	16649	75	25	Fair	Fair	Poor	Good	Poor	Poor	Fair	Fair	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Fishlake National Forest	160300030503	North Cedar Ridge Canyon	Functioning Properly	12605.6	98	2	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Mark Twain National Forest	110100090102	Fourche Creek	Functioning at Risk	31636.8	29	72	Fair	Poor	Good	Fair	Poor	Fair	Good	Poor	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Eldorado National Forest	180400130101	Sly Park Creek	Functioning at Risk	13239.5	24	76	Poor	Fair	Good	Poor	Poor	Poor	Good	Fair	Good	Poor	Good	Fair	 	 	 	 	 	 	 	 	 	 
Salmon-Challis National Forest	170602031303	Colson Creek-Salmon River	Functioning Properly	18626.7	100	1	Fair	Good	Good	Good	Fair	Fair	Good	Poor	Good	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Willamette National Forest	170900060101	Pyramid Creek	Functioning at Risk	13346.4	100	0	Poor	Fair	Fair	Good	Poor	Poor	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Shoshone National Forest	100800010110	Upper Warm Spring Creek	Functioning Properly	20032.6	100	0	Fair	Good	Good	Good	Fair	Fair	Good	Good	Good	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
San Juan National Forest	140801040203	Outlet Cascade Creek	Functioning at Risk	9649.6	91	9	Poor	Good	Good	Poor	Fair	Fair	Poor	Good	Fair	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Humboldt-Toiyabe National Forest	160503020304	Upper Desert Creek	Functioning at Risk	22360	100	0	Poor	Fair	Poor	Poor	Poor	Fair	Fair	Good	Good	Fair	Good	Fair	 	 	 	 	 	 	 	 	 	 
Beaverhead-Deerlodge National Forest	100200041003	Lower Divide Creek	Functioning Properly	16288	20	80	Good	Good	Good	Good	Good	Poor	Good	Fair	Good	Good	Fair	Fair	 	 	 	 	 	 	 	 	 	 
Umatilla National Forest	170702020707	Potamus Creek	Functioning at Risk	15617.3	89	11	Good	Fair	Fair	Fair	Fair	Fair	Fair	Poor	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190101011801	Texas Creek	Functioning Properly	29089.1	100	0	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Ottawa National Forest	040201020407	Erickson Creek-West Branch Ontonagon River	Functioning at Risk	20996.1	75	25	Fair	Fair	Fair	Fair	Poor	Good	Fair	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Ottawa National Forest	040201020404	Lake Gogebic	Functioning at Risk	46686.5	9	92	Fair	Fair	Fair	Fair	Fair	Good	Fair	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Beaverhead-Deerlodge National Forest	170102020703	East Fork Rock Creek	Functioning at Risk	16694.1	25	75	Fair	Good	Fair	Poor	Poor	Fair	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
