OrganizationIdentifier	OrganizationFormalName	MonitoringLocationIdentifier	MonitoringLocationName	MonitoringLocationTypeName	MonitoringLocationDescriptionText	HUCEightDigitCode	DrainageAreaMeasure/MeasureValue	DrainageAreaMeasure/MeasureUnitCode	ContributingDrainageAreaMeasure/MeasureValue	ContributingDrainageAreaMeasure/MeasureUnitCode	LatitudeMeasure	LongitudeMeasure	SourceMapScaleNumeric	HorizontalAccuracyMeasure/MeasureValue	HorizontalAccuracyMeasure/MeasureUnitCode	HorizontalCollectionMethodName	HorizontalCoordinateReferenceSystemDatumName	VerticalMeasure/MeasureValue	VerticalMeasure/MeasureUnitCode	VerticalAccuracyMeasure/MeasureValue	VerticalAccuracyMeasure/MeasureUnitCode	VerticalCollectionMethodName	VerticalCoordinateReferenceSystemDatumName	CountryCode	StateCode	CountyCode	AquiferName	LocalAqfrName	FormationTypeText	AquiferTypeName	ConstructionDateText	WellDepthMeasure/MeasureValue	WellDepthMeasure/MeasureUnitCode	WellHoleDepthMeasure/MeasureValue	WellHoleDepthMeasure/MeasureUnitCode	ProviderName
USGS-AK	USGS Alaska Water Science Center	USGS-15274000	SF CAMPBELL C NR ANCHORAGE AK	Stream		19020401	26.8	sq mi			61.16667096000000	-149.7727527000000	25000	1	seconds	Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)	NAD83	260.00	feet	.01	feet	Level or other surveyed method.	NGVD29	US	02	020										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15274300	NF CAMPBELL C NR ANCHORAGE AK	Stream		19020401	13.1	sq mi			61.16889340000000	-149.7641416000000		Unknown	Unknown	Interpolated from MAP.	NAD83	300	feet	50	feet	Unknown.	NGVD29	US	02	020										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15274600	CAMPBELL C NR SPENARD AK	Stream		19020401	67.7	sq mi			61.13889060000000	-149.9255337000000	63360	1	seconds	Interpolated from MAP.	NAD83	9.1	feet	.1	feet	Survey-grade GPSF	NAVD88	US	02	020										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15275100	CHESTER C AT ARCTIC BOULEVARD AT ANCHORAGE AK	Stream		19020401	29.5	sq mi			61.20472578000000	-149.8974826000000	25000	5	seconds	Interpolated from MAP.	NAD83	22.9	feet	.1	feet	Survey-grade GPSF	NAVD88	US	02	020										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15276000	SHIP C NR ANCHORAGE AK	Stream		19020401	89.6	sq mi			61.22500619000000	-149.6372008000000	25000	3	seconds	Interpolated from MAP.	NAD83	484.1	feet	.1	feet	Survey-grade GPSF	NAVD88	US	02	020										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15276500	SHIP C AT ELMENDORF AFB NR ANCHORAGE AK	Stream		19020401	110	sq mi			61.23833900000000	-149.7922030000000	25000	3	seconds	Interpolated from MAP.	NAD83	180	feet	16	feet	Interpolated from topographic map.	NGVD29	US	02	020										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15277100	EAGLE R AT EAGLE RIVER AK	Stream		19020401	195	sq mi			61.30723350000000	-149.5611017000000		Unknown	Unknown	Interpolated from MAP.	NAD83	250	feet	50	feet	Unknown.	NGVD29	US	02	020										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15280000	EKLUTNA C NR PALMER AK	Stream		19020401	123	sq mi			61.40362550000000	-149.1438810000000		Unknown	Unknown	Interpolated from MAP.	NAD83	856.53	feet	.01	feet	Unknown.	NGVD29	US	02	020										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15281000	KNIK R NR PALMER AK	Stream		19020402	1220	sq mi			61.50446050000000	-149.0327650000000	63360	1	seconds	Interpolated from MAP.	NAD83	33.57	feet	.01	feet	Survey-grade GPSF	NAVD88	US	02	170										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15284000	MATANUSKA R AT PALMER AK	Stream		19020402	2060	sq mi			61.60863120000000	-149.0730432000000	63360	10	seconds	Interpolated from MAP.	NAD83	185.2	feet	.1	feet	Survey-grade GPSF	NAVD88	US	02	170										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15292000	SUSITNA R AT GOLD CREEK AK	Stream		19020501	6130	sq mi			62.76728990000000	-149.6933794000000	63360	10	seconds	Interpolated from MAP.	NAD83	682.14	feet	.01	feet	Level or other surveyed method.	NAVD88	US	02	170										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15292400	CHULITNA R NR TALKEETNA AK	Stream		19020502	2520	sq mi			62.55810837000000	-150.2361600000000	63360	1	seconds	Interpolated from Digital MAP.	NAD83	520	feet	25	feet	Interpolated from topographic map.	NGVD29	US	02	170										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15292700	TALKEETNA R NR TALKEETNA AK	Stream		19020503	2010	sq mi			62.34643880000000	-150.0192010000000	63360	10	seconds	Interpolated from MAP.	NAD83	400.00	feet	25	feet	Interpolated from topographic map.	NGVD29	US	02	170										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15292780	SUSITNA R AT SUNSHINE AK	Stream		19020505	11070	sq mi			62.17484740000000	-150.1726719000000	63360	.5	seconds	Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)	NAD83	270	feet	10	feet	Survey-grade GPSF	NGVD29	US	02	170										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15294300	SKWENTNA R NR SKWENTNA AK	Stream		19020504	2250	sq mi			61.87250918000000	-151.3691358000000		Unknown	Unknown	Interpolated from MAP.	NAD83	200	feet	50	feet	Unknown.	NGVD29	US	02	170										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15294350	SUSITNA R AT SUSITNA STATION AK	Stream		19020505	19360	sq mi			61.54417960000000	-150.5147329000000	63360	1	seconds	Interpolated from MAP.	NAD83	40	feet	10	feet	Unknown.	NGVD29	US	02	170										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15295700	TERROR R AT MOUTH NR KODIAK AK	Stream		19020701	46.1	sq mi			57.69397807000000	-153.1639087000000	63360	10	seconds	Interpolated from MAP.	NAD83	30.00	feet	13	feet	Interpolated from topographic map.	NGVD29	US	02	150										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15297773	GALLERY C AT SHEMYA AFB AK	Stream		19030103	1.00	sq mi			52.71005270000000	174.1186180000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	016										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15304000	KUSKOKWIM R AT CROOKED CREEK AK	Stream		19030501	31100	sq mi			61.86874450000000	-158.1137848000000	63360	10	seconds	Interpolated from MAP.	NAD83	150	feet	50	feet	Interpolated from topographic map.	NGVD29	US	02	050										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15304010	CROOKED C AB AIRPORT RD NR CROOKED CREEK AK	Stream		19030501	330	sq mi			61.88930060000000	-158.1568420000000	63360	1	seconds	Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)	NAD83	175	feet	25	feet	Interpolated from topographic map.	NGVD29	US	02	050										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15356000	YUKON R AT EAGLE AK	Stream		19070504	111600	sq mi			64.78916800000000	-141.2000892000000	63360	10	seconds	Interpolated from MAP.	NAD83	850.00	feet	25	feet	Interpolated from topographic map.	NGVD29	US	02	240										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15468000	YUKON R AT RAMPART AK	Stream		19080404	196900	sq mi			65.50647290000000	-150.1733608000000		Unknown	Unknown	Interpolated from MAP.	NAD83	300	feet	50	feet	Unknown.	NGVD29	US	02	290										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15472000	TANANA R NR TOK JUNCTION AK	Stream		19080302	6800	sq mi			63.31632337000000	-142.6438940000000	63360	10	seconds	Interpolated from Digital MAP.	NAD83	1604.67	feet	.01	feet	Level or other surveyed method.	NGVD29	US	02	240										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15476000	TANANA R NR TANACROSS AK	Stream		19080302	8420	sq mi			63.38797160000000	-143.7486340000000		Unknown	Unknown	Interpolated from MAP.	NAD83	1489.58	feet	.01	feet	Unknown.	NGVD29	US	02	240										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15478000	TANANA R AT BIG DELTA AK	Stream		19080304	13470	sq mi			64.15515740000000	-145.8523388000000	63360	10	seconds	Interpolated from Digital MAP.	NAD83	962.95	feet	.01	feet	Level or other surveyed method.	NGVD29	US	02	240										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15493000	CHENA R NR TWO RIVERS AK	Stream		19080306	934	sq mi			64.90197220000000	-146.3613333000000	63360	.1	seconds	GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System	NAD83	725.91	feet	.1	feet	GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System	NAVD88	US	02	090										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15512800	CHENA R AT APPLE RD AT FAIRBANKS AK	Stream		19080306					64.84095970000000	-147.6229793000000	25000	1	seconds	Interpolated from MAP.	NAD83	443	feet	1	feet	Interpolated from topographic map.	NGVD29	US	02	090										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15514000	CHENA R AT FAIRBANKS AK	Stream		19080306	1990	sq mi			64.84540260000000	-147.7035360000000	63360	10	seconds	Interpolated from MAP.	NAD83	428.02	feet	.01	feet	Differentially corrected Global Positioning System.	NAVD88	US	02	090										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15518000	NENANA R NR HEALY AK	Stream		19080308	1910	sq mi			63.84481970000000	-148.9459267000000		Unknown	Unknown	Interpolated from MAP.	NAD83	1270.22	feet	.01	feet	Unknown.	NGVD29	US	02	068										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15564800	YUKON R AT RUBY AK	Stream		19090205	256600	sq mi			64.74050977000000	-155.4919074000000	63360	Unknown	Unknown	Interpolated from MAP.	NAD83	175.00	feet	50	feet	Interpolated from topographic map.	NGVD29	US	02	290										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15565447	YUKON R AT PILOT STATION AK	Stream		19090304	318300	sq mi			61.93368660000000	-162.8829356000000	63360	1	seconds	Interpolated from MAP.	NAD83	20.00	feet	12	feet	Interpolated from topographic map.	NGVD29	US	02	270										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-15748000	OGOTORUK C NR POINT HOPE AK	Stream		19050405	35.00	sq mi			68.11040000000000	-165.7557427000000	63360	10	seconds	Interpolated from MAP.	NAD83	20	feet	10	feet	Unknown.	NGVD29	US	02	185										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-635104148525900	HEALY C NR SUNTRANA AK	Stream		19080308					63.85065410000000	-148.8853720000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	068										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-642910146390000	SALCHA R 8MI AB GAGE NR SALCHAKET AK	Stream		19080305					64.48569730000000	-146.6523757000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	090										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-644710147101500	CHENA R SITE 5 NR NORTH POLE AK	Stream		19080306					64.78569087000000	-147.1732459000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	090										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-644735147094500	CHENA R SITE 6 NR NORTH POLE AK	Stream		19080306					64.79263557000000	-147.1649133000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	090										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-644740147113000	CHENA R SITE 4 NR NORTH POLE AK	Stream		19080306					64.79402380000000	-147.1940805000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	090										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-644755147120000	CHENA R SITE 3 NR NORTH POLE AK	Stream		19080306					64.79819030000000	-147.2024145000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	090										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-644800147134000	CHENA R SITE 1 NR NORTH POLE AK	Stream		19080306					64.79957858000000	-147.2301928000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	090										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-644816147123500	CHENA R SITE 2 NR NORTH POLE AK	Stream		19080306					64.80402348000000	-147.2121375000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	090										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-644835147075500	CHENA R SITE 7 NR NORTH POLE AK	Stream		19080306					64.80930310000000	-147.1343592000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	090										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-644855147071000	CHENA R SITE 8 NR NORTH POLE AK	Stream		19080306					64.81485900000000	-147.1218597000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	090										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-644925147065500	CHENA R SITE 9 NR NORTH POLE AK	Stream		19080306					64.82319250000000	-147.1176939000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	090										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-644935147045000	CHENA R BL MULLEN SL NR EIELSON AFB AK	Stream		19080306					64.82597100000000	-147.0829716000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	090										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-644945147013500	CHENA R SITE 12 NR NORTH POLE AK	Stream		19080306					64.82874990000000	-147.0288047000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	090										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-644958147035000	CHENA R SITE 10 NR NORTH POLE AK	Stream		19080306					64.83236030000000	-147.0663055000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	090										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-645005147025500	CHENA R SITE 11 NR NORTH POLE AK	Stream		19080306					64.83430508000000	-147.0510278000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	090										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-654022149035900	HESS C AB FISH C NR LIVENGOOD AK	Stream		19080404					65.67233530000000	-149.0689257000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	290										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-671529150110500	SLATE C NR WISEMAN AK	Stream		19090101					67.25762319000000	-150.1874506000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	290										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-675538149511100	KUYUKTUVUK C 1MI AB DIETRICH R NR WISEMAN AK	Stream		19090101					67.92681809000000	-149.8558412000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	290										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-680355165294500	KISIMILOK C NR KIVALINA	Stream		19050405					68.06457160000000	-165.4987940000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	185										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-680630165510000	NASORAK C NR PT HOPE AK	Stream		19050405					68.10762050000000	-165.8529643000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	185										NWIS
USGS-AK	USGS Alaska Water Science Center	USGS-694147144121000	HULAHULA R SITE 2 NR KAKTOVIK AK	Stream		19060502					69.69618470000000	-144.2055334000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	02	185										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02339215	WEHADKEE CREEK NEAR ROCK MILLS AL	Stream		03130002	37.10	sq mi	37.10	sq mi	33.14734284000000	-85.2818902000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	01	111										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02339495	OSELIGEE CREEK NEAR LANETT AL	Stream		03130002	86.4	sq mi	86.4	sq mi	32.90151590000000	-85.1963308000000		1	seconds	Interpolated from MAP.	NAD83							US	01	017										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02340750	OSANIPPA CREEK NEAR FAIRFAX AL	Stream		03130002	99.70	sq mi	99.70	sq mi	32.78901920000000	-85.1916077000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	01	017										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02341030	WACOOCHEE CREEK (NEAR PHENIX CITY)AT VALLEY AL	Stream		03130002					32.62235836000000	-85.1332713000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	01	081										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02341480	MILL CREEK NEAR PHENIX CITY AL	Stream		03130003					32.49236396000000	-85.0327111000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	01	113										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02342150	UCHEE CREEK NEAR SEALE AL	Stream		03130003	134.00	sq mi			32.35459047000000	-85.0954900000000		Unknown	Unknown	Interpolated from MAP.	NAD83	275.00	feet	.01	feet	Unknown.	NGVD29	US	01	113										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02342200	PHELPS CREEK NEAR OPELIKA AL	Stream		03130003	6.67	sq mi	6.67	sq mi	32.56374800000000	-85.2766093000000		Unknown	Unknown	Interpolated from MAP.	NAD83	530.00	feet	.01	feet	Unknown.	NGVD29	US	01	081										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02342280	LITTLE UCHEE CREEK NEAR BLEECKER, AL	Stream		03130003					32.49597340000000	-85.1707719000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	01	081										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02342360	LITTLE UCHEE CREEK NEAR CRAWFORD AL	Stream		03130003					32.46180845000000	-85.1307700000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	01	113										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02342400	LITTLE UCHEE CREEK NEAR SEALE, AL.	Stream		03130003	127.00	sq mi	127	sq mi	32.37792309000000	-85.0804896000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	01	113										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02342500	UCHEE CREEK NEAR FORT MITCHELL, AL.	Stream		03130003	322.00	sq mi	322.00	sq mi	32.31681467000000	-85.0149310000000		1	seconds	Interpolated from MAP.	NAD83	201.63	feet	.16	feet	GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System	NAVD88	US	01	113										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02342892	HATCHECHUBBEE CREEK AT US 431 NR PITTSVIEW, AL	Stream		03130003	54.2	sq mi	54.2	sq mi	32.18265164000000	-85.1674352000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	01	113										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02342897	WATERMELON CREEK NEAR PITTSVIEW AL	Stream		03130003					32.24348290000000	-85.1660470000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	01	113										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02342899	WATERMELON CREEK AT PITTSVIEW AL	Stream		03130003					32.19376246000000	-85.1463235000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	01	113										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02342933	SOUTH FORK COWIKEE CREEK NEAR BATESVILLE AL	Stream		03130003	112.00	sq mi	112.00	sq mi	32.01765720000000	-85.2957704000000	24000	1	seconds	Interpolated from MAP.	NAD83	200.00	feet	10.	feet	Interpolated from topographic map.	NGVD29	US	01	005										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02343040	CHENEYHATCHEE CREEK NEAR EUFAULA AL	Stream		03130003	28.20	sq mi	28.20	sq mi	31.84043987000000	-85.2196563000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	01	005										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02343275	ABBIE CREEK NEAR ABBEVILLE AL	Stream		03130004	48.70	sq mi	48.70	sq mi	31.56183550000000	-85.2049324000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	01	067										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02343292	SANDY CREEK NEAR NEWVILLE AL	Stream		03130004	23.60	sq mi			31.43711596000000	-85.2599332000000		Unknown	Unknown	Interpolated from MAP.	NAD83							US	01	067										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02343300	ABBIE CREEK NEAR HALEBURG AL	Stream		03130004	146.00	sq mi	146.00	sq mi	31.47350458000000	-85.1624310000000		Unknown	Unknown	Interpolated from MAP.	NAD83	145.74	feet	.01	feet	Unknown.	NGVD29	US	01	067										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02343700	STEVENSON CREEK NEAR HEADLAND AL	Stream		03130004	14.00	sq mi	14.00	sq mi	31.35517405000000	-85.1846536000000		Unknown	Unknown	Interpolated from MAP.	NAD83	150.39	feet	.01	feet	Unknown.	NGVD29	US	01	067										NWIS
USGS-AL	USGS Alabama Water Science Center	USGS-02343750	OMUSEE CREEK AT COLUMBIA, AL	Stream		03130004	176	sq mi			31.28350978000000	-85.1165966000000		1	seconds	Interpolated from MAP.	NAD83							US	01	069										NWIS
