Watershed ID	Location	State Code	Alternate Name	Watershed Name	Latitude (DMS)	Longitude (DMS)	Latitude (dec deg)	Longitude (dec deg)	Acres	Area (km2)	Start Date	End Date	ARS DB Years	Data URL	Notes
05003	COLLEGE PARK	MD	Alternate_Name	W-3	390303	-765645	39.05083	-76.94583	5.02	0.0203	1944-09-16	1955-01-31		https://hrsl.ba.ars.usda.gov/wdc/md.htm	 
05004	COLLEGE PARK	MD	Alternate_Name	W-4	390303	-765645	39.05083	-76.94583	8.01	0.0324	1939-10-01	1941-04-01		https://hrsl.ba.ars.usda.gov/wdc/md.htm	 
05004	COLLEGE PARK	MD	Alternate_Name	W-4	390303	-765645	39.05083	-76.94583	6.11	0.0247	1941-04-02	1945-12-31		https://hrsl.ba.ars.usda.gov/wdc/md.htm	 
05004	COLLEGE PARK	MD	Alternate_Name	W-4	390303	-765645	39.05083	-76.94583	5.03	0.0204	1945-01-01	1955-01-31		https://hrsl.ba.ars.usda.gov/wdc/md.htm	 
05005	COLLEGE PARK	MD	Alternate_Name	W-5	390332	-765706	39.05889	-76.95167	4.07	0.0165	1939-12-31	1954-12-31		https://hrsl.ba.ars.usda.gov/wdc/md.htm	 
05006	COLLEGE PARK	MD	Alternate_Name	W-6					3.53	0.0143	1940-09-01	1962-12-31		https://hrsl.ba.ars.usda.gov/wdc/md.htm	 
05007	COLLEGE PARK	MD	Alternate_Name	W-7					4.11	0.0166	1940-09-01	1941-08-29		https://hrsl.ba.ars.usda.gov/wdc/md.htm	 
05007	COLLEGE PARK	MD	Alternate_Name	W-7					3.52	0.0142	1941-08-30	1962-12-31		https://hrsl.ba.ars.usda.gov/wdc/md.htm	 
05008	COLLEGE PARK	MD	Alternate_Name	W-8					2.43	0.0098	1940-08-01	1955-01-31		https://hrsl.ba.ars.usda.gov/wdc/md.htm	 
05009	COLLEGE PARK	MD	Alternate_Name	W-9	390303	-765740	39.05083	-76.96111	12.05	0.0488	1940-09-01	1955-01-31		https://hrsl.ba.ars.usda.gov/wdc/md.htm	 
05010	COLLEGE PARK	MD	Alternate_Name	W-10	390332	-765706	39.05889	-76.95167	3.04	0.0123	1943-07-01	1954-12-31		https://hrsl.ba.ars.usda.gov/wdc/md.htm	 
06001	HAGERSTOWN	MD	Alternate_Name	W-I					46.3	0.1874	1938-04-01	1947-10-31		https://hrsl.ba.ars.usda.gov/wdc/md.htm	 
06002	HAGERSTOWN	MD	Alternate_Name	W-II	392555	-774014	39.43194	-77.67056	80.8	0.327	1938-10-01	1947-11-30		https://hrsl.ba.ars.usda.gov/wdc/md.htm	 
07001	AUBURN	AL	Alternate_Name	W-I					27.0	0.1093	1945-01-01	1947-09-30		https://hrsl.ba.ars.usda.gov/wdc/al.htm	 
08001	VERO BEACH	FL	Alternate_Name	W-1					49915.	201.999	1951-04-01	1973-12-31		https://hrsl.ba.ars.usda.gov/wdc/fl.htm	 
08002	VERO BEACH	FL	Alternate_Name	W-2	271703	-804921	27.28417	-80.8225	63100.	255.3569	1955-07-01	1959-12-31	1955-1976	https://hrsl.ba.ars.usda.gov/wdc/fl.htm	 
08002	VERO BEACH	FL	Alternate_Name	W-2	271703	-804921	27.28417	-80.8225	63170.	255.6401	1960-01-01	1966-12-31		https://hrsl.ba.ars.usda.gov/wdc/fl.htm	 
08002	VERO BEACH	FL	Alternate_Name	W-2	271703	-804921	27.28417	-80.8225	66880.	270.654	1967-01-01	Present		https://hrsl.ba.ars.usda.gov/wdc/fl.htm	 
08003	VERO BEACH	FL	Alternate_Name	W-3	272324	-805342	27.39	-80.895	10000.	40.4686	1955-07-01	1959-12-31	1955-1976	https://hrsl.ba.ars.usda.gov/wdc/fl.htm	 
08003	VERO BEACH	FL	Alternate_Name	W-3	272324	-805342	27.39	-80.895	10050.	40.6709	1960-01-01	1966-12-31		https://hrsl.ba.ars.usda.gov/wdc/fl.htm	 
08003	VERO BEACH	FL	Alternate_Name	W-3	272324	-805342	27.39	-80.895	12224.	49.4688	1967-01-01	Present		https://hrsl.ba.ars.usda.gov/wdc/fl.htm	 
08004	VERO BEACH	FL	Alternate_Name	W-4					3968.	16.0579	1959-01-01	1963-12-31		https://hrsl.ba.ars.usda.gov/wdc/fl.htm	 
08004	VERO BEACH	FL	Alternate_Name	W-4					3970.	16.066	1964-01-01	1973-12-31		https://hrsl.ba.ars.usda.gov/wdc/fl.htm	 
08005	VERO BEACH	FL	Alternate_Name	W-5	271840	-805344	27.31111	-80.89556	22656.	91.6857	1964-01-01	1975-12-31	1964-1976	https://hrsl.ba.ars.usda.gov/wdc/fl.htm	 
08005	VERO BEACH	FL	Alternate_Name	W-5	271840	-805344	27.31111	-80.89556	20992.	84.9517	1976-01-01	Present		https://hrsl.ba.ars.usda.gov/wdc/fl.htm	 
09001	AMERICUS	GA	Alternate_Name	W-1	320852	-841830	32.14778	-84.30833	17.9	0.0724	1938-08-01	1938-12-31	1938-1943	https://hrsl.ba.ars.usda.gov/wdc/ga.htm	Notice that first watershed name is W-1 but others use roman numerals.
09001	AMERICUS	GA	Alternate_Name	W-1	320852	-841830	32.14778	-84.30833	23.5	0.0951	1939-01-01	1942-06-31		https://hrsl.ba.ars.usda.gov/wdc/ga.htm	Notice that first watershed name is W-1 but others use roman numerals.
09001	AMERICUS	GA	Alternate_Name	W-1	320852	-841830	32.14778	-84.30833	22.8	0.0923	1942-07-01	1943-05-31		https://hrsl.ba.ars.usda.gov/wdc/ga.htm	Notice that first watershed name is W-1 but others use roman numerals.
09002	AMERICUS	GA	Alternate_Name	W-II	321137	-842015	32.19361	-84.3375	42.8	0.1732	1938-08-01	1942-03-31	1938-1942	https://hrsl.ba.ars.usda.gov/wdc/ga.htm	Watershed name in INDEX.TXT is W-I but according to info at URL it should be W-II.
09003	AMERICUS	GA	Alternate_Name	W-III	321100	-842015	32.18333	-84.3375	32.0	0.1295	1938-08-01	1942-02-28	1938-1942	https://hrsl.ba.ars.usda.gov/wdc/ga.htm	 
09004	AMERICUS	GA	Alternate_Name	W-IV	321308	-842148	32.21889	-84.36333	59.2	0.2396	1938-08-01	1943-04-30	1938-1943	https://hrsl.ba.ars.usda.gov/wdc/ga.htm	 
10001	WATKINSVILLE	GA	Alternate_Name	W-1	335338	-832530	33.89389	-83.425	19.2	0.0777	1939-09-01	Present	1945-1984	https://hrsl.ba.ars.usda.gov/wdc/ga.htm	 
10011	WATKINSVILLE	GA	Alternate_Name	P-1	335315	-832515	33.8875	-83.42083	6.67	0.027	1972-01-01	Present	1972-1975	https://hrsl.ba.ars.usda.gov/wdc/ga.htm	 
10012	WATKINSVILLE	GA	Alternate_Name	P-2	335305	-832538	33.88472	-83.42722	3.21	0.013	1973-01-01	Present	1973-1975	https://hrsl.ba.ars.usda.gov/wdc/ga.htm	 
10013	WATKINSVILLE	GA	Alternate_Name	P-3	335208	-832710	33.86889	-83.45278	3.11	0.0126	1972-01-01	Present	1972-1975	https://hrsl.ba.ars.usda.gov/wdc/ga.htm	 
10014	WATKINSVILLE	GA	Alternate_Name	P-4	335212	-832710	33.87	-83.45278	3.41	0.0138	1973-01-01	Present	1973-1975	https://hrsl.ba.ars.usda.gov/wdc/ga.htm	 
11001	HIGH POINT	NC	Alternate_Name	W.F.D.R.					21100.	85.3887	1923-07-01	1936-12-31		https://hrsl.ba.ars.usda.gov/wdc/nc.htm	 
11001	HIGH POINT	NC	Alternate_Name	W.F.D.R.					20544.	83.1387	1937-01-01	1953-09-30		https://hrsl.ba.ars.usda.gov/wdc/nc.htm	 
11002	HIGH POINT	NC	Alternate_Name	M.C.					10350.	41.885	1934-09-01	1941-12-31		https://hrsl.ba.ars.usda.gov/wdc/nc.htm	 
11002	HIGH POINT	NC	Alternate_Name	M.C.					10300.	41.6827	1934-06-01	1941-12-31		https://hrsl.ba.ars.usda.gov/wdc/nc.htm	 
11003	HIGH POINT	NC	Alternate_Name	U.R.					7230.	29.2588	1934-06-01	1941-12-31		https://hrsl.ba.ars.usda.gov/wdc/nc.htm	 
12001	STATESVILLE	NC	Alternate_Name	C-8	354310	-810220	35.71944	-81.03889	5.12	0.0207	1933-01-01	1938-12-31		https://hrsl.ba.ars.usda.gov/wdc/nc.htm	 
12002	STATESVILLE	NC	Alternate_Name	W-23	354252	-810248	35.71444	-81.04667	6.00	0.0243	1933-01-01	1938-12-31		https://hrsl.ba.ars.usda.gov/wdc/nc.htm	 
13001	BLACKSBURG	VA	Alternate_Name	W-II					5.44	0.022	1939-05-01	1951-03-31		https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
13002	BLACKSBURG	VA	Alternate_Name	W-III					19.3	0.0781	1939-05-01	1967-12-31		https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
13003	BLACKSBURG	VA	Alternate_Name	W-IV					3.49	0.0141	1951-09-01	1967-12-31		https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
13004	BLACKSBURG	VA	Alternate_Name	W-V					6.08	0.0246	1952-01-01	1967-12-31		https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
13005	BLACKSBURG	VA	Alternate_Name	W-VI					7.70	0.0312	1951-09-01	1967-12-31		https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
13006	BLACKSBURG	VA	Alternate_Name	T.C.	370557	-804434	37.09917	-80.74278	3054.	12.3591	1957-06-01	1969-12-31	1957-1969	https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
13007	BLACKSBURG	VA	Alternate_Name	C.C.	370756	-802730	37.13222	-80.45833	786.	3.1808	1957-08-01	Present	1957-1972	https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
13008	BLACKSBURG	VA	Alternate_Name	B.C.	370245	-801643	37.04583	-80.27861	93.	0.3764	1957-08-01	Present	1957-1972	https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
13009	BLACKSBURG	VA	Alternate_Name	P.C.	363452	-791118	36.58111	-79.18833	182.	0.7365	1958-01-01	1969-12-31	1958-1969	https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
13010	BLACKSBURG	VA	Alternate_Name	L.W.C.	363518	-790519	36.58833	-79.08861	1471.	5.9529	1958-01-01	1974-12-31	1958-1972	https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
13011	BLACKSBURG	VA	Alternate_Name	R.R.B.	364354	-775441	36.73167	-77.91139	555.	2.246	1958-04-01	Present	1958-1972	https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
13012	BLACKSBURG	VA	Alternate_Name	P.M.B.	382705	-775723	38.45139	-77.95639	192.	0.777	1958-06-01	1969-12-31	1958-1969	https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
13013	BLACKSBURG	VA	Alternate_Name	C.R.	383430	-782715	38.575	-78.45417	2023.	8.1868	1959-10-01	1969-12-31	1959-1969	https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
13014	BLACKSBURG	VA	Alternate_Name	F.C.	375748	-781112	37.96333	-78.18667	389.	1.5742	1960-09-01	1969-12-31	1960-1969	https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
13015	BLACKSBURG	VA	Alternate_Name	C.B.	372206	-792310	37.36833	-79.38611	1058.	4.2816	1960-09-01	Present	1960-1972	https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
14001	CHATHAM	VA	Alternate_Name	W-I					13.3	0.0538	1938-08-01	1948-12-31		https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
14002	CHATHAM	VA	Alternate_Name	W-II					16.1	0.0652	1938-08-01	1948-12-31		https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
14003	CHATHAM	VA	Alternate_Name	W-III					17.1	0.0692	1938-08-01	1948-12-31		https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
15001	STAUNTON	VA	Alternate_Name	W-I					390.	1.5783	1948-07-01	1955-12-31		https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
15002	STAUNTON	VA	Alternate_Name	W-II					2430.	9.8339	1948-07-01	1955-12-31		https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
15003	STAUNTON	VA	Alternate_Name	W-III					6144.	24.8639	1948-07-01	1955-12-31		https://hrsl.ba.ars.usda.gov/wdc/va.htm	 
16001	KLINGERSTOWN	PA	Mahantango Cr. at Malta	R-04	403640	-0765444	40.61111	-76.91222	103680.	419.5784	1968-01-01	Present		https://hrsl.ba.ars.usda.gov/wdc/pa.htm	 
16002	KLINGERSTOWN	PA	Alternate_Name	O-16					6656.	26.9359	1968-01-01	1980-12-31		https://hrsl.ba.ars.usda.gov/wdc/pa.htm	 
16003	KLINGERSTOWN	PA	Mahantango Cr. at Klgtn.	K-27	404133	-0763949	40.6925	-76.66361	28544.	115.5136	1968-01-01	Present		https://hrsl.ba.ars.usda.gov/wdc/pa.htm	 
16004	KLINGERSTOWN	PA	Alternate_Name	M-27					48768.	197.3573	1968-01-01	1972-12-31		https://hrsl.ba.ars.usda.gov/wdc/pa.htm	 
16005	KLINGERSTOWN	PA	Alternate_Name	J-30					340.	1.3759	1967-01-01	1980-12-31		https://hrsl.ba.ars.usda.gov/wdc/pa.htm	 
16006	KLINGERSTOWN	PA	Stehr Bros. Weir	WE-38	404216	-763516	40.70444	-76.58778	1773.	7.1751	1968-01-01	Present	1968-1990	https://hrsl.ba.ars.usda.gov/wdc/pa.htm	 
16007	KLINGERSTOWN	PA	Alternate_Name	WE-38					1930.	7.8104	1967-01-01	1971-12-31		https://hrsl.ba.ars.usda.gov/wdc/pa.htm	 
16010	KLINGERSTOWN	PA	Alternate_Name	PAUL F1					100.	0.4047	1970-01-01	Present	1970-1976	https://hrsl.ba.ars.usda.gov/wdc/pa.htm	 
16020	KLINGERSTOWN	PA	Alternate_Name	PAUL F2					140.	0.5666	1970-01-01	Present	1970-1976	https://hrsl.ba.ars.usda.gov/wdc/pa.htm	 
17001	EDWARDSVILLE	IL	Alternate_Name	W-1	385245	-895414	38.87917	-89.90389	27.22	0.1102	1938-03-01	1955-12-31	1938-1955	https://hrsl.ba.ars.usda.gov/wdc/il.htm	 
17002	EDWARDSVILLE	IL	Alternate_Name	W-2	385245	-895424	38.87917	-89.90667	49.95	0.2021	1938-03-01	1955-12-31	1938-1954	https://hrsl.ba.ars.usda.gov/wdc/il.htm	 
17003	EDWARDSVILLE	IL	Alternate_Name	W-3	385227	-895408	38.87417	-89.90222	12.55	0.0508	1938-03-01	1942-12-31	1938-1942	https://hrsl.ba.ars.usda.gov/wdc/il.htm	 
17004	EDWARDSVILLE	IL	Alternate_Name	W-4	385242	-895427	38.87833	-89.9075	289.8	1.1728	1938-03-01	1955-12-31	1938-1955	https://hrsl.ba.ars.usda.gov/wdc/il.htm	 
18001	ELMWOOD	IL	Alternate_Name	WB-1					1.28	0.0052	1945-04-01	1946-09-30		https://hrsl.ba.ars.usda.gov/wdc/il.htm	 
18002	ELMWOOD	IL	Alternate_Name	WB-2					2.28	0.0092	1945-04-01	1946-09-30		https://hrsl.ba.ars.usda.gov/wdc/il.htm	 
18003	ELMWOOD	IL	Alternate_Name	WB-3					2.61	0.0106	1945-04-01	1946-09-30		https://hrsl.ba.ars.usda.gov/wdc/il.htm	 
18004	ELMWOOD	IL	Alternate_Name	WB-4					2.77	0.0112	1945-04-01	1946-09-30		https://hrsl.ba.ars.usda.gov/wdc/il.htm	 
18005	ELMWOOD	IL	Alternate_Name	WB-5					1.93	0.0078	1945-04-01	1946-09-30		https://hrsl.ba.ars.usda.gov/wdc/il.htm	 
18006	ELMWOOD	IL	Alternate_Name	WB-6					2.41	0.0098	1945-04-01	1946-09-30		https://hrsl.ba.ars.usda.gov/wdc/il.htm	 
18007	ELMWOOD	IL	Alternate_Name	WT-1					2.02	0.0082	1945-04-01	1946-09-30		https://hrsl.ba.ars.usda.gov/wdc/il.htm	 
18008	ELMWOOD	IL	Alternate_Name	WT-2					1.88	0.0076	1945-04-01	1946-09-30		https://hrsl.ba.ars.usda.gov/wdc/il.htm	 
18009	ELMWOOD	IL	Alternate_Name	WT-3					2.40	0.0097	1945-04-01	1946-09-30		https://hrsl.ba.ars.usda.gov/wdc/il.htm	 
18010	ELMWOOD	IL	Alternate_Name	WT-4					2.06	0.0083	1945-04-01	1946-09-30		https://hrsl.ba.ars.usda.gov/wdc/il.htm	 
18011	ELMWOOD	IL	Alternate_Name	WT-5					2.76	0.0112	1945-04-01	1946-09-30		https://hrsl.ba.ars.usda.gov/wdc/il.htm	 
18012	ELMWOOD	IL	Alternate_Name	WT-6					5.35	0.0217	1945-04-01	1946-09-30		https://hrsl.ba.ars.usda.gov/wdc/il.htm	 
19001	LAFAYETTE	IN	Alternate_Name	W-1					2.55	0.0103	1940-04-01	1953-09-30	1940-1953	https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19002	LAFAYETTE	IN	Alternate_Name	W-2					2.23	0.009	1940-04-01	1953-09-30	1940-1953	https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19003	LAFAYETTE	IN	Alternate_Name	W-4					2.01	0.0081	1940-04-01	1953-09-30	1940-1953	https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19004	LAFAYETTE	IN	Alternate_Name	W-5					2.87	0.0116	1940-04-01	1953-09-30	1940-1953	https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19005	LAFAYETTE	IN	Alternate_Name	W-6					2.79	0.0113	1940-04-01	1953-09-30	1940-1953	https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19006	LAFAYETTE	IN	Alternate_Name	W-7					1.96	0.0079	1940-04-01	1953-09-30	1940-1953	https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19007	LAFAYETTE	IN	Alternate_Name	W-8					1.96	0.0079	1940-04-01	1953-09-30	1940-1953	https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19008	LAFAYETTE	IN	Alternate_Name	W-10					2.06	0.0083	1940-04-01	1953-09-30	1940-1953	https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19009	LAFAYETTE	IN	Alternate_Name	W-11					2.05	0.0083	1940-04-01	1953-09-30	1940-1953	https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19010	LAFAYETTE	IN	Alternate_Name	W-12					3.37	0.0136	1940-04-01	1953-09-30	1940-1953	https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19011	LAFAYETTE	IN	Alternate_Name	W-13					3.02	0.0122	1940-04-01	1953-03-31	1940-1953	https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19012	LAFAYETTE	IN	Alternate_Name	W-14					2.85	0.0115	1940-04-01	1953-09-30	1940-1953	https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19013	LAFAYETTE	IN	Alternate_Name	W-15					3.59	0.0145	1940-04-01	1953-09-30	1940-1953	https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19014	LAFAYETTE	IN	Alternate_Name	W-18					3.24	0.0131	1940-04-01	1953-09-30		https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19015	LAFAYETTE	IN	Alternate_Name	W-20					2.64	0.0107	1940-04-01	1952-09-30		https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19016	LAFAYETTE	IN	Alternate_Name	W-25					3.52	0.0142	1940-04-01	1952-09-30		https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19017	LAFAYETTE	IN	Alternate_Name	W-31					1.64	0.0066	1940-08-01	1951-12-31		https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19018	LAFAYETTE	IN	Alternate_Name	W-32					1.83	0.0074	1940-08-01	1951-12-31		https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19019	LAFAYETTE	IN	Alternate_Name	W-33					3.44	0.0139	1940-08-01	1951-12-31		https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
19020	LAFAYETTE	IN	Alternate_Name	W-34					3.17	0.0128	1940-08-01	1951-12-31	1940-1951	https://hrsl.ba.ars.usda.gov/wdc/in.htm	 
20001	CLARINDA	IA	Alternate_Name	W-V					3.25	0.0132	1932-10-01	1942-06-31		https://hrsl.ba.ars.usda.gov/wdc/ia.htm	 
20002	CLARINDA	IA	Alternate_Name	W-W					1.97	0.008	1934-01-01	1942-05-31		https://hrsl.ba.ars.usda.gov/wdc/ia.htm	 
20003	CLARINDA	IA	Alternate_Name	W-X					1.97	0.008	1934-01-01	1942-06-31		https://hrsl.ba.ars.usda.gov/wdc/ia.htm	 
20004	CLARINDA	IA	Alternate_Name	W-Y					3.25	0.0132	1932-10-10	1942-06-31		https://hrsl.ba.ars.usda.gov/wdc/ia.htm	 
20005	CLARINDA	IA	Alternate_Name	W-Z					3.12	0.0126	1932-10-10	1942-06-31		https://hrsl.ba.ars.usda.gov/wdc/ia.htm	 
21001	IOWA CITY	IA	Alternate_Name	W-Z					1930.	7.8104	1924-09-01	Present		https://hrsl.ba.ars.usda.gov/wdc/ia.htm	 
22001	SHENANDOAH	IA	Alternate_Name	NO. 1					128000.	517.9981	1934-07-01	1940-06-31		https://hrsl.ba.ars.usda.gov/wdc/ia.htm	 
22002	SHENANDOAH	IA	Alternate_Name	NO. 2					67200.	271.949	1934-07-01	1940-06-31		https://hrsl.ba.ars.usda.gov/wdc/ia.htm	 
22003	FOURMILE CK	IA	Alternate_Name	SITE 1	421454	-923800	42.24833	-92.63333	12.48	0.0505	1976-01-01	1980-12-31	1976-1980	https://hrsl.ba.ars.usda.gov/wdc/ia.htm	 
22004	FOURMILE CK	IA	Alternate_Name	SITE 2	421454	-923802	42.24833	-92.63389	15.74	0.0637	1976-01-01	1980-12-31	1976-1980	https://hrsl.ba.ars.usda.gov/wdc/ia.htm	 
22005	FOURMILE CK	IA	Alternate_Name	SITE 3	421248	-923342	42.21333	-92.56167	14.65	0.0593	1976-01-01	1980-12-31	1976-1980	https://hrsl.ba.ars.usda.gov/wdc/ia.htm	 
22006	FOURMILE CK	IA	Alternate_Name	SITE 7	421506	-924236	42.25167	-92.71	701.85	2.8403	1976-01-01	1980-12-31	1976-1980	https://hrsl.ba.ars.usda.gov/wdc/ia.htm	 
22007	FOURMILE CK	IA	Alternate_Name	SITE 8	421448	-923812	42.24667	-92.63667	368.22	1.4901	1976-01-01	1980-12-31	1976-1980	https://hrsl.ba.ars.usda.gov/wdc/ia.htm	 
23001	EAST LANSING	MI	Alternate_Name	A					1.98	0.008	1941-02-01	1959-12-31			 
23002	EAST LANSING	MI	Alternate_Name	B					1.35	0.0055	1941-02-01	1959-12-31			 
23003	EAST LANSING	MI	Alternate_Name	W					1.65	0.0067	1941-03-01	1959-12-31			 
24001	BETHANY	MO	Alternate_Name	PA-A					2.03	0.0082	1934-01-01	1942-12-31		https://hrsl.ba.ars.usda.gov/wdc/mo.htm	 
24002	BETHANY	MO	Alternate_Name	PA-B					6.52	0.0264	1932-01-01	1935-11-22		https://hrsl.ba.ars.usda.gov/wdc/mo.htm	 
24002	BETHANY	MO	Alternate_Name	PA-B					5.56	0.0225	1935-11-23	1942-12-31		https://hrsl.ba.ars.usda.gov/wdc/mo.htm	 
24003	BETHANY	MO	Alternate_Name	PA-C					1.97	0.008	1937-01-01	1942-12-31		https://hrsl.ba.ars.usda.gov/wdc/mo.htm	 
24004	BETHANY	MO	Alternate_Name	D-1					7.51	0.0304	1934-07-01	1942-12-31		https://hrsl.ba.ars.usda.gov/wdc/mo.htm	 
24005	BETHANY	MO	Alternate_Name	D-2					.03	0.0001	1934-07-01	1942-12-31		https://hrsl.ba.ars.usda.gov/wdc/mo.htm	 
24006	BETHANY	MO	Alternate_Name	D-3					4.85	0.0196	1932-07-01	1934-05-11		https://hrsl.ba.ars.usda.gov/wdc/mo.htm	 
24006	BETHANY	MO	Alternate_Name	D-3					4.48	0.0181	1934-05-12	1942-12-31		https://hrsl.ba.ars.usda.gov/wdc/mo.htm	 
24007	BETHANY	MO	Alternate_Name	1-58					2.12	0.0086	1933-01-01	1942-12-31		https://hrsl.ba.ars.usda.gov/wdc/mo.htm	 
24008	BETHANY	MO	Alternate_Name	IJ-1					2.13	0.0086	1933-07-01	1942-12-31		https://hrsl.ba.ars.usda.gov/wdc/mo.htm	 
25001	KINGDOM CITY	MO	Alternate_Name	S.R.W.	385654	-915437	38.94833	-91.91028	154.	0.6232	1941-01-01	1988-12-31	1941-1980	https://hrsl.ba.ars.usda.gov/wdc/mo.htm	 
25002	MCCREDIE	MO	Alternate_Name	NO.2					44.33	0.1794	1951-01-01	1963-10-17		https://hrsl.ba.ars.usda.gov/wdc/mo.htm	 
26001	COSHOCTON	OH	Alternate_Name	102	402225	-814741	40.37361	-81.79472	1.26	0.0051	1937-04-01	1946-12-31	1937-1992	https://hrsl.ba.ars.usda.gov/wdc/oh.htm	 
26001	COSHOCTON	OH	Alternate_Name	102	402225	-814741	40.37361	-81.79472	1.26	0.0051	1957-01-01	1957-12-31		https://hrsl.ba.ars.usda.gov/wdc/oh.htm	 
26001	COSHOCTON	OH	Alternate_Name	102	402225	-814741	40.37361	-81.79472	1.26	0.0051	1960-04-01	Present		https://hrsl.ba.ars.usda.gov/wdc/oh.htm	 
26002	COSHOCTON	OH	Alternate_Name	104	402224	-814741	40.37333	-81.79472	1.33	0.0054	1937-04-01	1946-12-31	1937-1992	https://hrsl.ba.ars.usda.gov/wdc/oh.htm	 
26002	COSHOCTON	OH	Alternate_Name	104	402224	-814741	40.37333	-81.79472	1.33	0.0054	1969-01-01	Present		https://hrsl.ba.ars.usda.gov/wdc/oh.htm	 
