stid,station_name,lat,lon,elev,begints,iem_network
TCAF1,14 W Tamiami Canal at S-355A/Sweetwater 14W  FL,25.7611,-80.6042,3,2011-02-11 00:00,FL_DCP
TARC2,15 SE Thatcher,37.4167,-103.9167,1542,2011-03-29 00:00,CO_DCP
TXAO2,(1617)-8300 N. PEORIA-DELAWARE CRK,36.27,-95.97,187,2010-12-07 00:00,OK_DCP
VBMC2,16 ESE Model,37.3458,-103.9575,1537,2011-03-28 00:00,CO_DCP
PUKC2,17 SE Timpas,37.6167,-103.6,1330,2011-02-08 00:00,CO_DCP
SVTL1,17TH STREET CANAL 3 - GENEVA ST,30.0139,-90.1222,1,2010-12-07 00:00,LA_DCP
SVIL1,17TH STREET CANAL 6 - INTERSTATE 10,29.9965,-90.1236,2,2010-12-07 00:00,LA_DCP
THTC2,18 SE Thatcher,37.3564,-103.8997,1469,2010-12-07 00:00,CO_DCP
JCFC2,1 E Fountain,38.6844,-104.6881,1693,2010-12-07 00:00,CO_DCP
BOOI3,1 NE Brookville Tailwater,39.4333,-85,211,2008-10-16 00:00,IN_DCP
NCOC2,1 NNE Conejos,37.1028,-106.0083,2401,2010-12-07 00:00,CO_DCP
CTMC2,1 NNE Cottonwood Ck Mouth,38.9281,-104.6431,2081,2010-12-07 00:00,CO_DCP
DSVN6,1 NW Dansville,42.5833,-77.715,187,2010-12-07 00:00,NY_DCP
WHCC2,1 NW Holly,38.0581,-102.1361,1035,2010-12-07 00:00,CO_DCP
PAYF1,1 S Bowling Green,27.6203,-81.8258,24,2010-12-07 00:00,FL_DCP
CBAC2,1 SE Buena Vista,38.8369,-106.1244,2421,2010-12-07 00:00,CO_DCP
HTDM8,1 SE Huntley,45.9042,-108.317,918,2010-12-08 00:00,MT_DCP
SAFC2,1 SSE Fort Garland,37.425,-105.4144,2414,2010-12-07 00:00,CO_DCP
LCKC2,1 W Balltown,39.0758,-106.3097,2808,2010-12-07 00:00,CO_DCP
PTOC2,1 W Conejos River,37.355,-106.5436,3018,2010-12-07 00:00,CO_DCP
MMFC1,1 W MERCED FALLS,37.5217,-120.3314,109,2010-12-07 00:00,CA_DCP
LPML1,1 WNW Lake Pontchartrain near Mandeville,30.3657,-90.0922,8,2010-12-07 00:00,LA_DCP
CPSC1,20L11 - CAPLES LAKES  CA (NEAR CPLC1),38.7167,-120.05,2497,2010-12-02 00:00,CA_DCP
PRDA2,20 NNW NWLON Station near Prudhoe Bay,70.4,-148.5267,-2,2014-04-16 00:00,AK_DCP
TXBO2,(2117)-4100 N. HARTFORD-FLAT ROCK CRK,36.21,-95.98,195,2010-12-07 00:00,OK_DCP
TXCO2,(2217)-6400 N. DELAWARE,36.25,-95.95,183,2010-12-07 00:00,OK_DCP
TXDO2,(2317)-OXLEY NATURE CENTER,36.22,-95.9,189,2010-12-07 00:00,OK_DCP
TXEO2,(2417)-36TH ST N BRDG-MINGO CRK,36.206,-95.859,182,2010-12-07 00:00,OK_DCP
SFKA2,25 NE South Fork Koyukuk River at Dalton Hwy,67.0197,-150.2928,345,2014-07-23 00:00,AK_DCP
TXFO2,(2617)-KJRH-N. HWY 97,36.2,-96.1,294,2010-12-07 00:00,OK_DCP
TXGO2,(2817)-800 E. APACHE-DIRTY BUTTER CRK,36.19,-95.97,203,2010-12-07 00:00,OK_DCP
TXHO2,(29.17)-FLORENCE AND SEMINOLE,36.18,-95.94,227,2010-12-07 00:00,OK_DCP
GODC2,2 NE Camp Ck Garden Gods,38.8769,-104.8722,1930,2010-12-07 00:00,CO_DCP
NCSC2,2 NE Crestone,38.0136,-105.6922,2576,2010-12-07 00:00,CO_DCP
UFGC2,2 N Fort Garland,37.4639,-105.425,2504,2010-12-07 00:00,CO_DCP
GDRF1,2 N Gardner,27.3747,-81.7967,18,2010-12-07 00:00,FL_DCP
GRAC2,2 N Granada,38.0956,-102.3103,1059,2010-12-07 00:00,CO_DCP
JDWP1,2 N Jadwin Reservoir,41.6069,-75.2667,304,2010-12-08 00:00,PA_DCP
RBCU1,2 N RED BUTTE CK NR SLC,40.7833,-111.8,1727,2010-12-07 00:00,UT_DCP
EFKC2,2 NW Leadville,39.2725,-106.3058,3029,2010-12-07 00:00,CO_DCP
TBFF1,2 NW Oldsmar,28.053,-82.7094,9,2010-12-07 00:00,FL_DCP
BONC2,2 S Boone,38.2333,-104.2667,1360,2010-12-07 00:00,CO_DCP
MRCC2,2 SE Ordway,38.15,-103.75,1301,2010-12-07 00:00,CO_DCP
FCUC2,2 S Fountain Ck Janitell,38.8,-104.8,1793,2010-12-07 00:00,CO_DCP
CLRC2,2 SSE Granite,39.0219,-106.245,2700,2010-12-07 00:00,CO_DCP
CKAC2,2 SW Granite,39.0181,-106.2772,2717,2010-12-07 00:00,CO_DCP
FRUF1,2 SW Lorraine,27.4206,-82.4261,7,2010-12-07 00:00,FL_DCP
SRGC2,2 SW Sf Rg @ South Fork,37.6567,-106.6486,2532,2010-12-07 00:00,CO_DCP
TXIO2,(3017)-6201 E. VIRGIN,36.18,-95.91,206,2010-12-07 00:00,OK_DCP
TXJO2,(3117)-2000 N. 129TH E,36.18,-95.83,210,2010-12-07 00:00,OK_DCP
TXLO2,(3517)-7300 W. CAMERON,36.16,-96.07,224,2010-12-07 00:00,OK_DCP
TXNO2,(3617)-FIRE STN #4-522 W. 12TH,36.14,-95.99,226,2010-12-07 00:00,OK_DCP
LCAT2,3.6 N Addicks,29.8356,-95.6256,45,2010-12-07 00:00,TX_DCP
TXOO2,(3717)-1627 S. FLORENCE,36.14,-95.94,247,2010-12-07 00:00,OK_DCP
TXPO2,(3817)-11TH ST BRDG-MINGO CRK,36.148,-95.871,193,2010-12-07 00:00,OK_DCP
TXQO2,(3827)-2182 S. 73RD E,36.13,-95.9,223,2010-12-07 00:00,OK_DCP
TYWA2,38 ESE Tyee Lake Outlet near Wrangell,56.2,-131.50667,501.9424,2011-10-19 00:00,AK_DCP
SDLF1,3 E Lakeland,28.0439,-81.8764,40,2010-12-07 00:00,FL_DCP
SMSC2,3 E San Antonio River,37.1769,-106.1222,2497,2010-12-07 00:00,CO_DCP
LARC2,3 NE Las Animas,38.0808,-103.2192,1190,2010-12-07 00:00,CO_DCP
MFEM2,3 NE Liberty Reservoir/Mayfield,39.3792,-76.8456,138,2010-12-07 00:00,MD_DCP
RGTC2,3 N Lasauses,37.3161,-105.7422,2288,2010-12-07 00:00,CO_DCP
MPKC2,3 N Monument Ck Pikeview,38.9167,-104.8167,1908,2010-12-07 00:00,CO_DCP
GRVL1,3 NNW CRM Station 5373 near Garyville,30.1005,-90.6308,11,2010-12-07 00:00,LA_DCP
CBCL1,3 NW Cross Bayou Canal South,29.9842,-90.3498,5,2010-12-07 00:00,LA_DCP
SAGT2,3 NW O. C. Fisher Lk at San Angelo,31.4844,-100.4814,565,2010-12-07 00:00,TX_DCP
GCWC2,3 NW Westcliffe,38.1861,-105.4831,2346,2010-12-07 00:00,CO_DCP
WCCL1,3 SSE West Closure CPX1 near Woodmere,29.8197,-90.068,4.6950674,2013-09-06 00:00,LA_DCP
TDDC2,3 SW Trinidad,37.1333,-104.55,1928,2010-12-06 00:00,CO_DCP
LAJC2,3 W La Junta,37.9822,-103.5978,1254,2010-12-07 00:00,CO_DCP
FTLC2,3 WNW La Junta,38.0069,-103.5681,1245,2010-12-07 00:00,CO_DCP
WFHC1,3 WNW WOFFORD HEIGHTS,35.7217,-118.4989,1220,2010-12-07 00:00,CA_DCP
HMZC2,3 WSW Red Wing,37.7278,-105.3508,2575,2010-12-07 00:00,CO_DCP
MEDC2,40 N Blanca,37.7978,-105.5022,2600,2010-12-07 00:00,CO_DCP
TXRO2,(4517)-31ST S AND 55TH W,36.121,-96.048,217,2010-12-07 00:00,OK_DCP
TXSO2,(4617)-FIRE STN #18-4802 S. PEORIA,36.159,-96.032,211,2010-12-07 00:00,OK_DCP
TXVO2,(4827)-3400 S. MINGO-MINGO CRK,36.115,-95.87,201,2010-12-07 00:00,OK_DCP
TXWO2,(4917)-FIRE STN #27-11707 E. 31ST,36.12,-95.85,207,2010-12-07 00:00,OK_DCP
HORF1,4 NE Myakka Head,27.4869,-82.0236,28,2010-12-07 00:00,FL_DCP
LHNC2,4 NE Ordway,38.25,-103.7167,1336,2010-12-07 00:00,CO_DCP
MNLL1,4 SE CRM Station 0282 near Magnolia,29.4978,-89.7606,1,2010-12-07 00:00,LA_DCP
MOHC2,4 SE Fort Garland,37.3931,-105.3931,2514,2011-06-26 00:00,CO_DCP
APAC2,4 SE Fowler,38.0908,-103.9811,1319,2010-12-07 00:00,CO_DCP
JMCC2,4 SE Hasty,38.0681,-102.9369,1145,2010-12-06 00:00,CO_DCP
JMBC2,4 SE Hasty,38.0664,-102.9319,1143,2010-12-07 00:00,CO_DCP
NCTC2,4 S North Catamount Rsvr,38.9292,-105.0458,2786,2011-08-30 00:00,CO_DCP
TBSC2,4 SW Blanca,37.3861,-105.5508,2348,2010-12-07 00:00,CO_DCP
RCFC2,4 SW Fort Carson,38.6969,-104.8275,1885,2010-12-07 00:00,CO_DCP
GULF1,4 SW Gulf Hammock,29.2039,-82.7692,9,2010-12-07 00:00,FL_DCP
NMIC2,4 SW Higbee,37.7147,-103.5106,1321,2010-12-07 00:00,CO_DCP
RISM6,4 SW MS Sound/Round Island near Pascagoula,30.3136,-88.5833,0,2010-12-07 00:00,MS_DCP
FJWA3,4TH OF JULY WASH- 21 MI W OF OLD US80 &a,33.2775,-113.13,343,2010-12-16 00:00,AZ_DCP
BECC2,4 W Bear Creek,38.8225,-104.8881,1993,2010-12-07 00:00,CO_DCP
CHKC2,4 W Nathrop,38.7336,-106.1594,2486,2010-12-07 00:00,CO_DCP
TWTC2,4 WSW Balltown,39.0822,-106.54,3210,2010-12-07 00:00,CO_DCP
TXYO2,(5117)-PAGE BELCHER GOLF COURSE,36.07,-96.02,216,2010-12-07 00:00,OK_DCP
TXZO2,(5217)-FIRE STN 29-7429 S. LEWIS,36.06,-95.96,198,2010-12-07 00:00,OK_DCP
TZAO2,(5617)-3700 E. 91ST ST S.-VENSEL CRK,36.03,-95.933,216,2010-12-07 00:00,OK_DCP
TZBO2,(5717)-7008 E. 101 ST S,36.02,-95.9,229,2010-12-07 00:00,OK_DCP
BDML1,5 NE BAYOU DUPRE AT MRGO EAST,29.9351,-89.8365,4,2010-12-07 00:00,LA_DCP
BAHC2,5 NNE Penrose,38.4892,-104.9969,1732,2011-02-24 00:00,CO_DCP
SPRT2,5 N Palo Duro Reservoir,36.3617,-101.1633,870,2010-12-07 00:00,TX_DCP
LWDF1,5 SE Bradenton,27.4381,-82.4869,2,2010-12-07 00:00,FL_DCP
ARKC2,5 SE Granite,38.995,-106.2197,2638,2011-03-30 00:00,CO_DCP
TCKC2,5 SE Rocky Ford,38.0031,-103.6556,1261,2010-12-07 00:00,CO_DCP
MSLN5,5 SSE Below Mesilla Dam near Mesilla,32.21028,-106.77167,1175.0046,2010-12-07 00:00,NM_DCP
DNAL1,5 SSE CRM Station 0061 near Maurepas,30.2233,-90.64,5,2010-12-07 00:00,LA_DCP
BCBC2,5 SW Beaver Creek Blw Res,37.5986,-106.6669,2682,2010-12-07 00:00,CO_DCP
FRCC2,5 SW Cripple Creek,38.6644,-105.2269,2120,2010-12-07 00:00,CO_DCP
LGAC2,5 SW La Garita Creek,37.8133,-106.3181,2453,2010-12-07 00:00,CO_DCP
OEMO2,5 W OKEMAH,35.4294,-96.4078,246,2010-12-07 00:00,OK_DCP
TNST2,6922 OLD KATY RD,29.7842,-95.4411,20,2010-12-07 00:00,TX_DCP
WEMC2,6 ESE W Monument Ck Rampart,38.975,-104.955,2682,2010-12-07 00:00,CO_DCP
GIBN7,6 NW Reedy Fork Nr Gibsonville,36.1753,-79.6169,206,2010-12-07 00:00,NC_DCP
WMMF1,6 NW Wimauma,27.7917,-82.3522,14,2010-12-07 00:00,FL_DCP
CTLC2,6 S Crystal Reservoir,38.9222,-105.0208,2831,2010-12-07 00:00,CO_DCP
DKHC1,6 SE HESPERIA,34.3411,-117.2275,953,2010-12-07 00:00,CA_DCP
ARNC2,6 S Nathrop,38.6522,-106.0506,2259,2011-03-30 00:00,CO_DCP
LJCC2,6 SW La Jara Creek,37.2089,-106.1878,2470,2010-12-07 00:00,CO_DCP
LFKC2,6 W Leadville,39.25,-106.3667,3010,2010-12-07 00:00,CO_DCP
BBBM6,6 WNW Back Bay of Biloxi near Biloxi,30.4156,-88.9758,5,2010-12-07 00:00,MS_DCP
PBAC2,6 W Pueblo,38.2708,-104.725,1480,2010-12-07 00:00,CO_DCP
TZEO2,(7817)-HWY 97 AND 64TH S,36.071,-96.121,284,2010-12-07 00:00,OK_DCP
MMHA3,7 MILE HILL,35.1316,-114.1394,834,2010-12-07 00:00,AZ_DCP
MAHN7,7 MILE RIDGE RAWS NR MARSHALL,35.8031,-82.6503,669,2010-12-07 00:00,NC_DCP
MOWC2,7 N Monument Ck Woodmen,38.9339,-104.8167,1928,2010-12-07 00:00,CO_DCP
HENF1,7 NW Tampa,27.9997,-82.5514,8,2010-12-07 00:00,FL_DCP
FSEC2,7 S Fountain Ck Security,38.7294,-104.7333,1726,2010-12-07 00:00,CO_DCP
TZFO2,(8017)-HWY 97 AND SAPULPA,36.009,-96.111,268,2010-12-07 00:00,OK_DCP
BBCT2,8.3 ENE Fulshear,29.72,-95.7697,34,2010-12-07 00:00,TX_DCP
LAMC2,8 ENE Lamar,38.1142,-102.4833,1085,2010-12-07 00:00,CO_DCP
REMN5,8 MILE DRAW NEAR,33.65,-104.3167,1130,2010-12-07 00:00,NM_DCP
PUNF1,8 NE Punta Gorda,26.9844,-81.9358,6,2010-12-07 00:00,FL_DCP
CWRC2,8 NNE Cottonwd Ck Woodmen,38.9394,-104.7406,2047,2010-12-07 00:00,CO_DCP
CBTC2,8 NW Leadville,39.2778,-106.4278,3040,2010-12-07 00:00,CO_DCP
SCKF1,8 NW Tampa,28.0136,-82.5453,13,2010-12-07 00:00,FL_DCP
RFPL1,8 SSE Rigolets at Hwy 90 near Slidell,30.1669,-89.7406,3,2010-12-07 00:00,LA_DCP
RIGL1,8 SSE Rigolets near Lake Pontcartrain,30.1633,-89.7378,4,2010-12-07 00:00,LA_DCP
HCMC2,8 SW Leadville,39.1722,-106.3886,3013,2010-12-07 00:00,CO_DCP
PDNC2,8 SW Pinos Ck Del Norte,37.5917,-106.4494,2586,2010-12-07 00:00,CO_DCP
TBRT2,8 SW Twin Buttes Reservoir near San Angelo 8SW,31.3819,-100.5381,580,2010-12-07 00:00,TX_DCP
HRMM5,8 W 5 Mile Creek Nr Herman,45.8033,-96.2586,317,2007-12-31 00:00,MN_DCP
ACLC2,8 W Las Animas,38.0847,-103.3544,1213,2010-12-07 00:00,CO_DCP
LKDC2,9 E Sargents,39.04722,-106.40417,3306,2011-06-01 00:00,CO_DCP
PGNP1,9 Mile Run,40.4242,-79.905,255,2010-12-07 00:00,PA_DCP
ECCT2,9 SE EVANS CREEK NEAR COMSTOCK,29.5375,-101.1028,367,2010-12-07 00:00,TX_DCP
TTRC2,9 SE Fort Garland,37.3744,-105.2944,2607,2010-12-07 00:00,CO_DCP
ABBM1,Abbot,45.1903,-69.4528,130.70624,2017-12-07 00:00,ME_DCP
ABBN7,Abbotts Creek 2 SE Abbotts Ck At Lexington,35.8064,-80.2347,210,2010-12-07 00:00,NC_DCP
ABCC2,ABC LATERAL NR MONTROSE,38.485,-108.25056,1976,2010-12-07 00:00,CO_DCP
MTCA1,Abel - Mt Cheaha,33.6,-85.65,301.71387,2012-03-20 00:00,AL_DCP
ACRG1,ABERCORN CREEK NEAR SAVANNAH GA,32.2556,-81.1783,8,2010-12-07 00:00,GA_DCP
ABEK2,ABERDEEN,37.2333,-86.6833,157,2010-12-12 00:00,KY_DCP
CBAS2,ABERDEEN-20MI.NNE,45.7333,-98.3,396,2004-01-01 00:00,SD_DCP
ABEW1,Aberdeen 20NNE,47.2614,-123.7147,134.08316,2012-01-24 00:00,WA_DCP
CHLS2,ABERDEEN-24MI.SW,45.1667,-98.75,406,2009-03-23 00:00,SD_DCP
ABEM6,Tenn-Tom Waterway  AT Aberdeen L & D,33.8286,-88.5194,52,2010-12-01 00:00,MS_DCP
WCHM3,Aberjona River  AT Winchester,42.4472,-71.1394,12,2010-12-07 00:00,MA_DCP
ARST2,ABERNATHY 5NE,33.8753,-101.7569,1013,2010-12-07 00:00,TX_DCP
ACLW1,Abernathy Cr 12 WNW Longview,46.1953,-123.1656,22,2010-12-07 00:00,WA_DCP
ABNW1,ABERNATHY MTN RAWS,46.35,-123.1,505,2010-12-07 00:00,WA_DCP
MRRO3,Abernethy Creek  2 S Mompano Reservoir near Redland,45.3142,-122.5053,52.616787,2014-02-13 00:00,OR_DCP
ALEK1,Abilene,38.9298,-97.2279,351.5343,2009-02-27 00:00,KS_DCP
AFMT2,ABILENE,32.4658,-99.7019,518,2010-12-25 00:00,TX_DCP
AFKT2,ABILENE,32.4269,-99.7494,536,2010-12-25 00:00,TX_DCP
AFJT2,ABILENE,32.4156,-99.7092,528,2010-12-29 00:00,TX_DCP
AFOT2,ABILENE,32.4619,-99.7781,527,2010-12-29 00:00,TX_DCP
AFIT2,ABILENE,32.4517,-99.7417,527,2010-12-25 00:00,TX_DCP
AFPT2,ABILENE,32.3803,-99.7719,550,2010-12-25 00:00,TX_DCP
AFNT2,ABILENE,32.4261,-99.7844,538,2010-12-25 00:00,TX_DCP
AECT2,Abilene - Elm Creek,32.50722,-99.74083,509.52243,2018-04-13 00:00,TX_DCP
ABIK1,ABILENE SAND SPRING,38.91,-97.29,344,2008-10-16 00:00,KS_DCP
ABGM2,ABINGDON,39.48,-76.34,72,2010-12-07 00:00,MD_DCP
ABDV2,ABINGDON,36.6858,-81.9831,592,2010-12-07 00:00,VA_DCP
BRAM2,Abingdon - Bynum Run,39.48,-76.28056,13,2023-05-20 00:00,MD_DCP
AQSO3,Abiqua Creek  AT SILVERTON,45.0314,-122.7908,66.54598,2015-01-22 00:00,OR_DCP
ABIN5,ABIQUIU  RSVR,36.24,-106.4289,1958,2010-12-07 00:00,NM_DCP
ASBL1,Abita River  AT Abita Springs at Hwy 36,30.4816,-90.0394,21.874,2013-06-16 00:00,LA_DCP
ASKL1,Abita Springs 3NE - Abita Creek,30.4982,-89.9945,20.346495,2018-05-02 00:00,LA_DCP
BRPO1,ABRAM CREEK 1 NW BROOK PARK,41.3892,-81.8356,234,2010-05-15 00:00,OH_DCP
OKMW2,Abram Creek  AT Oakmont,39.36666,-79.17917,578.97327,2012-10-15 00:00,WV_DCP
KEEM8,Absarokee,45.5573,-109.6112,1402,2022-08-16 00:00,MT_DCP
ABSN4,Absecon Creek  AT Absecon,39.2548,-74.3115,0,2010-12-07 00:00,NJ_DCP
ASCN4,Absecon Creek  AT Absecon,39.4226,-74.4997,7,2010-12-07 00:00,NJ_DCP
ATLN4,Atlantic Ocean  AT Atlantic City Marina,39.3781,-74.4228,0.36951542,2010-12-07 00:00,NJ_DCP
HEWN5,ABV HERON LAKE,36.7425,-106.6261,2201,2010-12-07 00:00,NM_DCP
RANW2,abv. Little Sewell Crk. at Rainelle,37.96958,-80.76896,728.0072,2023-05-23 00:00,WV_DCP
ANPM1,ACADIA NATIONAL PARK RAWS,44.377,-68.261,141,2010-12-07 00:00,ME_DCP
ACBW4,A Canal At  Headworks Near Burris,43.4164,-109.3278,1877,2011-05-24 00:00,WY_DCP
ACKV2,ACCOMACK WELL,37.9564,-75.5789,12,2010-12-07 00:00,VA_DCP
ANAV2,Accotink Creek  AT Annandale,38.8128,-77.2286,71,2011-01-06 00:00,VA_DCP
LACV2,Accotink Creek  AT Lake Accotink,38.7933,-77.2181,51.814316,2011-12-23 00:00,VA_DCP
MAOA3,ACDC @ 14TH STREET,33.5419,-112.0431,391,2010-12-16 00:00,AZ_DCP
MACA3,ACDC @ 36TH ST,33.5025,-112,377,2010-12-16 00:00,AZ_DCP
MHFA3,ACDC @ 43RD AVENUE,33.5842,-112.1544,373,2010-12-16 00:00,AZ_DCP
MSXA3,ACDC @ 67TH AVE,33.6239,-112.2028,373,2010-12-16 00:00,AZ_DCP
MADA3,ACDC @ CAVE CRK,33.37,-112.12,332,2010-12-16 00:00,AZ_DCP
ACFW4,A C Forrester Ditch Near Ryan Park 6W,41.31694,-106.62222,2254.5894,2011-04-14 00:00,WY_DCP
AFWI4,Ackley Fire Wx,42.47873,-93.12094,354.13376,2015-03-16 00:00,IA_DCP
JNCW1,Acme - Jones Creek,48.71861,-122.21306,106.96047,2018-11-27 00:00,WA_DCP
ACSO2,ACME MESONET,34.8083,-98.0233,397,2010-12-07 00:00,OK_DCP
AMXP1,Acmetonia - Allegheny River,40.53611,-79.81528,233.0153,2016-11-18 00:00,PA_DCP
ACON5,ACOMITA LAKE &amp; BLUE WATER CREEK,34.7194,-107.8475,2665,2010-12-07 00:00,NM_DCP
AYLC1,A Corte Mad - Arroyo de la Laguna,37.66806,-121.90917,94,2023-02-11 00:00,CA_DCP
ACPA3,AC PARK,32.2822,-110.7294,839,2010-12-07 00:00,AZ_DCP
MCWG1,ACREE,31.5464,-84.0139,84,2010-12-07 00:00,GA_DCP
ACTM3,Action - Nashoba Brook,42.5125,-71.40472,62.21184,2020-04-28 00:00,MA_DCP
ACCC1,ACTON CAMP  ALERT 384,34.45,-118.2,804,2010-12-07 00:00,CA_DCP
ACTC1,ACTON ESCONDIDO FC261,34.4947,-118.2713,926,2010-12-07 00:00,CA_DCP
APZC1,ACTON PUMP STATION,34.4663,-118.1961,827,2010-12-07 00:00,CA_DCP
ATNC1,ACTON RAWS,34.4458,-118.2,803,2010-12-07 00:00,CA_DCP
ADAI4,Adair,41.50131,-94.6355,429.08224,2002-12-16 00:00,IA_DCP
RDAI4,Rapid Deploy A,41.97194,-91.66694,215.12074,2011-06-21 00:00,IA_DCP
WCAN7,Adako Rd 3 SW Collettsville,35.89889,-81.71592,324,2023-06-15 00:00,NC_DCP
ADKA2,Adak Station - NOS,51.8633,-176.6317,6.0384974,2015-09-06 00:00,AK_DCP
ADSO2,ADA MESONET,34.7985,-96.6691,296,2010-12-07 00:00,OK_DCP
ADMN8,ADAMS 7 SSW,48.33,-98.12,473,2008-11-05 00:00,ND_DCP
ACFS1,Adams Run - Ace Basin,32.6358,-80.3656,0.26043156,2013-03-11 00:00,SC_DCP
ABRS1,Adams Run - Ace Basin RAWS,32.6583,-80.3989,0.15064126,2012-07-02 00:00,SC_DCP
ANDO1,Adamsville,40.0708,-81.8833,310,2010-09-25 00:00,OH_DCP
ADVT2,Adamsville 1S - Lampasas River,31.29333,-98.16917,319.75058,2021-07-22 00:00,TX_DCP
AWSW4,ADAMS WEATHER STATION,44.2778,-104.1131,1767,2010-12-07 00:00,WY_DCP
CLYT2,ADDICKS,29.831,-95.6865,40,2010-12-07 00:00,TX_DCP
ASTN6,Addison,42.1081,-77.2222,301,2010-12-07 00:00,NY_DCP
ADSI2,ADDISON COUNTY RAIN AT ADDISON,41.9216,-87.975,207.36133,2018-07-27 00:00,IL_DCP
AELG1,ADEL 2S,31.1097,-83.4269,76,2010-12-07 00:00,GA_DCP
ADLW4,ADELAIDE RESERVOIR,44.525,-107.40361,2814.678,2011-10-06 00:00,WY_DCP
ADTC1,ADELANTO,34.57,-117.41,890,2010-12-09 00:00,CA_DCP
ADEI4,Adel - North Raccoon River,41.6883,-94.035,282.54233,2020-07-02 00:00,IA_DCP
ADEV2,Aden,38.61508,-77.55342,64.56459,2021-09-27 00:00,VA_DCP
NQFN6,Aden Hill Road Site N-6,41.8667,-74.6717,541.21497,2012-02-01 00:00,NY_DCP
NQBN6,Aden Road Site N-2,41.8274,-74.6726,455.10056,2012-02-01 00:00,NY_DCP
ACSN7,Aderdeen 1S - Aberdeen Creek,35.1322,-79.4305,97,2022-07-06 00:00,NC_DCP
ONFG1,ADGATEVILLE,33.2083,-83.7136,188,2010-12-07 00:00,GA_DCP
ASAC1,Adin - Ash Creek,41.19806,-120.94333,1285.4268,2021-04-06 00:00,CA_DCP
ADMC1,ADIN MTN SNOTEL,41.23583,-120.79192,1886.7,2011-01-28 00:00,CA_DCP
WCEC1,Adin - Willow Creek,41.10806,-120.92861,1330.55,2020-10-02 00:00,CA_DCP
AOBC1,ADOBE CK BLO MIDDLEFIELD RD,37.4197,-122.1169,3,2010-12-07 00:00,CA_DCP
AFCC1,ADOBE CREEK AT FOOTHILL COLLEGE,37.358,-122.128,114.16897,2018-07-09 00:00,CA_DCP
ADBC2,ADOBE RESERVOIR,38.2347,-103.2789,1263,2010-12-07 00:00,CO_DCP
ADOW2,ADOLPH,38.7461,-80.0458,709,2010-12-07 00:00,WV_DCP
ARNM4,ADRIAN,41.9167,-84.0167,225,2008-10-16 00:00,MI_DCP
ADXT2,Adrian 6WSW,35.25347,-102.76158,1297.2247,2017-11-09 00:00,TX_DCP
ANEW1,Aeneas Raws Near Loomis 5S,48.74306,-119.62222,1575.2368,2011-06-10 00:00,WA_DCP
AFTW2,AFTON,39.5356,-79.5306,841,2010-12-07 00:00,WV_DCP
AFTV2,Afton Mountain,38.0288,-78.8597,610.82733,2012-03-20 00:00,VA_DCP
AGDO3,AGATE DAM &amp; RESERVOIR,42.4167,-122.7667,454,2010-12-07 00:00,OR_DCP
NRAN1,Agate - Niobrara River,42.4236,-103.7922,1350.0414,2014-02-21 00:00,NE_DCP
AGTN1,AGATE RAWS,42.43,-103.74,1359,2010-12-02 00:00,NE_DCP
