FORESTNAME,HUC12_CODE,HUC12_NAME,USFS_COND,TOT_ACRES,USFS_PERC,NONFS_PERC,AQ_BIOTA,RIPARIAN,WATER_QUAL,WATER_QUAN,AQ_HABITAT,ROAD_TRAIL,SOIL_COND,FIRE_COND,FOREST_COV,FOR_HEALTH,TER_INV_SP,RANGE_VEG,PRIOR_YR,PRICPL_REA,SEL_NARAT,KNWN_PART,APRVL_DATE,EST_CMP_DA,ES_PRJ_CNT,ES_PRJ_CST,ACT_CMP_DA,RESTPLN_IN
Ashley National Forest,"140600030903",Headwaters Dry Gulch Creek,Functioning Properly,19219.600,57.0,43.0,Fair,Good,Poor,Good,Good,Fair,Fair,Fair,Good,Fair,Good,Good,,,,,,,,,,
Ashley National Forest,"140600031402",Hominy Creek-Farm Creek,Functioning Properly,21456.500,73.0,27.0,Fair,Fair,Good,Fair,Good,Fair,Good,Fair,Good,Good,Good,Good,,,,,,,,,,
Ashley National Forest,"140600031303",Middle Deep Creek,Functioning at Risk,14234.200,16.0,84.0,Fair,Fair,Fair,Good,Fair,Poor,Fair,Fair,Good,Good,Fair,Good,,,,,,,,,,
Ashley National Forest,"140600031401",Cart Hollow-Uinta River,Functioning Properly,10957.100,28.0,72.0,Fair,Fair,Good,Good,Good,Fair,Good,Fair,Good,Good,Fair,Good,,,,,,,,,,
Ashley National Forest,"140600031302",Upper Deep Creek,Functioning Properly,17460.300,7.0,93.0,Fair,Good,Fair,Good,Good,Good,Fair,Fair,Good,Good,Fair,Good,,,,,,,,,,
Ashley National Forest,"140600031301",Mosby Creek,Functioning Properly,10574.900,51.0,49.0,Fair,Fair,Good,Good,Good,Fair,Fair,Good,Good,Good,Good,Good,,,,,,,,,,
Ashley National Forest,"140600030901",West Fork Dry Gulch Creek,Functioning at Risk,11464.000,84.0,16.0,Fair,Fair,Poor,Good,Good,Fair,Fair,Fair,Good,Fair,Good,Good,,,,,,,,,,
Ashley National Forest,"140600020102",Dry Fork-Twin Creek,Functioning at Risk,10800.500,100.0,0.0,Fair,Good,Good,Fair,Fair,Poor,Fair,Good,Good,Good,Good,Good,,,,,,,,,,
Manti-Lasal National Forest,"140300050801",Stevens Canyon,Functioning at Risk,24898.200,78.0,22.0,Fair,Fair,Good,Good,Good,Poor,Fair,Poor,Fair,Fair,Good,Fair,,,,,,,,,,
Manti-Lasal National Forest,"140700010102",Lower Beef Basin Wash,Functioning Properly,18984.100,42.0,59.0,Good,Fair,Good,Good,Good,Good,Fair,Fair,Good,Fair,Good,Fair,,,,,,,,,,
Manti-Lasal National Forest,"140700010101",Upper Beef Basin Wash,Functioning Properly,15502.600,40.0,60.0,Good,Fair,Good,Good,Good,Good,Good,Fair,Good,Fair,Good,Good,,,,,,,,,,
Francis Marion-Sumter National Forest,"030502010401",Guerin Creek,Functioning at Risk,40023.500,42.0,58.0,Good,Fair,Poor,Fair,Poor,Fair,Fair,Poor,Good,Good,Good,----,,,,,,,,,,
Francis Marion-Sumter National Forest,"030502010705",Upper Cooper River,Functioning at Risk,28530.500,6.0,94.0,Good,Fair,Poor,Fair,Poor,Fair,Fair,Poor,Good,Good,Good,----,,,,,,,,,,
Francis Marion-Sumter National Forest,"030502010305",French Quarter Creek,Functioning at Risk,19353.800,26.0,74.0,Good,Fair,Fair,Fair,Poor,Poor,Good,Poor,Good,Good,Good,----,,,,,,,,,,
Francis Marion-Sumter National Forest,"030502010304",Quinby Creek,Functioning at Risk,22692.800,62.0,38.0,Fair,Fair,Fair,Fair,Poor,Poor,Good,Fair,Good,Good,Good,----,,,,,,,,,,
Ashley National Forest,"140401060702",Upper Carter Creek,Functioning Properly,16783.100,100.0,0.0,Fair,Good,Good,Fair,Good,Fair,Good,Fair,Good,Good,Good,Good,,,,,,,,,,
Ashley National Forest,"140401060703",Middle Carter Creek,Functioning Properly,16284.000,100.0,0.0,Fair,Good,Good,Good,Good,Fair,Poor,Fair,Good,Good,Fair,Good,,,,,,,,,,
Ashley National Forest,"140401060701",Beaver Creek,Functioning at Risk,13131.200,100.0,0.0,Fair,Good,Fair,Fair,Fair,Fair,Fair,Fair,Good,Good,Good,Good,,,,,,,,,,
Ashley National Forest,"140600020201",South Fork Ashley Creek,Functioning Properly,15080.800,100.0,0.0,Fair,Good,Good,Good,Good,Poor,Fair,Fair,Good,Fair,Good,Good,,,,,,,,,,
Ashley National Forest,"140600020101",Twin Lakes,Functioning Properly,19630.700,100.0,0.0,Fair,Good,Good,Fair,Good,Poor,Good,Fair,Good,Good,Good,Good,,,,,,,,,,
Ashley National Forest,"140600020202",North Fork Ashley Creek,Functioning Properly,19565.600,100.0,0.0,Fair,Good,Good,Fair,Good,Poor,Fair,Fair,Good,Fair,Good,Good,,,,,,,,,,
Ashley National Forest,"140600031201",West Fork Whiterocks River,Functioning Properly,15458.300,100.0,0.0,Fair,Good,Good,Good,Good,Fair,Good,Fair,Good,Good,Good,Good,,,,,,,,,,
Ashley National Forest,"140600031202",East Fork Whiterocks River,Functioning Properly,31114.700,100.0,0.0,Fair,Good,Good,Fair,Fair,Poor,Good,Fair,Good,Good,Good,Good,,,,,,,,,,
Ashley National Forest,"140401060601",Upper Sheep Creek,Functioning at Risk,18664.100,100.0,0.0,Fair,Fair,Good,Fair,Good,Fair,Poor,Fair,Good,Fair,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202110101",Headwaters East Red Canyon,Functioning at Risk,33437.100,95.0,5.0,Good,Fair,Good,Good,Fair,Poor,Fair,Poor,Good,Good,Good,Fair,,,,,,,,,,
Gila National Forest,"130202080603",Y Canyon,Functioning Properly,37118.500,42.0,58.0,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202110102",Outlet East Red Canyon,Functioning Properly,28889.800,70.0,30.0,Good,Good,Good,Good,Fair,Poor,Poor,Poor,Good,Good,Good,Fair,,,,,,,,,,
Gila National Forest,"130202080707",Long Canyon,Functioning Properly,22684.600,96.0,4.0,Good,Good,Good,Good,Good,Fair,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202110202",Mill Canyon-Milligan Gulch,Functioning Properly,30007.800,35.0,65.0,Good,Good,Good,Good,Fair,Poor,Poor,Fair,Good,Good,Good,Fair,,,,,,,,,,
Gila National Forest,"130202080701",Alamocito Creek,Functioning Properly,23057.100,37.0,63.0,Good,Good,Good,Good,Good,Poor,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,
Gila National Forest,"130202080704",Patterson Canyon,Functioning Properly,28514.500,66.0,34.0,Fair,Fair,Good,Good,Fair,Fair,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,
Lincoln National Forest,"130600050201",Upper Hasperos Canyon,Functioning at Risk,30692.900,25.0,75.0,Good,Fair,Fair,Good,Good,Poor,Fair,Fair,Fair,Good,Good,Good,,,,,,,,,,
Cibola National Forest,"130202110201",Rock Springs-Milligan Gulch,Functioning Properly,37835.100,21.0,79.0,Good,Good,Good,Good,Fair,Poor,Poor,Poor,Good,Good,Good,Fair,,,,,,,,,,
Gila National Forest,"130202080401",Bear Canyon,Functioning Properly,11712.900,38.0,62.0,Good,Good,Good,Good,Good,Fair,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202031005",Arroyo de La Matanza,Functioning Properly,28525.100,24.0,76.0,Good,Good,Good,Good,Fair,Poor,Poor,Fair,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202080302",White Well,Functioning Properly,28230.500,9.0,91.0,Good,Good,Good,Good,Fair,Poor,Poor,Poor,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202080103",Durfee Canyon,Functioning Properly,20533.300,56.0,44.0,Good,Good,Good,Good,Fair,Poor,Poor,Poor,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202080101",Wolf Wells,Functioning Properly,21055.400,12.0,89.0,Good,Good,Good,Good,Fair,Poor,Poor,Poor,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202090604",Headwaters Arroyo Gato,Functioning Properly,38171.700,28.0,72.0,Good,Good,Good,Good,Fair,Poor,Poor,Poor,Fair,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202080503","120202080503",Functioning Properly,16732.400,13.0,87.0,Good,Good,Good,Good,Good,Good,Poor,Poor,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202080501",Sugar Loaf Canyon,Functioning Properly,34742.600,7.0,93.0,Good,Good,Good,Good,Good,Good,Poor,Poor,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202031002",Nogal Arroyo,Functioning at Risk,33816.800,44.0,56.0,Fair,Good,Good,Good,Fair,Poor,Poor,Fair,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202090605",Outlet Arroyo Gato,Functioning Properly,12810.600,39.0,61.0,Good,Good,Good,Good,Fair,Poor,Poor,Poor,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202080406",Outlet Z Slash Draw,Functioning Properly,15658.600,7.0,93.0,Good,Good,Good,Good,Good,Good,Poor,Fair,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202090602",Arroyo Montosa,Functioning Properly,15449.600,100.0,0.0,Good,Good,Good,Good,Fair,Poor,Poor,Poor,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202031001",Shakespeare Canyon,Functioning at Risk,33093.900,32.0,68.0,Good,Fair,Good,Good,Fair,Poor,Poor,Fair,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202110605",West Red Canyon,Functioning Properly,28440.500,88.0,12.0,Good,Good,Good,Good,Fair,Poor,Fair,Poor,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202110604",Whitewater Canyon-Alamosa Creek,Functioning Properly,27662.200,61.0,40.0,Good,Good,Good,Good,Fair,Poor,Fair,Fair,Good,Good,Good,Fair,,,,,,,,,,
Lincoln National Forest,"130600050101",Upper Reventon Draw,Functioning at Risk,15067.300,57.0,43.0,Fair,Good,Fair,Good,Good,Poor,Good,Poor,Poor,Good,Fair,Fair,,,,,,,,,,
Lincoln National Forest,"130600050102",Middle Reventon Draw,Functioning at Risk,26149.400,11.0,89.0,Fair,Fair,Good,Good,Fair,Poor,Good,Good,Poor,Good,Fair,Poor,,,,,,,,,,
Lincoln National Forest,"130500030407",Coyote Canyon,Functioning at Risk,31935.100,42.0,58.0,Fair,Fair,Fair,Good,Good,Poor,Fair,Poor,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202110601",Limestone Canyon-Alamosa Creek,Functioning Properly,35421.800,52.0,48.0,Good,Good,Good,Good,Fair,Poor,Poor,Fair,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202031103",Walnut Creek,Functioning Properly,21082.600,14.0,86.0,Good,Good,Good,Good,Fair,Fair,Poor,Fair,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202080303",Point of Rocks Canyon,Functioning Properly,28536.900,62.0,38.0,Good,Good,Good,Good,Fair,Poor,Poor,Poor,Good,Good,Good,Fair,,,,,,,,,,
Lincoln National Forest,"130500030302",Headwaters Ancho Gulch,Functioning at Risk,28237.300,33.0,67.0,Good,Fair,Fair,Good,Good,Poor,Good,Fair,Fair,Good,Good,Good,,,,,,,,,,
Cibola National Forest,"130202031205",Sawmill Canyon,Functioning Properly,30196.300,47.0,53.0,Fair,Good,Good,Good,Good,Poor,Poor,Poor,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202110203",Alameda Spring-Milligan Gulch,Functioning Properly,15420.000,27.0,73.0,Good,Good,Good,Good,Fair,Poor,Poor,Fair,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202031101",Red Canyon,Functioning Properly,18906.100,9.0,91.0,Good,Good,Good,Good,Fair,Fair,Poor,Fair,Poor,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202110205",Big Rosa Canyon-Milligan Gulch,Functioning Properly,16564.700,60.0,40.0,Good,Good,Good,Good,Fair,Poor,Poor,Fair,Good,Good,Good,Fair,,,,,,,,,,
Gila National Forest,"130202080706",Patterson Lake,Functioning Properly,27972.100,40.0,60.0,Good,Good,Good,Good,Good,Fair,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202110602",Big Pigeon Canyon-Alamosa Creek,Functioning at Risk,32613.200,75.0,25.0,Good,Fair,Good,Good,Fair,Poor,Fair,Poor,Good,Good,Good,Fair,,,,,,,,,,
Gila National Forest,"130202080705",Dark Canyon,Functioning Properly,15822.600,42.0,58.0,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202080305",Taylor Well,Functioning Properly,31212.500,9.0,92.0,Good,Good,Good,Good,Fair,Fair,Poor,Fair,Good,Good,Good,Fair,,,,,,,,,,
Gila National Forest,"130202080708",T H Canyon,Functioning Properly,36838.900,30.0,70.0,Good,Good,Good,Good,Good,Good,Fair,Fair,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202110206",Puertecito Arroyo,Functioning Properly,10156.800,29.0,71.0,Good,Good,Good,Good,Good,Good,Poor,Fair,Fair,Good,Good,Fair,,,,,,,,,,
Lincoln National Forest,"130500030301",Big Pine Canyon,Functioning Properly,12573.800,38.0,63.0,Good,Fair,Fair,Good,Good,Poor,Good,Poor,Poor,Good,Good,Good,,,,,,,,,,
Cibola National Forest,"130202110204",Big Rosa Canyon,Functioning Properly,25440.400,82.0,18.0,Good,Good,Good,Good,Fair,Poor,Fair,Poor,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202110207",Puertecito Arroyo-Milligan Gulch,Functioning Properly,35360.100,46.0,54.0,Good,Good,Good,Good,Fair,Poor,Fair,Fair,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130500010803",Haygood Tank,Functioning Properly,23298.300,18.0,82.0,Good,Good,Good,Good,Good,Fair,Fair,Good,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130500010703",Little Cougar Tank,Functioning Properly,11501.600,26.0,74.0,Good,Good,Good,Good,Fair,Poor,Fair,Fair,Good,Good,Good,Fair,,,,,,,,,,
Gila National Forest,"130302020105",Noonday Canyon-Mimbres River,Functioning at Risk,28928.200,44.0,56.0,Fair,Good,Good,Poor,Fair,Fair,Fair,Fair,Good,Good,Good,Fair,,,,,,,,,,
Lincoln National Forest,"130600100301",Cox Canyon,Impaired Function,24831.000,74.0,27.0,Poor,Poor,Poor,Good,Poor,Poor,Good,Poor,Poor,Good,Fair,Fair,,,,,,,,,,
Lincoln National Forest,"130600100306",Burnt Canyon-Rio Penasco,Impaired Function,15457.100,68.0,32.0,Poor,Poor,Poor,Poor,Poor,Fair,Good,Good,Fair,Fair,Poor,Fair,,,,,,,,,,
Gila National Forest,"130301010301",South Percha Creek,Functioning Properly,24253.300,53.0,47.0,Good,Fair,Good,Good,Fair,Fair,Fair,Fair,Good,Good,Good,Fair,,,,,,,,,,
Lincoln National Forest,"130500031601",Marble Canyon-Dry Canyon,Functioning at Risk,30933.400,45.0,55.0,Good,Fair,Fair,Poor,Poor,Poor,Fair,Poor,Poor,Good,Good,Fair,,,,,,,,,,
Gila National Forest,"150400010803",Lake Roberts-Sapillo Creek,Functioning at Risk,23355.200,98.0,2.0,Poor,Fair,Good,Poor,Fair,Fair,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,
Lincoln National Forest,"130500031401",Cottonwood Wash,Functioning at Risk,12890.800,14.0,86.0,Fair,Fair,Good,Good,Poor,Poor,Good,Poor,Good,Good,Good,Fair,,,,,,,,,,
Lincoln National Forest,"130600100104",Outlet Elk Canyon,Impaired Function,25104.300,9.0,91.0,Poor,Poor,Fair,Poor,Poor,Fair,Good,Poor,Good,Good,Fair,Fair,,,,,,,,,,
Gila National Forest,"130301010406",Headwaters Los Animas Creek,Functioning at Risk,24292.200,65.0,35.0,Poor,Fair,Good,Good,Poor,Poor,Fair,Fair,Good,Good,Good,Good,,,,,,,,,,
Gila National Forest,"150400010802",Rocky Canyon-Sapillo Creek,Functioning Properly,29716.600,99.0,2.0,Fair,Good,Good,Fair,Poor,Fair,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,
Lincoln National Forest,"130500031404",Domingo Canyon,Functioning Properly,11081.200,20.0,80.0,Fair,Fair,Good,Good,Fair,Good,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,
Gila National Forest,"150400010805",Sheep Corral Canyon-Sapillo Creek,Functioning Properly,25628.200,100.0,0.0,Poor,Good,Good,Fair,Good,Good,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130202030408",Garcia Canyon,Functioning Properly,17672.600,18.0,82.0,Good,Good,Good,Good,Good,Good,Poor,Poor,Good,Good,Good,Fair,,,,,,,,,,
Cibola National Forest,"130500011102",Arroyo de Tajique,Functioning at Risk,34322.300,40.0,60.0,Good,Fair,Good,Fair,Poor,Poor,Fair,Poor,Good,Good,Good,Fair,,,,,,,,,,
Carson National Forest,"130201010604",Outlet Rio Fernando del Taos,Functioning at Risk,12877.600,62.0,39.0,Poor,Fair,Fair,Good,Fair,Poor,Fair,Poor,Good,Good,Good,Good,,,,,,,,,,
Carson National Forest,"130201021501",Canada de Los Comanches,Functioning at Risk,18059.300,78.0,22.0,Fair,Fair,Good,Good,Fair,Poor,Fair,Fair,Fair,Good,Good,Fair,,,,,,,,,,
Carson National Forest,"130201021102",Headwaters El Rito,Functioning at Risk,36056.300,94.0,6.0,Fair,Fair,Good,Good,Good,Poor,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,
Carson National Forest,"130201010701",Headwaters Arroyo Hondo,Functioning Properly,20540.200,91.0,9.0,Fair,Good,Good,Good,Fair,Poor,Good,Fair,Good,Good,Good,Good,,,,,,,,,,
Carson National Forest,"130201020701",Upper Rio Nutrias,Functioning at Risk,21813.500,47.0,53.0,Poor,Fair,Poor,Good,Good,Poor,Fair,Fair,Fair,Good,Good,Good,,,,,,,,,,
Carson National Forest,"130201010703",Arroyo Hondo-Rio Grande,Functioning at Risk,26493.500,65.0,35.0,Fair,Fair,Fair,Poor,Fair,Poor,Fair,Fair,Fair,Good,Good,Fair,,,,,,,,,,
Carson National Forest,"130201020501",Cedar Grove Cemetery-Arroyo Blanco,Functioning Properly,19815.600,28.0,73.0,Good,Good,Good,Good,Good,Poor,Fair,Poor,Good,Good,Good,Fair,,,,,,,,,,
Santa Fe National Forest,"130201020606",Headwaters Canoncito de las Lleguas,Functioning at Risk,32467.600,92.0,8.0,Poor,Fair,Good,Poor,Fair,Fair,Poor,Fair,----,Good,Good,Fair,,,,,,,,,,
Santa Fe National Forest,"130201020708",Huckbay Canyon-Rio Chama,Functioning at Risk,27184.200,68.0,32.0,Good,Fair,Good,Fair,Good,Poor,Poor,Fair,----,Good,Good,Fair,,,,,,,,,,
Carson National Forest,"130201021303",Canada de los Comanches,Functioning at Risk,14141.200,92.0,9.0,Fair,Fair,Good,Fair,Fair,Poor,Fair,Poor,Good,Good,Good,Fair,,,,,,,,,,
Carson National Forest,"130201020503",Outlet Rio Cebolla,Functioning Properly,35773.900,45.0,55.0,Good,Good,Good,Fair,Good,Poor,Fair,Fair,Good,Good,Good,Fair,,,,,,,,,,
