OBJ_STATUS_,OBJ_IDENTIF,NAME,MIN_X_AXIS_,MAX_X_AXIS_,MIN_Y_AXIS_,MAX_Y_AXIS_,MIN_M,MAX_M,MEAN_M,DESCRIPTION,RFC,TYPE,ATTRIBUTE,CWA,FCST_GP,HUC,CH5_ID
"0","518",DRMM8XU,-113.5062261070,-112.2940080539,46.1091253636,46.7889069712,"1829","2838","2058",CLARK FORK R NR DRUMMOND - UPPER ZONE,NWRFC,f,,MSO,PO_CLARK,1701.0000000000,DRMM8
"0","552",DRMM8XL,-113.4704333330,-112.3002251140,46.1673162194,46.7844124115,"1177","1828","1558",CLARK FORK R NR DRUMMOND - LOWER ZONE,NWRFC,f,,MSO,PO_CLARK,1701.0000000000,DRMM8
"0","570",DLGM8U,-113.3153389938,-112.4034628035,45.7851452629,46.4220808969,"1829","3130","2149",CLARK FORK AT DEER LODGE - UPPER ZONE,NWRFC,f,,MSO,PO_CLARK,1701.0000000000,DLGM8
"0","577",DLGM8L,-113.1245755607,-112.4290576983,45.8584006246,46.4345979749,"1392","1828","1636",CLARK FORK AT DEER LODGE - LOWER ZONE,NWRFC,f,,MSO,PO_CLARK,1701.0000000000,DLGM8
"0","584",BONM8U,-113.8634310601,-112.3133045007,46.6480518988,47.4183533306,"1829","2682","2037",BLACKFOOT R NR BONNER - UPPER ZONE,NWRFC,f,,MSO,PO_CLARK,1701.0000000000,BONM8
"0","640",BONM8L,-113.8323378794,-112.3211487653,46.6625088515,47.4092440165,"1045","1828","1493",BLACKFOOT R NR BONNER - LOWER ZONE,NWRFC,f,,MSO,PO_CLARK,1701.0000000000,BONM8
"0","666",BITM8XU,-114.6555164804,-113.7506377770,45.9021574050,46.8643164107,"1829","2793","2133",BITTERROOT R NR MISSOULA - UPPER ZONE,NWRFC,f,,MSO,PO_CLARK,1701.0000000000,BITM8
"0","697",BITM8XL,-114.6392922521,-113.8135142863,45.9404585017,46.8537547219,"975","1828","1385",BITTERROOT R NR MISSOULA - LOWER ZONE,NWRFC,f,,MSO,PO_CLARK,1701.0000000000,BITM8
"0","717",TEAI1XU,-111.4682024386,-110.8408188811,43.6492014014,44.0053826347,"1982","3093","2270",TETON RIVER NEAR ST. ANTHONY - UPPER ZONE,NWRFC,f,,PIH,US_HENRY,1704.0000000000,TEAI1
"0","719",TEAI1XL,-111.6318604531,-111.0825856582,43.7059920599,43.9849607522,"1522","1981","1791",TETON RIVER NEAR ST. ANTHONY - LOWER ZONE,NWRFC,f,,PIH,US_HENRY,1704.0000000000,TEAI1
"0","720",REXI1X,-111.9069364792,-111.4118660954,43.6400422521,43.9731969671,"1469","2423","1646",HENRYS FORK NEAR REXBURG - LOCAL,NWRFC,f,,PIH,US_HENRY,1704.0000000000,REXI1
"0","722",IPDI1IU,-111.8079243261,-110.9640711348,44.3058924288,44.7535790002,"1982","3054","2237",ISLAND PARK 1SWIS.PARKDM&RES - UPPER ZONE,NWRFC,f,,PIH,US_HENRY,1704.0000000000,IPDI1
"0","727",IPDI1IL,-111.7572696248,-111.2329007718,44.3600918776,44.6721758386,"1911","1981","1957",ISLAND PARK 1SWIS.PARKDM&RES - LOWER ZONE,NWRFC,f,,PIH,US_HENRY,1704.0000000000,IPDI1
"0","729",DGGI1U,-111.3119516873,-110.8277293167,43.4780707183,43.8789832412,"1982","3266","2444",TETON R AB SLEIGH CR - UPPER ZONE,NWRFC,f,,PIH,US_HENRY,1704.0000000000,DGGI1
"0","730",DGGI1L,-111.2599812136,-111.0268228296,43.5617422592,43.8610843627,"1815","1981","1890",TETON R AB SLEIGH CR - LOWER ZONE,NWRFC,f,,PIH,US_HENRY,1704.0000000000,DGGI1
"0","731",CHEI1U,-111.1053238741,-110.7125389896,43.9778070854,44.4204205115,"1982","2849","2362",FALL RIVER NR CHESTER - UPPER ZONE,NWRFC,f,,PIH,US_HENRY,1704.0000000000,CHEI1
"0","732",CHEI1L,-111.5709084063,-110.9373991959,43.9405204497,44.2386737873,"1553","1981","1801",FALL RIVER NR CHESTER - LOWER ZONE,NWRFC,f,,PIH,US_HENRY,1704.0000000000,CHEI1
"0","733",ANTI1XU,-111.7844324923,-111.0535889438,44.1336543511,44.4848372179,"1982","2576","2165",HENRYS FORK AT ST. ANTHONY - UPPER ZONE,NWRFC,f,,PIH,US_HENRY,1704.0000000000,ANTI1
"0","741",ANTI1XL,-111.8067274144,-111.0289211687,43.9620187410,44.4849148932,"1520","1981","1796",HENRYS FORK AT ST. ANTHONY - LOWER ZONE,NWRFC,f,,PIH,US_HENRY,1704.0000000000,ANTI1
"0","744",TOPI1,-112.1455187472,-111.6596231444,42.4894689482,43.1085247720,"1528","2718","1843",PORTNEUF RIVER AT TOPAZ,NWRFC,f,,PIH,US_TRIB,1704.0000000000,TOPI1
"0","745",SALW4U,-111.3286003600,-110.7529008108,42.4729353856,43.1262853860,"2134","3170","2412",SALT RIVER ABV RES NR - UPPER ZONE,NWRFC,f,,RIW,US_TRIB,1704.0000000000,SALW4
"0","758",SALW4L,-111.3245235136,-110.8540207701,42.5152077522,43.1186495644,"1739","2133","1957",SALT RIVER ABV RES NR - LOWER ZONE,NWRFC,f,,RIW,US_TRIB,1704.0000000000,SALW4
"0","766",PIHI1X,-112.5104568527,-111.9525570061,42.2821169260,42.9057582612,"1355","2667","1719",PORTNEUF RIVER AT POCATELLO - LOCAL,NWRFC,f,,PIH,US_TRIB,1704.0000000000,PIHI1
"0","767",PACW4U,-110.4718618933,-110.1316738504,43.9245861314,44.1222547168,"2591","3116","2744",PACIFIC CREEK AT MORAN - UPPER ZONE,NWRFC,f,,RIW,US_TRIB,1704.0000000000,PACW4
"0","778",PACW4L,-110.5904492789,-110.1707829909,43.8403622804,44.0915375695,"2058","2590","2338",PACIFIC CREEK AT MORAN - LOWER ZONE,NWRFC,f,,RIW,US_TRIB,1704.0000000000,PACW4
"0","781",GVZW4U,-110.5693175960,-109.7647283809,43.3313985334,43.7471903863,"2591","3468","2846",GROS VENTRE RIV AT ZENITH - UPPER ZONE,NWRFC,f,,RIW,US_TRIB,1704.0000000000,GVZW4
"0","786",GVZW4L,-110.6979361932,-110.0003862907,43.3982357758,43.7255920803,"2007","2590","2409",GROS VENTRE RIV AT ZENITH - LOWER ZONE,NWRFC,f,,RIW,US_TRIB,1704.0000000000,GVZW4
"0","793",GREW4U,-110.9463325139,-110.5695156119,42.5230217121,43.1700665968,"2591","3320","2802",GREYS RIV AB RES NR - UPPER ZONE,NWRFC,f,,RIW,US_TRIB,1704.0000000000,GREW4
"0","801",GREW4L,-110.9815852373,-110.5731018350,42.5382659700,43.1839921966,"1788","2590","2295",GREYS RIV AB RES NR - LOWER ZONE,NWRFC,f,,RIW,US_TRIB,1704.0000000000,GREW4
"0","806",BFKW4U,-110.3644337156,-109.8273654100,43.7280417591,44.0072833883,"2591","3381","2922",BUFFALO FK AB LAVA CR - UPPER ZONE,NWRFC,f,,RIW,US_TRIB,1704.0000000000,BFKW4
"0","811",BFKW4L,-110.4514586460,-109.9745241866,43.7851840223,43.9940140612,"2071","2590","2360",BUFFALO FK AB LAVA CR - LOWER ZONE,NWRFC,f,,RIW,US_TRIB,1704.0000000000,BFKW4
"0","813",PLDI1XU,-111.4525719603,-110.8877816357,43.0769724959,43.4364792847,"1982","2923","2291",SNAKE RIVER NEAR IRWIN - UPPER ZONE,NWRFC,f,,PIH,US_MAIN,1704.0000000000,PLDI1
"0","820",PLDI1XL,-111.3760776648,-110.8908687045,43.0813460228,43.3793994389,"1663","1981","1834",SNAKE RIVER NEAR IRWIN - LOWER ZONE,NWRFC,f,,PIH,US_MAIN,1704.0000000000,PLDI1
"0","827",JLKW4XU,-110.8854983953,-110.4357482987,43.7768065136,44.0846399384,"2439","3687","2749",SNAKE R ON JACKSON LAKE - UPPER ZONE,NWRFC,f,,RIW,US_MAIN,1704.0000000000,JLKW4
"0","832",JLKW4XL,-110.8571314313,-110.4631470868,43.7900979527,44.1379400989,"2064","2438","2186",SNAKE R ON JACKSON LAKE - LOWER ZONE,NWRFC,f,,RIW,US_MAIN,1704.0000000000,JLKW4
"0","835",JKSW4XU,-111.0427330938,-110.1630533017,43.3471296725,43.9490324099,"2439","3677","2736",GROS VENTRE RIV AT ZENITH - UPPER ZONE,NWRFC,f,,RIW,US_MAIN,1704.0000000000,JKSW4
"0","849",JKSW4XL,-111.0223315752,-110.3142432801,43.3501140896,43.9236732015,"1821","2438","2095",SNAKE RIVER NR JACKSON - LOWER ZONE,NWRFC,f,,RIW,US_MAIN,1704.0000000000,JKSW4
"0","854",HEII1XU,-111.6272293566,-111.0145171023,43.2605346364,43.6681174152,"1982","2929","2225",SNAKE RIVER NR HEISE - UPPER ZONE,NWRFC,f,,PIH,US_MAIN,1704.0000000000,HEII1
"0","865",HEII1XL,-111.6861585696,-111.1311844856,43.2870764130,43.6613331130,"1535","1981","1786",SNAKE RIVER NR HEISE - LOWER ZONE,NWRFC,f,,PIH,US_MAIN,1704.0000000000,HEII1
"0","872",FLGW4U,-110.8554357892,-110.1889185149,44.0266028264,44.4917497099,"2439","3037","2606",SNAKE R AB JACKSON L - UPPER ZONE,NWRFC,f,,RIW,US_MAIN,1704.0000000000,FLGW4
"0","879",FLGW4L,-110.8248267045,-110.3688007567,44.0620594108,44.4526454873,"2090","2438","2329",SNAKE R AB JACKSON L - LOWER ZONE,NWRFC,f,,RIW,US_MAIN,1704.0000000000,FLGW4
"0","884",ALPW4XU,-110.9725482336,-110.1602630203,42.9939416012,43.4743554947,"2439","3390","2710",SNAKE RIVER NR ALPINE - UPPER ZONE,NWRFC,f,,RIW,US_MAIN,1704.0000000000,ALPW4
"0","902",ALPW4XL,-110.9530425343,-110.1934843983,43.0285285245,43.4323973712,"1788","2438","2192",SNAKE RIVER NR ALPINE - LOWER ZONE,NWRFC,f,,RIW,US_MAIN,1704.0000000000,ALPW4
"0","910",AFRI1XU,-112.8355873263,-112.0519336721,42.3365083957,43.1387683992,"1524","2659","1752",AMERICAN FALLS RESERVOIR - UPPER ZONE,NWRFC,f,,PIH,US_MAIN,1704.0000000000,AFRI1
"0","914",AFRI1XL,-112.9158415480,-112.2312739161,42.5750789490,43.2721457235,"1302","1523","1374",AMERICAN FALLS RESERVOIR - LOWER ZONE,NWRFC,f,,PIH,US_MAIN,1704.0000000000,AFRI1
"0","916",ALFW1XL,-117.0450872284,-116.0295654641,47.8614723243,48.6452130554,"628","1371","852",ALBANI FALLS DAM - LOWER ZONE,NWRFC,f,,OTX,PO_MAIN,1701.0000000000,ALFW1
"0","924",ALFW1XU,-116.9426500091,-115.9896843011,47.8661448085,48.6898145099,"1372","2169","1596",ALBANI FALLS DAM - UPPER ZONE,NWRFC,f,,OTX,PO_MAIN,1701.0000000000,ALFW1
"0","954",PRTI1X,-117.1586057225,-116.6360116405,48.2058623893,48.5923936470,"671","1906","975",PRIEST R NR PRIEST RIVER - LOCAL,NWRFC,f,,OTX,PO_MAIN,1701.0000000000,PRTI1
"0","955",PRCM8L,-115.7012647747,-115.2646852737,47.4831008765,47.6324620288,"752","1371","1153",PROSPECT CK AT THOMPSON FALLS - LOWER ZONE,NWRFC,f,,MSO,PO_MAIN,1701.0000000000,PRCM8
"0","958",PRCM8U,-115.7570138274,-115.2677279577,47.4652391304,47.6388142287,"1372","1938","1575",PROSPECT CK AT THOMPSON FALLS - UPPER ZONE,NWRFC,f,,MSO,PO_MAIN,1701.0000000000,PRCM8
"0","969",THRM8L,-115.2480296431,-114.7484118225,47.5856128029,48.0794787286,"806","1371","1182",THOMPSON R NR THOMPSON FALLS - LOWER ZONE,NWRFC,f,,MSO,PO_MAIN,1701.0000000000,THRM8
"0","985",THRM8U,-115.2964471989,-114.7224647966,47.5936834585,48.1015364771,"1372","2180","1624",THOMPSON R NR THOMPSON FALLS - UPPER ZONE,NWRFC,f,,MSO,PO_MAIN,1701.0000000000,THRM8
"0","1009",PERM8XL,-114.8202503582,-113.7864900291,47.0410118384,48.1872587965,"792","1371","1039",FLATHEAD RIVER AT PERMA - LOWER ZONE,NWRFC,f,,MSO,PO_FLAT,1701.0000000000,PERM8
"0","1028",PERM8XU,-114.8525428117,-113.6664071545,47.0309033662,48.2128796538,"1372","2800","1732",FLATHEAD RIVER AT PERMA - UPPER ZONE,NWRFC,f,,MSO,PO_FLAT,1701.0000000000,PERM8
"0","1070",SWRM8L,-113.9904129785,-113.5782728271,47.3427194161,48.0380288259,"945","1371","1159",SWAN RIVER NEAR BIG FORK - LOWER ZONE,NWRFC,f,,MSO,PO_FLAT,1701.0000000000,SWRM8
"0","1075",SWRM8U,-113.9926325714,-113.5024774384,47.2688128517,48.0514365718,"1372","2599","1821",SWAN RIVER NEAR BIG FORK - UPPER ZONE,NWRFC,f,,MSO,PO_FLAT,1701.0000000000,SWRM8
"0","1078",CFMM8X,-114.2231487018,-113.9270405444,48.2896581432,48.5431114712,"914","2126","1202",FLATHEAD R AT COLUMBIA FALLS - LOCAL,NWRFC,f,,MSO,PO_FLAT,1701.0000000000,CFMM8
"0","1079",HHWM8IL,-114.0812813945,-112.9382194006,47.2450852339,48.4554832153,"1079","1981","1612",HUNGRY HORSE RESERVOIR - LOWER ZONE,NWRFC,f,,MSO,PO_FLAT,1701.0000000000,HHWM8
"0","1099",HHWM8IU,-114.0865243745,-112.9156268149,47.2270108206,48.4597339830,"1982","2597","2153",HUNGRY HORSE RESERVOIR - UPPER ZONE,NWRFC,f,,MSO,PO_FLAT,1701.0000000000,HHWM8
"0","1194",WGCM8L,-114.0805793478,-112.9633589739,47.9491978618,48.8431678431,"960","1828","1414",MF FLATHEAD NR WEST GLACIER Headwater - LOWER ZONE,NWRFC,f,,MSO,PO_FLAT,1701.0000000000,WGCM8
"0","1211",WGCM8U,-114.0826073894,-112.8807106948,47.9070599928,48.8544003766,"1829","2915","2082",MF FLATHEAD NR WEST GLACIER Headwater - UPPER ZONE,NWRFC,f,,MSO,PO_FLAT,1701.0000000000,WGCM8
"0","1246",FCFM8L,-114.8759692989,-113.8615622160,48.4811058683,49.4555122315,"975","1828","1413",NF FLATHEAD R NR COLUMBIA HDWTR - LOWER ZONE,NWRFC,f,,MSO,PO_FLAT,1701.0000000000,FCFM8
"0","1271",FCFM8U,-114.8907956192,-113.8535300666,48.4899225248,49.4640913113,"1829","2767","2010",NF FLATHEAD R NR COLUMBIA HDWTR - UPPER ZONE,NWRFC,f,,MSO,PO_FLAT,1701.0000000000,FCFM8
"0","1315",LSDW1,-117.6820067580,-116.9293937584,47.6976203741,48.2059115776,"499","1689","734",LITTLE SPOKANE RIV AT DARTFORT,NWRFC,f,,OTX,UC_SPOK,1701.0000000000,LSDW1
"0","1316",HAGW1,-117.6230421266,-116.7104872174,47.0393550496,47.6556125831,"548","1377","807",HANGMAN CREEK AT SPOKANE,NWRFC,f,,OTX,UC_SPOK,1701.0000000000,HAGW1
"0","1317",COEI1XL,-117.0861670898,-116.1113497831,46.9084455727,47.7416496204,"649","1066","863",COEUR D'ALENE LAKE - LOWER ZONE,NWRFC,f,,OTX,UC_SPOK,1701.0000000000,COEI1
"0","1352",COEI1XU,-117.0908146032,-116.0520987977,46.9069113605,47.7513765420,"1067","1821","1244",COEUR D'ALENE LAKE - UPPER ZONE,NWRFC,f,,OTX,UC_SPOK,1701.0000000000,COEI1
"0","1408",CLDI1L,-116.2769088085,-115.3403637788,47.0280536868,47.4199244594,"719","1219","1060",ST JOE R AT CALDER - LOWER ZONE,NWRFC,f,,OTX,UC_SPOK,1701.0000000000,CLDI1
"0","1421",CLDI1U,-116.3094911584,-115.0689498570,46.9435960988,47.4353591537,"1220","2188","1508",ST JOE R AT CALDER - UPPER ZONE,NWRFC,f,,OTX,UC_SPOK,1701.0000000000,CLDI1
"0","1436",CTLI1XL,-116.3319568778,-115.7670088228,47.4056477110,47.5913793073,"670","1067","890",COEURD'ALENE RIVER AT CATALDO - LOWER ZONE,NWRFC,f,,OTX,UC_SPOK,1701.0000000000,CTLI1
"0","1440",CTLI1XU,-116.3532538158,-115.6295900625,47.3891992643,47.6058133115,"1068","1982","1384",COEURD'ALENE RIVER AT CATALDO - UPPER ZONE,NWRFC,f,,OTX,UC_SPOK,1701.0000000000,CTLI1
"0","1447",ENVI1XL,-116.5661615374,-115.7744656284,47.5395050466,47.8825525283,"675","1066","927",COEUR D'ALENE R AT ENAVILLE - LOWER ZONE,NWRFC,f,,OTX,UC_SPOK,1701.0000000000,ENVI1
"0","1465",ENVI1XU,-116.6057845039,-115.6922797894,47.5202880087,47.9151222065,"1067","1979","1294",PRICHARD AT COEURD'ALENE RVR - UPPER ZONE,NWRFC,f,,OTX,UC_SPOK,1701.0000000000,ENVI1
"0","1492",PRCI1L,-116.3700072489,-115.9732692235,47.6931130499,47.9878345103,"818","1067","986",PRICHARD AT COEURD'ALENE RVR - LOWER ZONE,NWRFC,f,,OTX,UC_SPOK,1701.0000000000,PRCI1
"0","1506",PRCI1U,-116.4471244028,-115.9769951849,47.6845125998,48.0698250611,"1068","1790","1259",PRICHARD AT COEURD'ALENE RVR - UPPER ZONE,NWRFC,f,,OTX,UC_SPOK,1701.0000000000,PRCI1
"0","1515",WHBI1XL,-116.4587455757,-113.4959875004,44.5309365884,45.8639442279,"498","1828","1460",SALMON R AT WHITEBIRD - LOWER ZONE,NWRFC,f,,MSO,LS_SALMN,1706.0000000000,WHBI1
