OBJ_STATUS_,OBJ_IDENTIF,NAME,MIN_X_AXIS_,MAX_X_AXIS_,MIN_Y_AXIS_,MAX_Y_AXIS_,RFC,HUC,CWA,FCST_GP,CH5_ID,TYPE,DESCRIPTION,ATTRIBUTE,NUMBER_ZONE
"0","18",ENGO1,-84.5537785010,-84.2161158630,39.8665513430,40.0637083320,OHRFC,"05080001",ILN,SMIM,ENGO1,f,STILLWATER R AT ENGLEWOOD OH,"03266000","0"
"0","19",DTNO1,-84.3139746200,-84.0692064770,39.7347143030,39.9045817290,OHRFC,"05080001",ILN,SMIM,DTNO1,f,G MIAMI R AT DAYTON OH,"03270500","0"
"0","20",WOLO1,-84.4788419320,-84.2273938970,39.7441426550,39.8996934630,OHRFC,"05080002",ILN,SMIM,WOLO1,d,Great Miami River at Miamisburg OH North,"03271000","0"
"0","21",LLMO1,-84.1835336400,-83.8022355149,39.5616447960,39.8142726460,OHRFC,"05090202",ILN,SMIM,LLMO1,f,L MIAMI R NR SPRING VALLEY OH,"03242050","0"
"0","22",WLFO1,-83.8863233750,-83.6010417639,39.7034433520,39.8061259130,OHRFC,"05090202",ILN,SMIM,WLFO1,d,MASSIES C AT WILBERFORCE OH,"03241500","0"
"0","23",WMBO1,-84.0885964050,-83.6529726980,39.0425112870,39.3678436900,OHRFC,"05090202",ILN,SMIM,WMBO1,d,E F L MIAMI R AT WILLIAMSBURG OH,"03247041","0"
"0","24",PERO1,-84.2890542160,-83.9405647820,39.0052564760,39.2928079100,OHRFC,"05090202",ILN,SMIM,PERO1,f,E F L MIAMI R AT PERINTOWN OH,"03247500","0"
"0","25",MLGO1,-84.3970637930,-84.0522317600,39.1618666980,39.3598687680,OHRFC,"05090202",ILN,SMIM,MLGO1,f,L MIAMI R AT MILFORD OH,"03245500","0"
"0","26",KIMO1,-84.3672397750,-83.9093401140,39.2520068310,39.6358739170,OHRFC,"05090202",ILN,SMIM,KIMO1,f,KINGS MILLS,,"0"
"0","27",HAMO1,-84.6302295350,-84.2492133090,39.3381136390,39.6160414550,OHRFC,"05080002",ILN,SMIM,HAMO1,f,G MIAMI R AT HAMILTON OH (USGS),"03274000","0"
"0","28",MIAO1,-84.8946620839,-84.5056565140,39.1517011250,39.6432343750,OHRFC,"05080002",ILN,SMIM,MIAO1,f,MIAMITOWN,"03274615","0"
"0","29",GERO1,-84.6099658030,-84.3929106010,39.6022341880,39.8545737000,OHRFC,"05080002",ILN,SMIM,GERO1,f,TWIN C NR GERMANTOWN OH,"03272000","0"
"0","30",ALPI3,-85.3171353669,-84.8293180190,39.5782820610,40.0994528870,OHRFC,"05080003",ILN,SMIM,ALPI3,f,WHITEWATER RIVER NEAR ALPINE IN,"03275000","0"
"0","31",ABTI3,-85.0091413580,-84.6861187830,39.7178443410,40.0429460150,OHRFC,"05080003",ILN,SMIM,ABTI3,f,EAST FORK WHITEWATER RIVER AT ABINGTON IN,"03275600","0"
"0","32",BOOI3,-85.0824374580,-84.8236824589,39.4252812600,39.7561031610,OHRFC,"05080003",ILN,SMIM,BKVI3,d,EAST FORK WHITEWATER RIVER AT BROOKVILLE IN,"03276000","0"
"0","33",BRKI3,-85.3872024139,-84.9891318319,39.2374466980,39.6266636280,OHRFC,"05080003",ILN,SMIM,BRKI3,f,WHITEWATER RIVER AT BROOKVILLE IN,"03276500","0"
"0","34",BHDO1,-84.2017170500,-83.9357658630,38.9004482950,39.0995461970,OHRFC,"05090202",ILN,SMIM,BHDO1,d,E F L MIAMI R BL HARSHA DAM,"03247041","0"
"0","35",MDTO1,-84.4730073230,-84.1423156270,39.4675688180,39.7523264620,OHRFC,"05080002",ILN,SMIM,MDTO1,f,G MIAMI R AT MIDDLETOWN OH,"03272100","0"
"0","36",SALK2,-83.0908560640,-82.9404876220,37.6887730960,37.8003383580,OHRFC,"05100101",JKL,SLIK,SALK2,d,Licking River Salyersville Ky,"03248500","0"
"0","37",MTOK2,-84.0475952039,-83.7645230580,38.4997458170,38.6607771230,OHRFC,"05100101",ILN,SLIK,MTOK2,d,N F Licking r nr Mt Olivet ky,"03251200","0"
"0","38",BLSK2,-84.0697226830,-83.4526318020,38.1122771510,38.4919512880,OHRFC,"05100101",LMK,SLIK,BLSK2,f,Licking River Near Blue Lick Springs KY,"03250500","0"
"0","39",MKBK2,-84.3257094040,-83.7560029630,38.3644905100,38.6824967880,OHRFC,"05100101",ILN,SLIK,MKBK2,f,Licking R at Mckinneysburg ky,"03251500","0"
"0","40",CATK2,-84.3770213740,-84.1932124209,38.5680621880,38.7157200290,OHRFC,"05100102",ILN,SLIK,CATK2,f,LICKING RIVER AT CATAWBA KY,"03253500","0"
"0","41",HYSK2,-84.5936701610,-84.1708688450,38.2993792010,38.6955386420,OHRFC,"05100102",ILN,SLIK,HYSK2,d,South Fork Licking River at Hayes KY,"03253000","0"
"0","42",CREK2,-84.1145338420,-83.8851567510,38.0057917850,38.3034485000,OHRFC,"05100102",LMK,SLIK,CREK2,d,Hinkston C nr Carlisle KY,"03252300","0"
"0","43",SAYK2,-83.1024789510,-82.8784648170,37.4865888060,37.7351052270,OHRFC,"05100101",JKL,SLIK,SAYK2,f,Licking River Near Salyersville Ky,"03248300","0"
"0","44",FRMK2,-83.6826914560,-83.0182155070,37.6060246830,38.1788870110,OHRFC,"05100101",JKL,SLIK,FRMK2,d,LICKING RIVER AUXILIARY AT FARMERS KY,"03249505","0"
"0","45",MRHK2,-83.4501148319,-83.2600664200,38.1537891640,38.2853081540,OHRFC,"05100101",JKL,SLIK,MRHK2,d,Triplett Creek At Morehead Ky,"03250000","0"
"0","46",MNFK2,-83.5376159550,-83.3261079200,38.1884986050,38.3965230890,OHRFC,"05100101",JKL,SLIK,NFTK2,d,North Fork Triplett Creek Near Morehead KY,"03250100","0"
"0","47",PRSK2,-84.3016822350,-84.0186386720,37.9632619920,38.2358486670,OHRFC,"05100102",LMK,SLIK,PRSK2,f,Stoner Creek at Water Plant at Paris KY,"03251900","0"
"0","48",MMGO1,-84.4439957750,-84.1395519979,39.5789074040,39.8247312940,OHRFC,"05080002",ILN,SMIM,MMGO1,f,Great Miami River at Miamisburg OH,"03271500","0"
"0","49",FFMO1,-83.4377375250,-82.8999506530,41.0109186230,41.3078767500,OHRFC,"04100011",CLE,SGTL,FFMO1,f,Sandusky River near Fremont OH,"04198000","0"
"0","50",UPPO1,-83.2983810300,-82.7510310709,40.6269631130,40.9488699190,OHRFC,"04100011",CLE,SGTL,UPPO1,f,Sandusky River near Upper Sandusky OH,"04196500","0"
"0","51",CWFO1,-83.5772048230,-83.2043631069,40.5907647950,40.9341951960,OHRFC,"04100011",CLE,SGTL,CWFO1,d,Tymochtee Creek at Crawford OH,"04197000","0"
"0","52",MLMO1,-83.1132471140,-82.7326176150,40.8912477240,41.1067304070,OHRFC,"04100011",CLE,SGTL,MLMO1,d,Honey Creek at Melmore OH,"04197100","0"
"0","53",TFFO1,-83.4523260590,-82.8699585500,40.7811611350,41.1160302190,OHRFC,"04100011",CLE,SGTL,TFFO1,f,Sandusky River at Tiffin OH,"04197137","0"
"0","54",BCYO1,-83.0095472930,-82.6504515399,40.7470778870,40.8728232730,OHRFC,"04100011",CLE,SGTL,BCYO1,d,Sandusky River near Bucyrus OH,"04196000","0"
"0","55",CYNK2,-84.4448192139,-83.9815001200,38.0842475610,38.3992363530,OHRFC,"05100102",LMK,SLIK,CYNK2,f,S F Licking R at Cynthiana Ky,"03252500","0"
"0","56",ANDI3,-85.6754678540,-85.2577877969,39.9800193940,40.2193140730,OHRFC,"05120201",IND,SWHT,ANDI3,f,WHITE RIVER AT ANDERSON IN,"03348000","0"
"0","57",MANI3,-86.9408142320,-86.7529018860,39.4040263330,39.5396063960,OHRFC,"05120203",IND,SWHT,MANI3,d,MILL CREEK NEAR MANHATTAN IN (CAGLES MILL DAM),"03359000","0"
"0","58",FTNI3,-85.7664118150,-85.4842594890,40.1977722980,40.3830066660,OHRFC,"05120201",IND,SWHT,FTNI3,d,PIPE CREEK AT FRANKTON IN,"03348350","0"
"0","59",FCFI3,-85.8724158440,-85.4373784690,39.9154476270,40.1035823860,OHRFC,"05120201",IND,SWHT,FCFI3,f,FALL CREEK NEAR FORTVILLE IN,"03351500","0"
"0","60",MLRI3,-86.0893339259,-85.7702081240,39.8092294970,40.0679495370,OHRFC,"05120201",IND,SWHT,MLRI3,f,FALL CREEK AT MILLERSVILLE IND.,"03352500","0"
"0","61",NBLI3,-86.0420437499,-85.6696454910,40.0437410810,40.3747425720,OHRFC,"05120201",IND,SWHT,NBLI3,f,WHITE RIVER AT NOBLESVILLE IN,"03349000","0"
"0","62",ECRI3,-86.4293405459,-86.2325053260,39.8215775820,40.0118876730,OHRFC,"05120201",IND,SWHT,ECRI3,d,EAGLE CREEK RESERVOIR NEAR INDIANAPOLIS,"03353451","0"
"0","63",ELLI3,-87.3335852979,-86.6371240360,39.0177385530,39.5342863230,OHRFC,"05120202",IND,SWHT,ELLI3,f,ELLISTON,,"0"
"0","64",NWBI3,-87.0235686590,-86.5868572340,38.8926566870,39.2074704500,OHRFC,"05120202",IND,SWHT,NWBI3,f,WHITE RIVER AT NEWBERRY IND.,"03360500","0"
"0","65",FREI3,-87.3059527330,-86.7521700899,38.7843652310,39.1094256070,OHRFC,"05120202",IND,SWHT,FREI3,f,WHITE RIVER AT EDWARDSPORT IN,,"0"
"0","66",RLVI3,-87.0297332460,-86.4222038139,39.5330140500,40.0181250010,OHRFC,"05120203",IND,SWHT,RLVI3,d,BIG WALNUT CREEK NEAR REELSVILLE IN,"03357500","0"
"0","67",PTRI3,-87.4219048670,-86.5020507020,38.4092920140,38.8923684980,OHRFC,"05120208",IND,SWHT,PTRI3,f,WHITE RIVER AT PETERSBURG IN,"03374000","0"
"0","68",HAZI3,-87.5776344010,-87.2330397420,38.4263055930,38.6935972590,OHRFC,"05120202",IND,SWHT,HAZI3,f,WHITE RIVER AT HAZELTON IN,"03374100","0"
"0","69",LSRI3,-86.6603526219,-86.2071133300,38.4619558470,38.7439197620,OHRFC,"05120208",IND,SWHT,LSRI3,d,LOST RIVER NR WEST BADEN SPRINGS IN,"03373700","0"
"0","70",ADNI3,-85.7112254170,-85.3304486890,40.0829169490,40.3017391600,OHRFC,"05120201",IND,SWHT,ADNI3,d,WHITE RIVER AT ANDERSON RAIBLE AVE.,"03348130","0"
"0","71",MIEI3,-85.3871915349,-84.8748689609,40.0102502440,40.2654567410,OHRFC,"05120201",IND,SWHT,MIEI3,f,WHITE RIVER AT MUNCIE IN,"03347000","0"
"0","72",SPNI3,-86.8057636660,-86.1247345250,39.1663651500,39.6063371330,OHRFC,"05120202",IND,SWHT,SPNI3,f,WHITE RIVER AT SPENCER IN,"03357000","0"
"0","73",BOLI3,-87.1020619019,-86.6750648360,39.3695986600,39.6977509290,OHRFC,"05120203",IND,SWHT,BOLI3,f,EEL RIVER AT BOWLING GREEN IN,"03360000","0"
"0","74",CATI3,-86.7988531340,-86.4833229229,39.4113923640,39.7789869340,OHRFC,"05120203",IND,SWHT,CATI3,d,MILL CREEK NEAR CATARACT IN,"03358000","0"
"0","75",MOOI3,-86.5809088399,-86.3406766689,39.5819196440,39.9831324560,OHRFC,"05120201",IND,SWHT,MOOI3,d,WHITE LICK CREEK AT MOORESVILLE IN,"03353800","0"
"0","76",CNTI3,-86.4226000049,-86.0267021989,39.4032676850,39.8658110540,OHRFC,"05120201",IND,SWHT,CNTI3,f,WHITE RIVER NEAR CENTERTON IN USGS,"03354000","0"
"0","77",STTI3,-86.3458563130,-86.0016790970,39.6793856350,39.9196422140,OHRFC,"05120201",IND,SWHT,STTI3,d,WHITE R. AT STOUT GEN. STN. AT INDIANAPOLIS IN,"03353611","0"
"0","78",INDI3,-86.2519139089,-86.0246272120,39.7368076230,40.0189747850,OHRFC,"05120201",IND,SWHT,INDI3,f,WHITE RIVER AT INDIANAPOLIS IN,"03353000","0"
"0","79",ZONI3,-86.4034965090,-86.1508520880,39.9434209250,40.1459868590,OHRFC,"05120201",IND,SWHT,ZONI3,d,EAGLE CREEK AT ZIONSVILLE IN,"03353200","0"
"0","80",NORI3,-86.2755132660,-85.7404470480,39.8953192870,40.3218204120,OHRFC,"05120201",IND,SWHT,NORI3,f,WHITE RIVER NEAR NORA IN,"03351000","0"
"0","81",EDNI3,-86.0962571840,-85.7750364880,39.3598246610,39.8174936510,OHRFC,"05120204",IND,SEFW,EDNI3,d,Sugar Cr. Nr. Edinburgh,"03362500","0"
"0","82",AMTI3,-86.1763264870,-85.9791051779,39.3927574480,39.6242387030,OHRFC,"05120204",IND,SEFW,AMTI3,d,Youngs Cr Nr Edinburgh IN,"03362000","0"
"0","83",STPI3,-85.6404154460,-85.2104677880,39.3966946340,40.0175915690,OHRFC,"05120205",IND,SEFW,STPI3,d,Flatrock R. @St. Paul,"03363500","0"
"0","84",FLCI3,-85.9704898930,-85.4144097590,39.2287651030,39.7010200950,OHRFC,"05120205",IND,SEFW,FLCI3,d,Flatrock R. @Columbus,"03364000","0"
"0","85",CCHI3,-85.7159166960,-85.3206192869,39.2728863700,39.5290069310,OHRFC,"05120206",IND,SEFW,CCHI3,d,Clifty Cr. at Hartsville IN,"03364500","0"
"0","86",MONI3,-86.5262487280,-86.0502763730,38.9144889730,39.2408760520,OHRFC,"05120208",IND,SEFW,MONI3,d,Monroe Dam Salt Cr. QT,"03372500","0"
"0","87",BEDI3,-86.4098707109,-85.8766552840,38.6306133590,39.1733848780,OHRFC,"05120208",IND,SEFW,BEDI3,f,E. FK. White Nr. Bedford USGS,"03371500","0"
"0","88",WLLI3,-86.6497302700,-86.2668466610,38.7419735800,39.1793465930,OHRFC,"05120208",IND,SEFW,WLLI3,f,Williams IN,,"0"
"0","89",SHLI3,-86.8257629029,-86.5876439259,38.6658923350,39.1504134270,OHRFC,"05120208",IND,SEFW,SHLI3,f,E. FK. White @Shoals. IN,"03373500","0"
"0","90",DREI3,-86.0179126890,-85.6103496590,39.3388182230,39.9107432400,OHRFC,"05120204",IND,SEFW,DREI3,d,Driftwood R. Nr. Edinburgh,"03363000","0"
"0","91",BAKI3,-86.1441191480,-85.8997967870,39.1724418130,39.4006307450,OHRFC,"05120204",IND,SEFW,BAKI3,f,E. FK. White at Columbus IN,"03364000","0"
"0","92",VRNI3,-85.6330595350,-85.2928010550,38.9559058570,39.3397342590,OHRFC,"05120207",IND,SEFW,VRNI3,f,Vernon FK. @ VERNON,"03369500","0"
"0","93",SERI3,-86.0467737650,-85.5181048250,38.9811859880,39.4176994290,OHRFC,"05120206",IND,SEFW,SERI3,f,E. FK. White@Seymour. IN,"03365500","0"
"0","94",DEPI3,-85.6756083690,-85.2367866060,38.6601355980,39.1038622290,OHRFC,"05120207",LMK,SEFW,DEPI3,f,Muscatatuck R.@Deputy,"03366500","0"
"0","95",BFRI3,-86.5353996800,-86.1617481750,38.6574247490,38.9547626100,OHRFC,"05120208",IND,SEFW,BFRI3,f,Bedford NWS,,"0"
"0","96",CARI3,-85.5885770949,-85.2284852590,39.7351525290,40.0546664030,OHRFC,"05120204",IND,SEFW,CARI3,d,Big Blue R. at Carthage,"03361000","0"
"0","97",NPLI3,-85.8945916630,-85.4928441979,39.7109555660,39.9665592940,OHRFC,"05120204",IND,SEFW,NPLI3,d,Sugar Cr. @New Palestine,"03361650","0"
"0","98",ACTI3,-86.0477200189,-85.8275858790,39.6434983340,39.9262809790,OHRFC,"05120204",IND,SEFW,ACTI3,d,Buck Cr. @Acton IN,"03361850","0"
"0","99",SBVI3,-85.7884536490,-85.3904918759,39.5133438440,39.9195783470,OHRFC,"05120204",IND,SEFW,SBVI3,f,Big Blue R. @Shelbyville,"03361500","0"
"0","100",MISI3,-85.9825266630,-85.5591512349,40.5597388790,40.7229407180,OHRFC,"05120103",IWX,SWBU,MISI3,d,MISSISSINEWA RIVER AT PEORIA IND. DAM,"03327000","0"
"0","101",NMCI3,-85.8382728430,-85.1506475230,40.9235348460,41.3248744960,OHRFC,"05120104",IWX,SWBU,NMCI3,f,EEL RIVER AT NORTH MANCHESTER IND.,"03328000","0"
"0","102",BLFI3,-85.2372401080,-85.0164593780,40.5618386320,40.7970671110,OHRFC,"05120101",IWX,SWBU,BFFI3,f,WABASH RIVER AT BLUFFTON IN,"03323000","0"
"0","103",LRHI3,-85.5065359510,-85.0633012380,40.7483932420,41.1562733110,OHRFC,"05120101",IWX,SWBU,LRHI3,d,LITTLE RIVER NEAR HUNTINGTON IND,"03324000","0"
"0","104",WRNI3,-85.5936614000,-84.9694735429,40.3357023040,40.7270448850,OHRFC,"05120102",IWX,SWBU,WRNI3,f,SALAMONIE RIVER NEAR WARREN IN,"03324300","0"
"0","105",SALI3,-85.7132596110,-85.4023629150,40.6472930660,40.8263225300,OHRFC,"05120102",IWX,SWBU,SALI3,d,SALAMONIE RIVER AT DORA IND. DAM,"03324500","0"
"0","106",OWGI3,-85.8012625310,-85.4445320100,41.1786251710,41.3544990180,OHRFC,"05120106",IWX,SWBU,OWGI3,d,TIPPECANOE RIVER AT OSWEGO IND,"03330500","0"
"0","107",DLPI3,-87.0692966340,-86.7221709540,40.5891396740,40.7385917060,OHRFC,"05120106",IWX,SWBU,DLPI3,f,TIPPECANOE RIVER NEAR DELPHI IN CURRENT,"03333050","0"
"0","108",TCNI3,-87.2085837769,-86.5623787979,40.6565123240,40.9992218070,OHRFC,"05120106",IWX,SWBU,OAKI3,d,TIPPECANOE RIVER NEAR MONTICELLO IN DAM,"03332555","0"
"0","109",SFWI3,-86.8131884680,-86.1629728120,40.2163868890,40.4188510570,OHRFC,"05120107",IND,SWBU,SFWI3,d,S.F.WILDCAT CK NR LAFAYETTE IN,"03335000","0"
"0","110",OWCI3,-86.6385711480,-85.8522664650,40.3663092590,40.5348281010,OHRFC,"05120107",IND,SWBU,OWCI3,d,WILDCAT CREEK AT OWASCO IND.,"03335000","0"
"0","111",LYTI3,-86.8441365510,-86.3065571829,40.3417282140,40.4874581440,OHRFC,"05120107",IND,SWBU,LYTI3,d,WILDCAT CREEK NEAR LAFAYETTE IN,"03335000","0"
"0","112",LAFI3,-87.0756601739,-86.1705291900,40.4141540250,40.8665741440,OHRFC,"05120105",IND,SWBU,LAFI3,f,WABASH RIVER AT LAFAYETTE IND,"03335500","0"
"0","113",RIDI3,-85.0333359859,-84.6909869030,40.1209368150,40.3433794720,OHRFC,"05120103",IWX,SWBU,RGVI3,d,MISSISSINEWA RIVER NEAR RIDGEVILLE IND.,"03325500","0"
"0","114",PORI3,-85.0474183980,-84.8154729920,40.3252135560,40.4738372610,OHRFC,"05120102",IWX,SWBU,PORI3,f,"Salamonie River at Portland, IN","03324200","0"
"0","115",BCCO1,-84.6761311310,-84.4064714629,40.3880654910,40.5604609590,OHRFC,"05120101",IWX,SWBU,BCCO1,d,GRAND LAKE ST. MARYS  Beaver Cr nr Celina OH,"03322485","0"
"0","116",LYNI3,-85.1484168489,-84.7757693249,40.4269278990,40.6794323370,OHRFC,"05120101",IWX,SWBU,LYNI3,f,WABASH RIVER AT LINN GROVE IN,"03322900","0"
"0","117",ADMI3,-86.3170025980,-85.6944555969,40.7726552840,41.1062695740,OHRFC,"05120104",IWX,SWBU,ADMI3,d,EEL RIVER NEAR LOGANSPORT IN ADAMSBORO,"03328500","0"
"0","118",LGNI3,-86.3972727110,-85.9493049420,40.6304204210,40.8345128810,OHRFC,"05120101",IWX,SWBU,LGNI3,f,WABASH RIVER AT LOGANSPORT IND.,"03329000","0"
"0","119",PRUI3,-86.0734890510,-85.7755499810,40.6945571060,40.8568370990,OHRFC,"05120101",IWX,SWBU,PRUI3,d,WABASH RIVER AT PERU IN,"03327500","0"
"0","120",MROI3,-85.7641896040,-84.9844859260,40.1846945630,40.6084835870,OHRFC,"05120103",IWX,SWBU,MROI3,f,MISSISSINEWA RIVER AT MARION IND.,"03326500","0"
"0","121",HNTI3,-85.5019639760,-85.1372647910,40.5589138020,40.8620410010,OHRFC,"05120101",IWX,SWBU,HNTI3,d,WABASH RIVER AT HUNTINGTON IND,"03323500","0"
"0","122",WABI3,-85.8287927240,-85.3929085760,40.6960428700,41.0342932090,OHRFC,"05120101",IWX,SWBU,WABI3,f,WABASH RIVER AT WABASH IND.,"03325000","0"
"0","123",DCDI3,-86.6350288529,-85.9499971910,40.4924693750,40.6452732430,OHRFC,"05120105",IND,SWBU,DCDI3,d,DEER CREEK NEAR DELPHI IND.,"03329700","0"
"0","124",WMCI3,-86.6806198099,-86.3997004380,41.0491602140,41.2379160580,OHRFC,"05120106",IWX,SWBU,WMCI3,f,WINAMAC,"03331753","0"
"0","125",ORAI3,-86.5644932730,-85.6343469360,40.9123949160,41.3477070090,OHRFC,"05120106",IWX,SWBU,ORAI3,f,TIPPECANOE RIVER NEAR ORA IN,"03331500","0"
"0","126",JRMI3,-86.2008981150,-85.7384721970,40.2856333300,40.4796991390,OHRFC,"05120107",IND,SWBU,JRMI3,d,WILDCAT CREEK NEAR JEROME IN,"03333450","0"
"0","127",CMGI2,-88.2854424790,-87.8959988720,39.7882541780,40.1020106120,OHRFC,"05120112",ILX,SWBL,CMGI2,d,EMBARRAS RIVER NEAR CAMARGO IL,"03343400","0"
"0","128",DNVI2,-88.3189187419,-87.5756126090,39.9667095580,40.3186936420,OHRFC,"05120109",ILX,SWBL,DNVI2,f,VERMILION RIVER NEAR DANVILLE,"03339000","0"
"0","129",NHRI3,-88.0706631010,-87.5495374860,38.0881263330,38.7595857400,OHRFC,"05120113",PAH,SWBL,NHRI3,f,WABASH RIVER AT NEW HARMONY IND.,"03378500","0"
"0","130",OBLI2,-88.0468978350,-87.7771137720,39.0001840020,39.5381816360,OHRFC,"05120112",ILX,SWBL,OBLI2,d,NORTH FORK EMBARRAS RIVER NEAR OBLONG IL,"03346000","0"
"0","131",STMI2,-88.4570671100,-87.9793099820,38.9170404090,39.4550249010,OHRFC,"05120112",ILX,SWBL,STMI2,f,EMBARRAS RIVER AT STE. MARIE IL,"03345500","0"
"0","132",OKWI2,-88.3573896949,-87.6692930519,40.1368151760,40.6757146760,OHRFC,"05120109",ILX,SWBL,OKWI2,d,MIDDLE FORK VERMILION RIVER ABOVE OAKWOOD,"03336645","0"
"0","133",STJI2,-88.2130020030,-87.9127224450,40.1449077760,40.3954750040,OHRFC,"05120109",ILX,SWBL,STJI2,d,SALT FORK NEAR ST. JOSEPH,"03336900","0"
"0","134",CVGI3,-87.5192787110,-86.7280503850,40.1394280850,40.5411623760,OHRFC,"05120108",IND,SWBL,CVGI3,f,WABASH RIVER AT COVINGTON IN,"03336000","0"
"0","135",OTAO1,-83.6740716700,-82.5889299999,41.1256477880,41.7082500000,OHRFC,"04100011",CLE,SGTL,OTAO1,d,OTTAWA LAKE SHORE,,"0"
"0","136",YGWO1S,-80.9196686410,-80.7452561230,40.9636581000,41.1645949020,OHRFC,"05030103",CLE,SBVR,YGWO1,d,Youngstown South,"03255500","0"
"0","137",BARK2E,-87.9753643630,-87.5118980170,36.7438455210,37.0776957270,OHRFC,"05130205",PAH,SCML,,d,LOWER LITTLE RIVER,,"0"
"0","138",GERO1N,-84.7341438550,-84.4315684159,39.7032741990,39.9956205520,OHRFC,"05080002",ILN,SMIM,,d,TWIN C NR INGOMAR OH,"03272000","0"
"0","139",CAEO1N,-83.9026676120,-83.6582221990,39.6024745730,39.7269150650,OHRFC,"05090202",ILN,SMIM,,d,CAESAR C NR XENIA,"03242150","0"
"0","140",CAEO1S,-83.9180318720,-83.6291896410,39.3988199560,39.6253130470,OHRFC,"05090202",ILN,SMIM,,d,ANDERSON F NR NEW BURLINGTON,"03242200","0"
"0","141",KIMO1E,-84.0978127819,-83.6701766560,39.3051705980,39.5302503440,OHRFC,"05090202",ILN,SMIM,,d,TODD F NR ROACHESTER OH,"03244000","0"
"0","142",CAEO1,-84.0799761670,-83.7968913619,39.3942398760,39.6583503220,OHRFC,"05090202",ILN,SMIM,CCLO1,d,CAESAR C NR WELLMAN OH  DAM,"03242350","0"
"0","143",HAMO1W,-84.8572962599,-84.5305440289,39.4294166590,39.8703015780,OHRFC,"05080002",ILN,SMIM,,d,FOURMILE C NR HAMILTON OH,"03273500","0"
