OBJECTID	ID	NAME	CWA	RFC	LON	LAT	MINLON	MAXLON	MINLAT	MAXLAT
31	FOSO2	WASHITA RVR	OUN	ABRFC	-99.4565	35.6427	-99.82042	-99.13458	35.37542	35.92375
32	NICK1	ARKANSAS RVR	ICT	ABRFC	-98.5344	38.2196	-98.94125	-98.08458	37.92958	38.51125
33	EDWK1	W BRANCH WALNUT RVR	ICT	ABRFC	-96.8776	37.9325	-96.96208	-96.80125	37.79625	38.07792
34	MGCO2	MCGEE CRK DAM	OUN	ABRFC	-95.8602	34.4701	-95.98708	-95.73875	34.27958	34.64458
35	FRSO2	MUDDY BOGGY CRK	OUN	ABRFC	-96.0948	34.4401	-96.34125	-95.84292	34.23375	34.65708
36	ATKO2	Atoka Reservoir	OUN	ABRFC	-96.0033	34.6259	-96.15375	-95.83875	34.39208	34.81125
37	FRSO2B	Muddy Boggy Creek	OUN	ABRFC	-96.2764	34.755	-96.65375	-96.01792	34.55458	34.91125
38	VERT2	PEASE RVR	OUN	ABRFC	-99.7001	34.1329	-100.17875	-99.24708	33.94208	34.33208
39	MNGO2	ELM FRK N FK RED	OUN	ABRFC	-99.9538	35.0806	-100.63292	-99.45542	34.86292	35.31542
40	MDKK1B	S FK NINNESCAH RVR	ICT	ABRFC	-98.464	37.6358	-98.75375	-98.15958	37.50042	37.79042
41	HCHK1	ARKANSAS RVR	ICT	ABRFC	-98.147	38.13	-98.51625	-97.90958	37.95458	38.42375
42	LTLO2	LAKE LAWTONKA	OUN	ABRFC	-98.6023	34.8055	-98.75792	-98.46375	34.71292	34.89875
43	MGMO2	SALT FRK RED RVR	OUN	ABRFC	-99.9412	34.8797	-100.25375	-99.48042	34.76708	35.04042
44	CLIO2	WASHITA RVR	OUN	ABRFC	-99.1309	35.6401	-99.37042	-98.94292	35.31708	35.91958
45	CASK1	N FK NINNESCAH RVR	ICT	ABRFC	-98.4428	37.8472	-98.95375	-97.99292	37.67125	38.01958
46	WATO2	N CANADIAN RVR	OUN	ABRFC	-98.5514	35.9321	-98.73708	-98.35958	35.72542	36.12375
47	CHTM7	SPRING RVR	SGF	ABRFC	-94.0924	37.1758	-94.34125	-93.85958	37.03792	37.29875
48	UNGO2	MUDDY BOGGY CRK	OUN	ABRFC	-95.9528	34.1681	-96.27042	-95.65125	33.97542	34.38208
49	ELNO2	N CANADIAN RVR	OUN	ABRFC	-98.0593	35.5606	-98.19542	-97.93458	35.47125	35.65708
50	HBTO2	ELK CRK	OUN	ABRFC	-99.2509	35.208	-99.53292	-98.98042	34.88792	35.50708
51	CHNK1	N FK NINNESCAH RVR	ICT	ABRFC	-97.9413	37.8495	-98.26208	-97.71375	37.67542	38.01125
52	ALMK1	LITTLE ARKANSAS RVR	ICT	ABRFC	-97.7929	38.2943	-98.20792	-97.42625	38.03792	38.56125
53	ESFO2	SALT FRK RED RVR	OUN	ABRFC	-99.5272	34.7026	-99.87458	-99.24292	34.45042	34.90708
54	SADK1	SAND CRK	ICT	ABRFC	-97.3259	38.0889	-97.42875	-97.22208	37.92958	38.25292
55	SEMK1	EMMA CRK	ICT	ABRFC	-97.4227	38.1854	-97.52875	-97.30125	37.95875	38.41125
56	HCRK1	LTL ARKANSAS RVR	ICT	ABRFC	-97.5282	38.1008	-97.61208	-97.45542	37.97125	38.29042
57	MTNO2	MT PARK DAM	OUN	ABRFC	-98.9757	34.8339	-99.10792	-98.76792	34.70875	34.96542
58	MDKK1	S FK NINNESCAH R	ICT	ABRFC	-98.0399	37.5939	-98.22458	-97.82208	37.49208	37.70708
59	PECK1	NINNESCAH RVR	ICT	ABRFC	-97.7888	37.611	-98.27042	-97.40125	37.40875	37.81542
60	AGSK1	WHITEWATER RVR	ICT	ABRFC	-97.015	37.7553	-97.11208	-96.93458	37.66292	37.83208
61	BRIO2	CANADIAN RVR	OUN	ABRFC	-98.697	35.7403	-99.01625	-98.28042	35.42958	36.11958
62	SEDK1	LTL ARKANSAS RVR	ICT	ABRFC	-97.5811	37.9745	-97.84542	-97.33875	37.85042	38.09875
63	FTCO2	COBB CRK	OUN	ABRFC	-98.574	35.331	-98.78292	-98.38458	35.12542	35.50708
64	MLBK1	COTTONWOOD RVR	ICT	ABRFC	-97.2598	38.4595	-97.44125	-97.04292	38.33375	38.61542
65	OLBO2	N CANADIAN RVR	OUN	ABRFC	-97.6923	35.5173	-97.78292	-97.60958	35.44625	35.58208
66	CLMO2	N CANADIAN RVR	OUN	ABRFC	-98.301	35.6962	-98.52875	-98.04292	35.53792	35.89042
67	SYDO2	OTTER CRK	OUN	ABRFC	-98.9091	34.7358	-99.04958	-98.74708	34.61292	34.84042
68	EDRK1	WALNUT RVR	ICT	ABRFC	-96.7017	37.9482	-96.86208	-96.52625	37.78792	38.11542
69	WELK1	ARKANSAS RVR	ICT	ABRFC	-97.5778	37.3717	-97.82042	-97.38458	37.21292	37.49042
70	ELWO2	LAKE ELLSWORTH	OUN	ABRFC	-98.4321	34.8999	-98.67042	-98.20542	34.75042	35.03625
71	EDEK1	WALNUT RVR-E BR	ICT	ABRFC	-96.7342	37.8033	-96.86208	-96.58042	37.74625	37.86125
72	KIOK1	MEDICINE LODGE CRK	DDC	ABRFC	-98.8551	37.3861	-99.39958	-98.43042	37.00042	37.64458
73	TOWK1	WHITEWATER RVR	ICT	ABRFC	-97.0935	37.9586	-97.31208	-96.84708	37.74625	38.16125
74	CAGO2	WASHITA RVR	OUN	ABRFC	-98.8557	35.2214	-99.20792	-98.49708	34.77542	35.79042
75	FWRC2U	APISHAPA RVR UP ELEV	PUB	ABRFC	-104.612	37.4737	-105.05375	-104.31375	37.24208	37.87375
76	AGAK1	WALNUT RVR	ICT	ABRFC	-96.8843	37.7472	-97.00792	-96.71375	37.61708	37.87375
77	CNGK1	NEOSHO RVR	TOP	ABRFC	-96.5861	38.7579	-96.82875	-96.30542	38.61292	38.88625
78	FLRK1	COTTONWOOD RVR	ICT	ABRFC	-97.0882	38.3173	-97.40792	-96.84292	38.07125	38.60708
79	BONC2U	HUERFANO RVR UP ELEV	PUB	ABRFC	-104.956	37.6947	-105.49958	-104.43458	37.33792	38.04042
80	LAMC2U	BIG SANDY CRK UP ELEV	PUB	ABRFC	-104.067	39.1129	-104.47875	-103.77208	38.94208	39.34042
81	LARC2U	ARKANSAS RVR UP ELEV	PUB	ABRFC	-104.168	38.9113	-104.34125	-103.93875	38.70875	39.08208
82	NPTC2U	ARKANSAS RVR UP ELEV	PUB	ABRFC	-104.467	38.9392	-104.69125	-104.22208	38.74208	39.10708
83	UNIO2	CANADIAN RVR	OUN	ABRFC	-98.1447	35.4601	-98.37042	-97.91375	35.29625	35.63208
84	YUKO2	N CANADIAN RVR	OUN	ABRFC	-97.8744	35.5038	-98.05792	-97.70542	35.39208	35.61542
85	DRBK1	ARKANSAS RVR	ICT	ABRFC	-97.4718	37.7752	-97.83292	-97.19708	37.51708	38.07375
86	CBNK1	CHIKASKIA RVR	ICT	ABRFC	-98.0689	37.3918	-98.81208	-97.52625	37.08792	37.61542
87	BLPK1	NINNESCAH RVR	ICT	ABRFC	-97.4251	37.4623	-97.57875	-97.30958	37.33792	37.60708
88	MULK1	ARKANSAS RVR	ICT	ABRFC	-97.2443	37.559	-97.34958	-97.15542	37.45458	37.66542
89	AMCK1	NEOSHO RVR	TOP	ABRFC	-96.3462	38.54	-96.53708	-96.22208	38.43792	38.66542
90	ELTT2B	BEAVER CRK	OUN	ABRFC	-99.5161	33.9023	-99.87875	-99.19708	33.77542	34.03208
91	WFDK1	WALNUT RVR	ICT	ABRFC	-96.8872	37.542	-97.25792	-96.48875	37.19208	37.84875
92	PLYK1	COTTONWOOD RVR	ICT	ABRFC	-96.5088	38.257	-96.70792	-96.33042	38.00458	38.52792
93	FSEC2U	FOUNTAIN CRK UP ELEV	PUB	ABRFC	-104.714	38.8915	-104.89125	-104.59708	38.71708	39.03208
94	KEYO2B	None	TSA	ABRFC	-96.7435	36.1668	-97.42042	-96.16792	35.78792	36.66125
95	CSNC2U	FOUNTAIN CRK UP ELEV	PUB	ABRFC	-105.027	38.8413	-105.12875	-104.92208	38.76708	38.91542
96	THTC2U	PURGATOIRE RVR UP ELEV	PUB	ABRFC	-104.34	37.1256	-104.73292	-103.87208	36.87542	37.44875
97	EMPK1	COTTONWOOD RVR	TOP	ABRFC	-96.3057	38.371	-96.42458	-96.15542	38.24625	38.49458
98	SCVC2U	ST CHARLES RVR UP ELEV	PUB	ABRFC	-105.003	37.9974	-105.20792	-104.71792	37.85042	38.15708
99	CLVO2	CANADIAN RVR	OUN	ABRFC	-96.9353	34.9433	-97.77875	-96.21375	34.57958	35.26958
100	PAWO2B	BLACK BEAR CRK	OUN	ABRFC	-97.4571	36.3309	-97.79125	-97.18458	36.18375	36.47375
101	TONO2	SALT FK ARKANSAS RVR	OUN	ABRFC	-97.6794	36.747	-97.99125	-97.27625	36.45042	37.06542
102	WTTO2	ILLINOIS RVR	TSA	ABRFC	-94.5137	36.0668	-94.64958	-94.37625	35.94208	36.18625
103	KAWO2	ARKANSAS RVR	TSA	ABRFC	-96.7981	37.0802	-97.19958	-96.46375	36.67125	37.59042
104	GECO2	EAST CACHE CRK	OUN	ABRFC	-98.4073	34.6987	-98.60375	-98.26792	34.50458	34.84875
105	PRCO2	CANADIAN RVR	OUN	ABRFC	-97.7137	35.279	-98.29958	-97.23875	34.99208	35.46958
106	DOVO2	CIMARRON RVR	OUN	ABRFC	-98.2016	36.0229	-98.53292	-97.80125	35.84625	36.25292
107	JRLK1	NEOSHO RVR	TOP	ABRFC	-95.9455	38.2834	-96.29542	-95.69292	38.13792	38.44875
108	DUNK1	NEOSHO RVR	TOP	ABRFC	-96.4323	38.6616	-96.73292	-96.17625	38.50458	38.85292
109	WRWO2	DEEP FORK RVR	TSA	ABRFC	-97.2076	35.7095	-97.50792	-96.97208	35.48375	35.90708
110	POCO2	ARKANSAS RVR	OUN	ABRFC	-96.9899	36.7199	-97.11625	-96.80125	36.62958	36.85708
111	WRLO2	BEAVER CRK	OUN	ABRFC	-98.1322	34.5662	-98.36208	-97.90542	34.20458	34.84875
112	RNDO2	DEEP RED RUN	OUN	ABRFC	-98.7821	34.4008	-99.09125	-98.41792	34.15458	34.76542
113	GUCO2	COTTONWOOD CRK	OUN	ABRFC	-97.428	35.8093	-97.50792	-97.34292	35.70042	35.90708
114	BLKO2	CHICKASKIA RVR	OUN	ABRFC	-97.6696	37.0929	-98.34125	-97.10958	36.77125	37.40708
115	SWNO2	N CANADIAN RVR	OUN	ABRFC	-97.1087	35.3999	-97.27042	-96.90958	35.26292	35.55708
116	SLSA4	ILLINOIS RVR	TSA	ABRFC	-94.3005	36.1611	-94.54125	-94.05542	36.03792	36.32792
117	SWDO2	COTTONWOOD CRK	OUN	ABRFC	-97.6409	35.6822	-97.86625	-97.43042	35.49625	35.86542
118	GTRO2	CIMARRON RVR	OUN	ABRFC	-97.711	35.8927	-97.99542	-97.33042	35.72542	36.04458
119	LSGM7	None	SGF	ABRFC	-94.2207	36.461	-94.39958	-93.92625	36.32542	36.61958
120	IOLK1	NEOSHO RIVER	ICT	ABRFC	-95.4491	38.0575	-95.68708	-95.13042	37.89625	38.27792
121	RLSO2B	ARKANSAS RVR	OUN	ABRFC	-97.4571	36.4856	-97.86208	-97.12208	36.34208	36.62792
122	ARRT2	LTL WICHITA RVR	OUN	ABRFC	-98.7047	33.5996	-99.21625	-98.23042	33.36292	33.79875
123	WAKO2	BEAVER CRK	OUN	ABRFC	-97.976	34.356	-98.12458	-97.85958	34.12125	34.59875
124	LNDO2	WASHITA RVR	OUN	ABRFC	-97.7326	34.858	-97.96625	-97.55958	34.70042	35.08625
125	WICT2	WICHITA RVR	OUN	ABRFC	-98.7612	33.9189	-98.97458	-98.50542	33.72125	34.09042
126	WLTO2	E CACHE CRK	OUN	ABRFC	-98.372	34.5097	-98.54542	-98.20125	34.32542	34.72375
127	FLLK1	FALL RVR	ICT	ABRFC	-96.3687	37.81	-96.62042	-96.01375	37.57125	38.11542
128	FRNK1	FALL RVR	ICT	ABRFC	-96.0329	37.5678	-96.33292	-95.75125	37.41292	37.72375
129	ECLK1	ELK RVR	ICT	ABRFC	-96.141	37.4059	-96.56208	-95.74708	37.15875	37.64875
130	PPFK1	NEOSHO RVR	ICT	ABRFC	-95.1117	37.5293	-95.39958	-94.88458	37.28792	37.76542
131	PAWO2	BLACK BEAR CRK	OUN	ABRFC	-97.012	36.3129	-97.24542	-96.75125	36.18375	36.44458
132	KNSO2	FLINT CRK	TSA	ABRFC	-94.551	36.2459	-94.76208	-94.34708	36.15042	36.33625
133	CNUK1	NEOSHO RVR	ICT	ABRFC	-95.5183	37.8537	-95.88708	-95.15958	37.60458	38.03208
134	TRLK1	VERDIGRIS RVR	ICT	ABRFC	-96.1392	37.9998	-96.47458	-95.83042	37.67958	38.31125
135	BSGM7	None	SGF	ABRFC	-94.0721	36.53	-94.22875	-93.90125	36.41708	36.64458
136	INCM7	None	SGF	ABRFC	-94.2608	36.745	-94.49958	-94.02625	36.57542	36.89875
137	BIRO2	BIRD CRK	TSA	ABRFC	-96.2689	36.5503	-96.39958	-96.13458	36.46708	36.64458
138	CFVK1	VERDIGRIS RVR	ICT	ABRFC	-95.5861	37.2358	-95.81208	-95.39292	37.03375	37.46958
139	BFFO2	None	OUN	ABRFC	-99.8138	37.15	-100.60792	-99.21792	36.78792	37.54042
140	ELDO2	BARON FORK RVR	TSA	ABRFC	-94.5867	35.921	-94.87042	-94.33458	35.71708	36.12375
141	SASO2	LITTLE RVR - COUNTY RD BRIDGE	OUN	ABRFC	-96.8076	35.094	-97.14542	-96.50958	34.92958	35.31125
142	TIFM7	ELK RVR	SGF	ABRFC	-94.3172	36.5913	-94.61625	-93.94292	36.39625	36.76958
143	EREK1	NEOSHO RVR	ICT	ABRFC	-95.3126	37.6814	-95.55375	-95.08042	37.46708	37.93625
144	CORO2	MUD CRK	OUN	ABRFC	-97.728	34.2437	-97.96208	-97.44708	33.96292	34.53208
145	HEYO2	POLECAT CRK	TSA	ABRFC	-96.3912	35.9794	-96.55792	-96.23458	35.87542	36.07375
146	WETO2	N CANADIAN RVR	OUN	ABRFC	-96.5952	35.3774	-97.07875	-96.14292	35.21292	35.56125
147	SPCO2B	POLECAT CRK	TSA	ABRFC	-96.1981	36.0352	-96.31208	-96.09292	35.92958	36.13208
148	SPCO2	POLECAT CRK	TSA	ABRFC	-96.1801	35.9171	-96.35375	-95.99708	35.80458	36.02792
149	IDPK1	VERDIGRIS RVR	ICT	ABRFC	-95.6664	37.4332	-95.87875	-95.43458	37.19625	37.65708
150	SKLO2	HOMINY CRK	TSA	ABRFC	-96.3412	36.4473	-96.61208	-96.06375	36.25042	36.68625
151	BIGK1	BIG HILL DAM	ICT	ABRFC	-95.4426	37.3585	-95.50375	-95.36792	37.24208	37.49458
152	WTYO2	DEEP FORK RVR	TSA	ABRFC	-96.7554	35.658	-97.13708	-96.35125	35.40042	35.92375
153	HULO2	CANEY RVR	TSA	ABRFC	-96.4046	37.0918	-96.69125	-96.03042	36.81708	37.51125
154	OKSO2	SAND CRK	TSA	ABRFC	-96.2917	36.7792	-96.54542	-96.10125	36.62958	36.90708
155	RAMO2	CANEY RVR	TSA	ABRFC	-95.9197	36.6942	-96.24125	-95.69708	36.46708	36.93625
156	SPEO2	BIRD CRK	TSA	ABRFC	-96.0209	36.4283	-96.16208	-95.86792	36.25458	36.68208
157	TALO2	ILLINOIS RVR	TSA	ABRFC	-94.7865	36.086	-94.98292	-94.53875	35.88375	36.24875
158	SMTO2	MOUNTAIN FORK RVR	SHV	ABRFC	-94.4356	34.5434	-94.70375	-94.18042	34.39625	34.71542
159	KEYO2	ARKANSAS RVR	TSA	ABRFC	-96.3447	36.2059	-96.51625	-96.20542	36.06292	36.36958
160	RLSO2	ARKANSAS RVR	OUN	ABRFC	-96.9548	36.6618	-97.43292	-96.48458	36.34208	37.00708
161	LLCO2	LITTLE LEE CRK	TSA	ABRFC	-94.5876	35.6811	-94.69958	-94.47625	35.55042	35.82375
162	SPAO2	SPAVINAW CRK	TSA	ABRFC	-94.658	36.3555	-95.07042	-94.27208	36.20042	36.48625
163	AVTO2	BIRD CRK	TSA	ABRFC	-96.3314	36.6579	-96.59542	-96.03458	36.41292	36.90708
164	LEPO2	VERDIGRIS RVR	TSA	ABRFC	-95.5708	37.0589	-95.93292	-95.28042	36.82958	37.32375
165	CPLO2	LTL CANEY RVR	TSA	ABRFC	-96.0808	37.1272	-96.43708	-95.73042	36.86292	37.35708
166	CATO2	VERDIGRIS RVR	TSA	ABRFC	-95.8015	36.2045	-95.95375	-95.61375	36.02958	36.36125
167	INOO2	VERDIGRIS RVR	TSA	ABRFC	-95.5665	36.2935	-95.74958	-95.41792	36.13792	36.49042
168	TLSO2	ARKANSAS RVR	TSA	ABRFC	-96.1355	36.148	-96.27875	-95.96792	36.03792	36.25292
169	BVLO2	CANEY RVR	TSA	ABRFC	-96.026	36.8625	-96.24542	-95.83042	36.71708	37.04042
170	BGSO2	DEEP FORK RVR	TSA	ABRFC	-96.3118	35.7055	-96.68708	-96.02208	35.40875	35.98208
171	PNNC2U	None	PUB	ABRFC	-104.837	38.6203	-104.93292	-104.76792	38.50042	38.71125
172	FHAC2U	FOUNTAIN CRK UP ELEV	PUB	ABRFC	-104.727	38.7827	-104.99125	-104.53875	38.61292	38.93208
173	JNKO2	POLECAT CRK	TSA	ABRFC	-96.0639	36.0349	-96.14125	-95.98042	35.95042	36.11542
174	OOLO2	VERDIGRIS RVR	TSA	ABRFC	-95.5293	36.7291	-95.79958	-95.21792	36.38792	37.05292
175	TENO2	ILLINOIS RVR	TSA	ABRFC	-94.8856	35.781	-95.12042	-94.58458	35.53792	35.97792
176	GLLA4	COSSATOT RVR	SHV	ABRFC	-94.1886	34.3491	-94.37458	-93.98875	34.18792	34.51542
177	HSKO2	ARKANSAS RVR	TSA	ABRFC	-95.8737	35.9222	-96.14958	-95.58042	35.68792	36.18625
178	EUFO2B	CANADIAN RVR	TSA	ABRFC	-95.7791	34.9661	-96.30792	-95.15958	34.56292	35.35708
179	EUFO2	CANADIAN RVR	TSA	ABRFC	-95.9728	35.3591	-96.82042	-95.28042	35.02958	35.79875
180	OWSO2	BIRD CRK	TSA	ABRFC	-96.0098	36.233	-96.21208	-95.84292	36.11292	36.31958
181	CVLO2	CANEY RVR	TSA	ABRFC	-95.827	36.472	-95.96625	-95.71375	36.36708	36.61125
182	BLUO2	BLUE RVR	OUN	ABRFC	-96.5294	34.2818	-96.87042	-96.20958	33.92125	34.70292
183	CLRO2	VERDIGRIS RVR	TSA	ABRFC	-95.7372	36.3959	-95.95792	-95.53458	36.28375	36.57792
184	KERO2B	ARKANSAS RVR	TSA	ABRFC	-95.1473	35.1473	-95.51208	-94.81375	34.97125	35.36542
185	HTDK1	LIL ARKANSAS RVR	ICT	ABRFC	-97.6014	38.0599	-97.72042	-97.50958	37.98375	38.16958
186	BMTA4	PETIT JEAN RVR	LZK	ABRFC	-93.9309	35.0829	-94.29958	-93.62208	34.92125	35.28625
187	GRVA4	FOURCHE LAFAVE RVR	LZK	ABRFC	-93.9788	34.7784	-94.37458	-93.62625	34.63375	34.94458
188	DVRA4	BIG PINEY CREEK	LZK	ABRFC	-93.2265	35.7027	-93.48708	-93.03875	35.47958	35.87375
189	PBAC2U	ARKANSAS RVR UP ELEV	PUB	ABRFC	-105.025	38.5999	-105.17042	-104.86375	38.08792	38.89458
190	MLBA4	MULBERRY RVR	LZK	ABRFC	-93.7262	35.6952	-94.09542	-93.38458	35.55042	35.88625
191	DIEA4	SALINE RVR	SHV	ABRFC	-94.0422	34.2453	-94.19125	-93.91375	34.11708	34.41125
192	WSLO2	POTEAU RVR	TSA	ABRFC	-95.0443	34.8934	-95.40792	-94.65958	34.72125	35.04875
193	WAGO2	VERDIGRIS RVR	TSA	ABRFC	-95.5371	36.0296	-95.81625	-95.32625	35.80458	36.23625
194	ATOK1	ALTOONA	ICT	ABRFC	-95.7762	37.6943	-96.03292	-95.55125	37.50458	37.92375
195	WSLO2B	POTEAU RVR	TSA	ABRFC	-94.3901	34.8413	-94.82042	-93.85958	34.65875	35.00292
196	DQDA4	ROLLING FORK RVR	SHV	ABRFC	-94.4225	34.2309	-94.57875	-94.27208	34.07542	34.37375
197	AVAO2	SALT FORK ARKANSAS RVR	OUN	ABRFC	-99.0382	37.1074	-99.44542	-98.62625	36.74625	37.51958
198	PRKO2	CIMARRON RVR	OUN	ABRFC	-97.5495	36.1248	-97.97875	-97.00958	35.83375	36.49875
199	CMTO2	None	OUN	ABRFC	-98.207	34.8731	-98.30375	-98.10125	34.80042	34.95292
200	PANO2	POTEAU RVR	TSA	ABRFC	-94.42	35.1044	-94.73292	-94.14708	34.93375	35.24458
201	PCLO2	LITTLE RVR	SHV	ABRFC	-95.1129	34.3913	-95.39958	-94.75542	34.05042	34.65292
202	HRGA4	LITTLE RVR	SHV	ABRFC	-94.56	34.019	-94.86208	-94.23042	33.80458	34.25708
203	HUSA4	FOURCHE LAFAVE RVR	LZK	ABRFC	-92.8578	34.9729	-93.01625	-92.67625	34.87542	35.07375
204	CONA4	CYPRESS CRK	LZK	ABRFC	-92.3532	35.0439	-92.49958	-92.18042	34.92958	35.14875
205	AHDA4	LITTLE RVR	SHV	ABRFC	-94.1406	33.9112	-94.62875	-93.76792	33.64208	34.25708
206	PANO2B	POTEAU RVR	TSA	ABRFC	-94.9006	35.0863	-95.19542	-94.65542	34.94625	35.24042
207	BKDO2	MOUNTAIN FORK	SHV	ABRFC	-94.6358	34.3805	-94.84125	-94.27625	34.11708	34.63625
208	PTAO2	POTEAU RVR	TSA	ABRFC	-94.6224	34.9896	-94.91625	-94.35542	34.85875	35.09875
209	NMLA4	FOURCHE LAFAVE RVR	LZK	ABRFC	-93.4456	34.9209	-93.74125	-93.13042	34.75458	35.07375
210	WSCO2	SAGER CRK	TSA	ABRFC	-94.5453	36.1927	-94.63708	-94.44708	36.14625	36.24458
211	CYDO2	SARDIS LAKE	TSA	ABRFC	-95.429	34.6787	-95.74125	-95.10125	34.52958	34.83208
212	FLTA4	RED RVR	SHV	ABRFC	-93.9422	33.6264	-94.13708	-93.80125	33.48792	33.79042
213	SHRO2	LEE CRK	TSA	ABRFC	-94.3546	35.7353	-94.56208	-94.12208	35.53792	35.92375
214	VBRA4	LEE CRK	TSA	ABRFC	-94.4693	35.542	-94.65792	-94.32625	35.43792	35.65292
215	HAVK1	Arkansas Rvier nr Haven	ICT	ABRFC	-97.8984	37.9973	-98.10792	-97.73875	37.85458	38.16125
216	MYST2	SANDERS CRK	FWD	ABRFC	-95.7319	33.7372	-95.92458	-95.49292	33.58375	33.88625
217	WLTA4	PETIT JEAN RVR	LZK	ABRFC	-93.7842	34.9398	-94.01208	-93.57625	34.84208	35.03625
218	APLA4	APLIN	LZK	ABRFC	-93.1772	34.8631	-93.49958	-92.88458	34.74625	35.01542
219	EGLN5	CIMARRON RVR	ABQ	ABRFC	-105.281	36.5273	-105.39958	-105.15125	36.32125	36.74875
220	CBVC2	COTTONWOOD CRK	PUB	ABRFC	-106.249	38.8518	-106.37042	-106.13042	38.77542	38.91542
221	ABVC2	ARKANSAS RVR	PUB	ABRFC	-106.2	38.9378	-106.40375	-106.00958	38.82125	39.07792
222	CLVC2L	CUCHARAS RVR	PUB	ABRFC	-105.088	37.376	-105.17458	-105.00542	37.30042	37.45708
223	GCWC2	GRAPE CRK	PUB	ABRFC	-105.434	38.0431	-105.69125	-105.15542	37.87542	38.23625
224	IDBO2	LITTLE RVR	SHV	ABRFC	-94.9148	34.0551	-95.14958	-94.72625	33.87125	34.25292
225	DANA4	PETIT JEAN RVR	LZK	ABRFC	-93.5357	35.0659	-93.70792	-93.35542	34.94208	35.21125
226	CYCN5	COYOTE CRK	ABQ	ABRFC	-105.226	36.1303	-105.36625	-105.04708	35.89625	36.38208
227	CMRN5	PONIL CRK	ABQ	ABRFC	-105.112	36.7036	-105.27458	-104.92208	36.54208	36.86958
