USGS_ID	USGS_name	Site_type	Longitude	Latitude	Alt_Lon	Alt_Lat	Elevation	Minlon	Maxlon	Minlat	Maxlat	RFC_ID	NWS_ID	NWS_alt_ID	HSA_ID	CWA_ID	GOES_ID	HUC8	State_Code	NWM Reach ID	Active	PEDTS obs	PEDTS_pred	Hgraph_type
-	-	unknown	-100.41200	41.97580	-	-	-	-100.72875	-100.06792	41.78375	42.16125	MBRFC	1441	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.63800	41.75050	-	-	-	-101.27042	-100.07208	41.53375	41.98208	MBRFC	1442	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-99.94320	41.76910	-	-	-	-100.21208	-99.68042	41.62125	41.91542	MBRFC	1443	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-99.95580	41.60740	-	-	-	-100.43292	-99.54292	41.43375	41.78625	MBRFC	1444	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.10300	42.30190	-	-	-	-101.92042	-100.50125	42.09208	42.52375	MBRFC	1445	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-99.78490	41.97670	-	-	-	-100.14958	-99.51375	41.72958	42.24875	MBRFC	1447	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.07200	42.30540	-	-	-	-100.30792	-99.85125	42.14625	42.44042	MBRFC	1448	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.92260	41.91850	-	-	-	-99.34958	-98.51375	41.60875	42.20708	MBRFC	1451	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.57270	41.94580	-	-	-	-98.77042	-98.42208	41.84625	42.02792	MBRFC	1452	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-99.24780	41.86080	-	-	-	-99.32458	-99.18458	41.80458	41.92792	MBRFC	1453	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-94.86300	41.39350	-	-	-	-95.08292	-94.61792	41.27542	41.54458	MBRFC	1605	-	-	DMX	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.12520	40.90120	-	-	-	-95.26208	-95.02208	40.67542	41.21542	MBRFC	1611	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-94.53450	39.67920	-	-	-	-94.70792	-94.39292	39.51708	39.90292	MBRFC	1625	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.56540	42.14930	-	-	-	-95.79542	-95.30125	41.97542	42.31542	MBRFC	1629	-	-	OAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.09100	41.54950	-	-	-	-95.22042	-94.92208	41.29208	41.73625	MBRFC	1630	-	-	OAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.19400	42.45320	-	-	-	-95.33292	-95.07625	42.24208	42.64458	MBRFC	1631	-	-	OAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.22500	42.13870	-	-	-	-95.45792	-94.99708	41.92958	42.36542	MBRFC	1632	-	-	OAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.12590	40.57020	-	-	-	-95.21208	-95.04708	40.41708	40.75708	MBRFC	1634	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.21160	40.86180	-	-	-	-95.33292	-95.11792	40.68792	41.06542	MBRFC	1636	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-93.64070	39.01080	-	-	-	-93.98292	-93.30125	38.87542	39.13208	MBRFC	1708	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-92.63650	38.54290	-	-	-	-92.91208	-92.26375	38.37125	38.68208	MBRFC	1713	-	-	STL	-	-	-	-	-	-	-	unknown
-	-	unknown	-92.30150	37.85180	-	-	-	-92.64125	-92.04292	37.65042	38.02375	MBRFC	1755	-	-	SGF	-	-	-	-	-	-	-	unknown
-	-	unknown	-94.46900	39.03610	-	-	-	-94.52042	-94.41792	38.98792	39.08208	MBRFC	1773	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-94.51840	39.04000	-	-	-	-94.56625	-94.47208	38.99625	39.08208	MBRFC	1774	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.67880	41.33010	-	-	-	-95.99542	-95.34708	40.91292	41.86542	MBRFC	1806	-	-	OAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-96.06140	41.02450	-	-	-	-96.28708	-95.87625	40.87958	41.15708	MBRFC	1807	-	-	OAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.67190	40.08860	-	-	-	-96.12042	-95.32625	39.75875	40.45292	MBRFC	1810	-	-	OAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.26800	40.16260	-	-	-	-95.44125	-95.10958	39.79625	40.51542	MBRFC	1811	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.00630	40.12030	-	-	-	-95.17875	-94.85125	39.93375	40.35708	MBRFC	1812	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.36900	39.78320	-	-	-	-95.65792	-95.08875	39.63375	39.91958	MBRFC	1813	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-94.11620	38.99670	-	-	-	-94.32042	-93.92625	38.84625	39.15292	MBRFC	1819	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-93.96610	39.39360	-	-	-	-94.17042	-93.79708	39.24208	39.59042	MBRFC	1821	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-92.88120	39.82380	-	-	-	-93.04958	-92.73042	39.40042	40.30708	MBRFC	1827	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-92.83390	39.53770	-	-	-	-92.95375	-92.71375	39.38792	39.73625	MBRFC	1828	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-92.68040	39.38340	-	-	-	-92.91625	-92.41375	39.19208	39.61958	MBRFC	1829	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-93.25400	39.12870	-	-	-	-93.68292	-92.94292	38.92958	39.32792	MBRFC	1831	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-93.21130	38.78150	-	-	-	-93.63292	-92.83875	38.55875	38.98208	MBRFC	1832	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-92.68640	39.16310	-	-	-	-92.86625	-92.48042	38.97542	39.33625	MBRFC	1834	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-92.35550	39.10820	-	-	-	-92.52458	-92.10958	38.86292	39.36542	MBRFC	1836	-	-	STL	-	-	-	-	-	-	-	unknown
-	-	unknown	-92.60120	38.71190	-	-	-	-92.86208	-92.33875	38.58375	38.83625	MBRFC	1837	-	-	STL	-	-	-	-	-	-	-	unknown
-	-	unknown	-92.15030	38.86030	-	-	-	-92.28292	-92.03458	38.62125	39.13625	MBRFC	1838	-	-	STL	-	-	-	-	-	-	-	unknown
-	-	unknown	-92.27210	38.10750	-	-	-	-92.48708	-92.08875	37.89625	38.30708	MBRFC	1840	-	-	SGF	-	-	-	-	-	-	-	unknown
-	-	unknown	-91.63170	38.93480	-	-	-	-91.82875	-91.41375	38.71708	39.14458	MBRFC	1845	-	-	STL	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.19800	46.32250	-	-	-	-101.59125	-100.85125	45.93792	46.65708	MBRFC	2005	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.13200	46.19530	-	-	-	-100.34542	-99.94708	45.95458	46.41958	MBRFC	2006	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.93500	46.16400	-	-	-	-101.14542	-100.72625	46.00042	46.33625	MBRFC	2007	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-97.37070	39.25030	-	-	-	-97.53708	-97.18458	39.10458	39.41542	MBRFC	201	-	-	TOP	-	-	-	-	-	-	-	unknown
-	-	unknown	-103.29300	45.97850	-	-	-	-103.38292	-103.22208	45.91708	46.04458	MBRFC	2010	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-102.28300	45.73480	-	-	-	-102.38292	-102.18042	45.62125	45.82792	MBRFC	2014	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.97500	45.71220	-	-	-	-102.88708	-101.37625	45.37958	46.14042	MBRFC	2015	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.22800	45.69660	-	-	-	-101.80375	-100.75125	45.35875	46.00708	MBRFC	2016	-	-	ABR	-	-	-	-	-	-	-	unknown
-	-	unknown	-103.39500	45.18330	-	-	-	-104.02458	-102.70958	44.92125	45.44875	MBRFC	2017	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.87700	45.24010	-	-	-	-102.75792	-101.30958	44.91708	45.61125	MBRFC	2019	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-104.81000	44.36260	-	-	-	-104.89125	-104.72208	44.31292	44.41125	MBRFC	2023	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-103.70800	44.73690	-	-	-	-103.79542	-103.64708	44.67125	44.80292	MBRFC	2026	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-104.02700	44.70690	-	-	-	-104.37875	-103.71375	44.57125	44.91958	MBRFC	2029	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-103.74900	44.35160	-	-	-	-103.86625	-103.58875	44.23375	44.46958	MBRFC	2032	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-103.42700	43.30220	-	-	-	-103.52042	-103.32625	43.24208	43.36542	MBRFC	2037	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-102.97300	44.10330	-	-	-	-103.55375	-102.55542	43.97542	44.21125	MBRFC	2049	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.57100	44.87530	-	-	-	-101.24542	-100.19292	44.40458	45.49042	MBRFC	2057	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.19900	45.78270	-	-	-	-101.09958	-99.28875	45.37125	46.19458	MBRFC	2058	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-96.82630	38.76650	-	-	-	-96.92875	-96.69708	38.61708	38.89875	MBRFC	206	-	-	TOP	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.29200	47.06120	-	-	-	-101.48708	-101.11792	46.95458	47.16542	MBRFC	2129	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.36900	47.12890	-	-	-	-101.52042	-101.18875	47.04625	47.20708	MBRFC	2135	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-102.87200	46.85820	-	-	-	-102.95375	-102.80542	46.82125	46.89458	MBRFC	2147	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.91400	46.61330	-	-	-	-102.08708	-101.78875	46.55458	46.67792	MBRFC	2148	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-103.48300	48.09650	-	-	-	-103.92458	-103.09292	47.73792	48.36542	MBRFC	2152	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-102.73800	48.48840	-	-	-	-103.12458	-102.32208	48.12125	48.79458	MBRFC	2153	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-102.36500	48.30730	-	-	-	-102.67042	-101.98875	48.01292	48.61542	MBRFC	2154	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-104.11900	46.86130	-	-	-	-104.35375	-103.84708	46.47542	47.23625	MBRFC	2156	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-102.89700	47.60550	-	-	-	-103.57875	-102.19292	47.31708	47.89875	MBRFC	2157	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-102.00400	48.07140	-	-	-	-102.57458	-101.48875	47.80458	48.43625	MBRFC	2158	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-102.03200	47.64230	-	-	-	-102.56625	-101.50958	47.33792	47.94875	MBRFC	2159	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.57800	47.25630	-	-	-	-100.81208	-100.36375	47.08375	47.45708	MBRFC	2163	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.94000	47.44190	-	-	-	-101.07042	-100.80958	47.33375	47.53625	MBRFC	2164	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.10400	46.49940	-	-	-	-100.37458	-99.85125	46.32125	46.66125	MBRFC	2165	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-103.18400	47.07420	-	-	-	-103.36208	-102.99708	46.94625	47.20708	MBRFC	2167	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-102.70100	46.82160	-	-	-	-103.12042	-102.28042	46.57542	47.12792	MBRFC	2168	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.77630	39.73860	-	-	-	-95.99542	-95.57208	39.57542	39.94458	MBRFC	217	-	-	TOP	-	-	-	-	-	-	-	unknown
-	-	unknown	-102.80900	47.36210	-	-	-	-102.98708	-102.63875	47.26292	47.47375	MBRFC	2181	-	-	-	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.16700	47.02970	-	-	-	-100.42042	-99.96792	46.77958	47.32375	MBRFC	2182	-	-	-	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.33400	47.31830	-	-	-	-100.52875	-100.08875	47.15042	47.48208	MBRFC	2184	-	-	-	-	-	-	-	-	-	-	unknown
-	-	unknown	-99.94880	46.60590	-	-	-	-100.33708	-99.63042	46.35875	46.84042	MBRFC	2185	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-99.60400	46.82030	-	-	-	-100.24542	-99.10125	46.12958	47.37375	MBRFC	2186	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-99.07530	43.96770	-	-	-	-99.53708	-98.57208	43.50458	44.34458	MBRFC	2206	-	-	ABR	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.69800	42.89020	-	-	-	-101.16208	-100.33458	42.53792	43.16125	MBRFC	2208	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.75090	39.51840	-	-	-	-96.00792	-95.44292	39.36292	39.70708	MBRFC	221	-	-	TOP	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.13250	42.68410	-	-	-	-98.33708	-97.93458	42.59208	42.78208	MBRFC	2216	-	-	OAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-99.39450	43.11550	-	-	-	-99.81625	-98.96375	42.94208	43.29458	MBRFC	2217	-	-	FSD	-	-	-	-	-	-	-	unknown
-	-	unknown	-103.61600	42.62850	-	-	-	-103.87042	-103.37625	42.50042	42.78208	MBRFC	2225	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.99500	44.09480	-	-	-	-101.52875	-100.51375	43.85042	44.36542	MBRFC	2228	-	-	ABR	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.96300	44.05920	-	-	-	-102.30375	-101.60958	43.88792	44.27375	MBRFC	2229	-	-	ABR	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.54100	39.38070	-	-	-	-95.81625	-95.30542	39.26292	39.52792	MBRFC	223	-	-	TOP	-	-	-	-	-	-	-	unknown
-	-	unknown	-103.88800	42.54640	-	-	-	-104.68292	-103.03875	42.19625	42.86958	MBRFC	2231	-	-	CYS	-	-	-	-	-	-	-	unknown
-	-	unknown	-102.77800	42.51640	-	-	-	-103.42458	-102.18042	42.20042	42.81958	MBRFC	2232	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.69500	42.88230	-	-	-	-102.18708	-101.25125	42.57958	43.06125	MBRFC	2233	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.36100	42.47410	-	-	-	-102.09542	-100.61375	42.31708	42.69875	MBRFC	2235	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-102.54700	42.94750	-	-	-	-102.74125	-102.33458	42.72958	43.19458	MBRFC	2237	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-102.94700	43.14180	-	-	-	-103.22875	-102.61375	42.98792	43.30708	MBRFC	2238	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-102.53600	43.29200	-	-	-	-103.09125	-102.00125	42.87542	43.70292	MBRFC	2239	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.22800	43.49920	-	-	-	-101.35375	-101.06792	43.22125	43.78208	MBRFC	2241	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.43100	43.55080	-	-	-	-101.68708	-101.22208	43.18792	43.87792	MBRFC	2242	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.97800	43.73160	-	-	-	-101.28292	-100.66375	43.53375	43.91958	MBRFC	2243	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-102.48700	42.27380	-	-	-	-102.78708	-102.15542	41.87958	42.63625	MBRFC	2254	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.28200	42.76040	-	-	-	-100.49125	-100.05125	42.65042	42.90292	MBRFC	2256	-	-	-	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.39000	42.52570	-	-	-	-100.80375	-100.00542	42.35042	42.72792	MBRFC	2257	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-99.87840	42.40360	-	-	-	-100.17042	-99.60125	42.25875	42.54875	MBRFC	2258	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.13800	42.74610	-	-	-	-101.71625	-100.64292	42.56292	42.97375	MBRFC	2259	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-102.05800	42.73610	-	-	-	-102.44125	-101.66375	42.43375	42.95292	MBRFC	2260	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.22800	43.53150	-	-	-	-100.52875	-99.97208	43.22958	43.89458	MBRFC	2261	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-100.54600	43.68050	-	-	-	-100.86208	-100.26792	43.31708	43.94042	MBRFC	2262	-	-	UNR	-	-	-	-	-	-	-	unknown
-	-	unknown	-101.85300	42.50470	-	-	-	-102.31625	-101.23875	42.25042	42.66958	MBRFC	2263	-	-	LBF	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.13150	38.87560	-	-	-	-95.29542	-94.99292	38.73375	39.02375	MBRFC	232	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.20260	39.03230	-	-	-	-95.30375	-95.07625	38.90875	39.19042	MBRFC	238	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.21530	38.68770	-	-	-	-95.37458	-95.04292	38.49208	38.85708	MBRFC	2407	-	-	-	-	-	-	-	-	-	-	unknown
-	-	unknown	-94.81230	38.60390	-	-	-	-95.01625	-94.60542	38.40458	38.79042	MBRFC	2412	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-94.72110	38.39290	-	-	-	-94.87875	-94.59292	38.22958	38.57792	MBRFC	2414	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.27490	38.48560	-	-	-	-95.45792	-95.11375	38.37542	38.58625	MBRFC	2421	-	-	-	-	-	-	-	-	-	-	unknown
-	-	unknown	-95.04600	38.46680	-	-	-	-95.16625	-94.92208	38.37542	38.53625	MBRFC	2422	-	-	-	-	-	-	-	-	-	-	unknown
-	-	unknown	-94.64900	38.34990	-	-	-	-94.69542	-94.60542	38.31292	38.40292	MBRFC	2423	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-94.54150	38.17830	-	-	-	-94.83708	-94.28458	38.05458	38.37375	MBRFC	2505	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-94.37360	37.68750	-	-	-	-94.50375	-94.25542	37.49208	37.86542	MBRFC	2508	-	-	SGF	-	-	-	-	-	-	-	unknown
-	-	unknown	-94.14760	37.80950	-	-	-	-94.33708	-93.88458	37.56292	38.01125	MBRFC	2511	-	-	SGF	-	-	-	-	-	-	-	unknown
-	-	unknown	-93.57720	37.53110	-	-	-	-93.77875	-93.31375	37.38792	37.68208	MBRFC	2516	-	-	SGF	-	-	-	-	-	-	-	unknown
-	-	unknown	-93.94240	38.07020	-	-	-	-94.07042	-93.82625	37.87125	38.24042	MBRFC	2519	-	-	SGF	-	-	-	-	-	-	-	unknown
-	-	unknown	-93.53290	37.90780	-	-	-	-93.67042	-93.37625	37.73792	38.08208	MBRFC	2521	-	-	SGF	-	-	-	-	-	-	-	unknown
-	-	unknown	-93.34010	38.01350	-	-	-	-93.49958	-93.15125	37.83792	38.19042	MBRFC	2533	-	-	SGF	-	-	-	-	-	-	-	unknown
-	-	unknown	-93.57580	38.45360	-	-	-	-93.78292	-93.35125	38.27125	38.61125	MBRFC	2534	-	-	EAX	-	-	-	-	-	-	-	unknown
-	-	unknown	-93.20340	38.27160	-	-	-	-93.42458	-92.97208	37.97125	38.52792	MBRFC	2535	-	-	SGF	-	-	-	-	-	-	-	unknown
-	-	unknown	-93.04790	38.00720	-	-	-	-93.22875	-92.86792	37.86708	38.13625	MBRFC	2536	-	-	SGF	-	-	-	-	-	-	-	unknown
-	-	unknown	-92.93400	37.48600	-	-	-	-93.07875	-92.77208	37.29625	37.65708	MBRFC	2537	-	-	SGF	-	-	-	-	-	-	-	unknown
-	-	unknown	-92.57930	37.87240	-	-	-	-92.77042	-92.33458	37.57958	38.09042	MBRFC	2539	-	-	SGF	-	-	-	-	-	-	-	unknown
-	-	unknown	-92.87950	38.07890	-	-	-	-93.12042	-92.63042	37.81292	38.39875	MBRFC	2545	-	-	SGF	-	-	-	-	-	-	-	unknown
-	-	unknown	-99.35620	47.38270	-	-	-	-99.73292	-99.10542	47.13792	47.54042	MBRFC	2603	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.50750	46.89920	-	-	-	-98.74542	-98.25958	46.60875	47.21958	MBRFC	2605	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.81070	46.71980	-	-	-	-99.09542	-98.44292	46.52958	46.89458	MBRFC	2608	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.46490	45.42030	-	-	-	-98.66208	-98.28042	45.25042	45.59042	MBRFC	2610	-	-	ABR	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.61130	44.80810	-	-	-	-98.79125	-98.47625	44.66292	44.94458	MBRFC	2613	-	-	ABR	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.43090	44.77870	-	-	-	-98.67042	-98.23875	44.57542	44.99458	MBRFC	2617	-	-	FSD	-	-	-	-	-	-	-	unknown
-	-	unknown	-97.90950	45.46970	-	-	-	-98.17458	-97.65125	45.20875	45.71542	MBRFC	2625	-	-	ABR	-	-	-	-	-	-	-	unknown
-	-	unknown	-99.79480	47.60230	-	-	-	-100.08708	-99.47208	47.38792	47.76958	MBRFC	2633	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-99.56800	47.52410	-	-	-	-99.76625	-99.39292	47.41292	47.64458	MBRFC	2634	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.92140	45.57250	-	-	-	-99.16208	-98.68458	45.40875	45.71958	MBRFC	2635	-	-	ABR	-	-	-	-	-	-	-	unknown
-	-	unknown	-99.18380	45.14520	-	-	-	-99.61625	-98.90125	44.85458	45.47792	MBRFC	2637	-	-	ABR	-	-	-	-	-	-	-	unknown
-	-	unknown	-99.06510	44.74150	-	-	-	-99.34958	-98.71792	44.55458	44.93625	MBRFC	2638	-	-	ABR	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.06450	45.01050	-	-	-	-98.30375	-97.77208	44.69208	45.28625	MBRFC	2639	-	-	FSD	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.72750	47.00460	-	-	-	-98.77875	-98.68042	46.90875	47.09875	MBRFC	2640	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.78570	46.97010	-	-	-	-98.84542	-98.73042	46.94208	46.99875	MBRFC	2643	-	-	BIS	-	-	-	-	-	-	-	unknown
-	-	unknown	-98.61300	44.40340	-	-	-	-99.02875	-98.17208	44.17542	44.62375	MBRFC	2651	-	-	FSD	-	-	-	-	-	-	-	unknown
-	-	unknown	-97.96470	44.35960	-	-	-	-98.33292	-97.69708	44.11708	44.69875	MBRFC	2652	-	-	FSD	-	-	-	-	-	-	-	unknown
